"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
AOC,"ID 1390037473472942081","Wed May 05 20:15:33 +0000 2021"," Let’s do insulin next https://t.co/VWhwyxbzd9",https://twitter.com/AOC/statuses/1390037473472942081,30947,215146,"Twitter for iPhone"
AOC,"ID 1390017311466311682","Wed May 05 18:55:26 +0000 2021"," Self-determination in Puerto Rico shouldn’t come down to a simple ballot referendum - a process that states use to resolve questions like dog racing or cannabis &amp; are easily challenged.

Determination of status, citizenship, and decolonization merit a constitutional convention. https://t.co/gGiG9kW5sh",https://twitter.com/AOC/statuses/1390017311466311682,651,5720,"Twitter for iPhone"
AOC,"ID 1390011937614974976","Wed May 05 18:34:05 +0000 2021"," A lot of people don’t even know that Puerto Rico doesn’t have traditional Dem/GOP parties.

PR political parties largely revolve around status w/ complexity on left-right history.

It’s incorrect to assume it’ll go Dem, and ppl should really examine why they make that assumption",https://twitter.com/AOC/statuses/1390011937614974976,910,10388,"Twitter for iPhone"
AOC,"ID 1390006014443933696","Wed May 05 18:10:33 +0000 2021"," People really need to stop conflating DC and Puerto Rico statehood as the same issue.

And approaching Puerto Rico’s status as a matter of party advantage is both neocolonial and mistaken.

Puerto Rico’s elected delegate to Congress caucuses w/ the *Republican Party,* not Dems. https://t.co/7ZVBLhcsL9",https://twitter.com/AOC/statuses/1390006014443933696,3333,25064,"Twitter for iPhone"
AOC,"ID 1390001539503230980","Wed May 05 17:52:46 +0000 2021"," Nothing like reminiscing about attempted coups over a bouquet of flowers 👹👹 https://t.co/klW3pSRxp8",https://twitter.com/AOC/statuses/1390001539503230980,18056,174832,"Twitter for iPhone"
AOC,"ID 1389666718402875392","Tue May 04 19:42:19 +0000 2021"," RT @ONUHumanRights: Estamos profundamente alarmados por los acontecimientos ocurridos en la ciudad de Cali, Colombia, la pasada noche 👇👇vid…",https://twitter.com/AOC/statuses/1389666718402875392,8180,0,"Twitter for iPhone"
AOC,"ID 1389623718008270848","Tue May 04 16:51:26 +0000 2021"," RT @RepMcGovern: I am deeply disturbed by the brutal Colombian National Police (PNC) response to peaceful protests over the weekend.

This…",https://twitter.com/AOC/statuses/1389623718008270848,8700,0,"Twitter for iPhone"
AOC,"ID 1389381990865113088","Tue May 04 00:50:54 +0000 2021"," RT @CoriBush: The white supremacist insurrection on January 6th was not a sign that this country needs more unity, it was a sign that our c…",https://twitter.com/AOC/statuses/1389381990865113088,8771,0,"Twitter for iPhone"
AOC,"ID 1389307769610817538","Mon May 03 19:55:59 +0000 2021"," RT @BillPascrell: Today @AOC @RepMarcyKaptur and I are leading 33 House members demanding an expansion of #postalbanking to help millions o…",https://twitter.com/AOC/statuses/1389307769610817538,541,0,"Twitter for iPhone"
AOC,"ID 1387589999307235328","Thu Apr 29 02:10:10 +0000 2021"," Not enough credit is given to the countless activists, organizers, and advocates whose relentless work is why we are even hearing anything about universal childcare, white supremacy as terrorism, labor, and living wages tonight.

Yet we cannot stop until it’s done. Keep going.",https://twitter.com/AOC/statuses/1387589999307235328,10437,100510,"Twitter for iPhone"
AOC,"ID 1387090336225415177","Tue Apr 27 17:04:41 +0000 2021"," Here’s how it works:

- Think of the CTC badge as a “certification” of sorts. CTC candidates don’t take big money &amp; commit to policies of economic, enviro,&amp; racial justice
- Multiple cands. per race can qualify
- We encourage supporters to rank CTC candidates as their top 1/2/3",https://twitter.com/AOC/statuses/1387090336225415177,168,2625,"Twitter for iPhone"
AOC,"ID 1387088979481214986","Tue Apr 27 16:59:18 +0000 2021"," NYC!

This week we’re launching the Courage to Change badge - an endorsement project to help NYC voters elect a progressive city council in our new ranked-choice system.

If you’re a City Council candidate, check out the CTC endorsement questionnaire here:
https://t.co/GZWHsDqI07",https://twitter.com/AOC/statuses/1387088979481214986,578,5558,"Twitter for iPhone"
AOC,"ID 1386331232448008193","Sun Apr 25 14:48:17 +0000 2021"," RT @CongressmanRaja: We need to release our stockpile of unused AstraZeneca vaccines now. In India alone, almost 350,000 COVID-19 cases wer…",https://twitter.com/AOC/statuses/1386331232448008193,12826,0,"Twitter for iPhone"
AOC,"ID 1386136351209398273","Sun Apr 25 01:53:53 +0000 2021"," 🥳💜🌎 https://t.co/Szj5VR1gL8",https://twitter.com/AOC/statuses/1386136351209398273,842,18820,"Twitter for iPhone"
AOC,"ID 1386002330148085766","Sat Apr 24 17:01:20 +0000 2021"," Truth-telling and full acknowledgment of injustice can be one of the most important steps towards healing.

Acknowledging the Armenian genocide is long overdue, and I hope this day brings some degree of peace to impacted families and communities as we move forward together. https://t.co/2HCRViIRqi",https://twitter.com/AOC/statuses/1386002330148085766,3529,33612,"Twitter for iPhone"
