"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
BernieSanders,"ID 1389974417875382278","Wed May 05 16:05:00 +0000 2021"," Mitch McConnell fights every day for the needs of the wealthy and powerful. I view the world a bit differently. I went to Kentucky to make it clear we have a fundamental choice to make: a government that represents the 1%, or government that represents us all. https://t.co/d2DV3bVfXA",https://twitter.com/BernieSanders/statuses/1389974417875382278,1569,8606,"Twitter Media Studio"
BernieSanders,"ID 1389681990689968130","Tue May 04 20:43:00 +0000 2021"," The debate now with the Republican Party is not over health care. It's not over education. It's not over climate. It is over whether or not we remain a democracy. https://t.co/4t8fIJXG7S",https://twitter.com/BernieSanders/statuses/1389681990689968130,673,3434,"Twitter Media Studio"
BernieSanders,"ID 1389648016722731010","Tue May 04 18:28:00 +0000 2021"," Larry Krasner’s grassroots campaign in 2017 for District Attorney of Philadelphia sparked a wave of progressive criminal justice reform across the country. He's a fighter for the people and is successfully taking on a broken &amp; corrupt system. I’m proud to support his re-election. https://t.co/lag1nK11i7",https://twitter.com/BernieSanders/statuses/1389648016722731010,327,2000,"Twitter Web App"
BernieSanders,"ID 1389605738142523395","Tue May 04 15:40:00 +0000 2021"," To say that dental care, hearing aids, and eyeglasses should be a part of Medicare makes all the sense in the world. Let's get it done. https://t.co/GFcunHAfep",https://twitter.com/BernieSanders/statuses/1389605738142523395,868,5681,"Twitter Media Studio"
BernieSanders,"ID 1389336487829905409","Mon May 03 21:50:05 +0000 2021"," You know what? At a time of massive income and wealth inequality, maybe, just maybe, government should represent the needs of a struggling working class and middle class.",https://twitter.com/BernieSanders/statuses/1389336487829905409,3233,25872,"Twitter Web App"
BernieSanders,"ID 1389196524521934849","Mon May 03 12:33:56 +0000 2021"," In Mitch McConnell’s world, if you are a multi-billionaire campaign contributor it's okay to receive a $1.4 billion tax break. That’s how the system works. But if you are a carpenter who makes $75,000 a year, a direct payment is “socialism for the rich.” Give me a break.",https://twitter.com/BernieSanders/statuses/1389196524521934849,14642,88664,"Twitter for iPhone"
BernieSanders,"ID 1388958648559341569","Sun May 02 20:48:42 +0000 2021"," The difference in ideology between Senator McConnell and myself, between the Republican Party and the progressive movement, is not a question of big government versus small government. It's a question of whose interests the government represents. #BernieInKY https://t.co/VBaV4ts4vW",https://twitter.com/BernieSanders/statuses/1388958648559341569,767,4443,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388956580910092288","Sun May 02 20:40:29 +0000 2021"," In my view, if Senator McConnell could use the reconciliation process to give tax breaks to billionaires, we can use that same process to stand up for the working families of this country. #BernieInKY https://t.co/P8ieif2Dkb",https://twitter.com/BernieSanders/statuses/1388956580910092288,845,4832,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388955956546052101","Sun May 02 20:38:00 +0000 2021"," The question that I think people should be asking is why is Mitch McConnell doing what he is doing?

The answer is pretty simple: Follow the money. #BernieInKY https://t.co/HvdqV0aMG2",https://twitter.com/BernieSanders/statuses/1388955956546052101,322,1738,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388955300137422850","Sun May 02 20:35:23 +0000 2021"," We are the only major country on earth not to guarantee health care for all. Mitch McConnell's 'solution' to that was to throw over 30 million people off the health care they had. #BernieInKY https://t.co/S0OQjfHNR6",https://twitter.com/BernieSanders/statuses/1388955300137422850,323,1868,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388950697861947392","Sun May 02 20:17:06 +0000 2021"," Let’s be clear: it’s not just the American Rescue Plan that Mitch McConnell opposed. He is leading the effort against a $15 minimum wage. Against universal childcare. Against paid family and medical leave. Against making it easier for workers to join unions. Absurd. #BernieInKY https://t.co/9gLFuqCmKR",https://twitter.com/BernieSanders/statuses/1388950697861947392,383,2097,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388950420047945729","Sun May 02 20:16:00 +0000 2021"," I want the American people to remember this.
When they hear some Republican touting this or that part of the American Rescue Plan: NOT ONE REPUBLICAN VOTED FOR IT. We did it alone. #BernieInKY https://t.co/FUlNX0wjoW",https://twitter.com/BernieSanders/statuses/1388950420047945729,530,2887,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388949055720628225","Sun May 02 20:10:34 +0000 2021"," Mitch McConnell has been working overtime to represent the needs of the wealthy and the powerful and to undermine the needs of working families, the elderly, the sick, the children and the poor. #BernieInKY https://t.co/x68j8EhEl1",https://twitter.com/BernieSanders/statuses/1388949055720628225,332,1960,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388946398276640775","Sun May 02 20:00:01 +0000 2021"," This has been the worst and most painful year in the modern history of our country. But not everyone has been hurting — while tens of millions of Americans have been living in economic desperation, the wealthiest people in this country have become obscenely richer. #BernieInKY https://t.co/THH3GVyCrv",https://twitter.com/BernieSanders/statuses/1388946398276640775,303,1646,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388944407009841157","Sun May 02 19:52:06 +0000 2021"," Our vision is that the government should represent ALL of the people, not just the 1%. The foundations of government should rest on the pillars of justice — economic justice, racial justice, social justice, environmental justice — that's what we believe. #BernieInKY https://t.co/2N6OqN86Rs",https://twitter.com/BernieSanders/statuses/1388944407009841157,321,1760,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388942222977077248","Sun May 02 19:43:25 +0000 2021"," I view the world a little bit differently than Mitch McConnell. I'm LIVE in Kentucky NOW laying out why we need a government that represents all the people – not just the 1%. https://t.co/r5qSH6gLrQ",https://twitter.com/BernieSanders/statuses/1388942222977077248,324,2115,"Twitter Web App"
BernieSanders,"ID 1388941238414548992","Sun May 02 19:39:31 +0000 2021"," ""We are rallying here because we want everybody to have health care. Nobody should have to ration their insulin like I have had to do."" - @Booker4KY #BernieInKY https://t.co/ygfcMj6f8U",https://twitter.com/BernieSanders/statuses/1388941238414548992,272,1537,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388940658212315139","Sun May 02 19:37:12 +0000 2021"," ""We don't face difficulty because we don't work hard enough, or because we don't pray enough. There's a system at play determining who wins and who loses, and for the most part, has determined that Kentucky should lose."" - @Booker4KY #BernieInKY https://t.co/prJ08Czv3R",https://twitter.com/BernieSanders/statuses/1388940658212315139,270,1353,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388939125345202176","Sun May 02 19:31:07 +0000 2021"," ""Corporate America has been waging an all out war on working people. Throughout this pandemic, these companies have touted as essential workers but they've treated us as if we're disposable."" - Ashley Snider, Kentucky State AFL-CIO Vice President #BernieInKY https://t.co/WeW624N4z1",https://twitter.com/BernieSanders/statuses/1388939125345202176,237,1229,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388937554389504006","Sun May 02 19:24:52 +0000 2021"," ""In so many ways, more and more people are recognizing that the wheels are coming off our country, and that the ride wasn't great for too many of us to begin with."" - Evan Westphal, an activist &amp; organizer in Kentucky #BernieInKY https://t.co/aMupy3UoFH",https://twitter.com/BernieSanders/statuses/1388937554389504006,210,1140,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388935226185994245","Sun May 02 19:15:37 +0000 2021"," ""Many of us are just a paycheck away from a disaster. We soon learned that in this pandemic, it wasn't the CEOs that we turned to... in times of crisis, we turned to the everyday people. The working class is the backbone of this nation.""- Hannah Drake, poet &amp; author #BernieInKY https://t.co/fXK6EXFBdc",https://twitter.com/BernieSanders/statuses/1388935226185994245,413,2239,"Twitter Media Studio - LiveCut"
BernieSanders,"ID 1388933137367851010","Sun May 02 19:07:19 +0000 2021"," Sen. Mitch McConnell represents the needs of the wealthy and the powerful. I’m LIVE in Kentucky NOW to talk about a progressive vision of government that serves all people. https://t.co/TRy6ZqH77Y",https://twitter.com/BernieSanders/statuses/1388933137367851010,810,3886,Periscope
BernieSanders,"ID 1388859144271286272","Sun May 02 14:13:18 +0000 2021"," A great debate is now taking place in this country about the future of America. I'm confident we are going to win that debate. Watch LIVE at 2:30 p.m. ET on https://t.co/vreIiWfeoS.",https://twitter.com/BernieSanders/statuses/1388859144271286272,276,2211,"Twitter Web App"
BernieSanders,"ID 1388859142950035462","Sun May 02 14:13:18 +0000 2021"," We want to increase voter turnout and make it easier for people to vote. McConnell and his friends want to suppress the vote and make it harder for Americans to participate in the political process.",https://twitter.com/BernieSanders/statuses/1388859142950035462,280,3299,"Twitter Web App"
BernieSanders,"ID 1388859141708451841","Sun May 02 14:13:17 +0000 2021"," We think the billionaire class should start paying its fair share of taxes. McConnell wants to give even more tax breaks to the very richest Americans and large corporations.",https://twitter.com/BernieSanders/statuses/1388859141708451841,169,1957,"Twitter Web App"
BernieSanders,"ID 1388859140659896325","Sun May 02 14:13:17 +0000 2021"," We want all Americans to have health care as a human right. McConnell led the effort to throw up to 32 million Americans off the health care they had.",https://twitter.com/BernieSanders/statuses/1388859140659896325,101,1035,"Twitter Web App"
BernieSanders,"ID 1388859139720466440","Sun May 02 14:13:17 +0000 2021"," We want a government that represents the needs of struggling working families. McConnell wants a government that does the bidding of the wealthy and large corporations.",https://twitter.com/BernieSanders/statuses/1388859139720466440,104,1070,"Twitter Web App"
BernieSanders,"ID 1388859138747375626","Sun May 02 14:13:17 +0000 2021"," I am on my way to Kentucky to give a major address at 2:30 p.m. ET about the future of our country and the choices we have to make. The vision of Sen. Mitch McConnell and the Republican Establishment versus that of the Progressive movement could not be clearer.",https://twitter.com/BernieSanders/statuses/1388859138747375626,1145,11147,"Twitter Web App"
BernieSanders,"ID 1388575700903288833","Sat May 01 19:27:00 +0000 2021"," When you go to the boss alone, you don't have a whole lot of power. But when workers organize, when they stand together, in solidarity — that's power. This #MayDay2021, we must commit to do all that we can to pass the PRO Act to make it easier for workers to organize.",https://twitter.com/BernieSanders/statuses/1388575700903288833,1625,10633,"Twitter Web App"
BernieSanders,"ID 1388503849246339073","Sat May 01 14:41:29 +0000 2021"," Here is the truth: we have had class warfare in this country for decades and decades. The rich have gotten richer, the working class have gotten poorer. Well, if there's going to be class warfare in this country, I think it's time the working class won that war. #MayDay2021",https://twitter.com/BernieSanders/statuses/1388503849246339073,6014,32587,"Twitter for iPhone"
BernieSanders,"ID 1388177577983057924","Fri Apr 30 17:05:00 +0000 2021"," We can have our differences of opinion — that's fine, that's what democracy is all about. But it is just outrageous and unacceptable for Republican legislators all over this country to be undermining democracy and trying to deny people the right to vote.",https://twitter.com/BernieSanders/statuses/1388177577983057924,2563,18427,"Twitter Web App"
