"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
CarlyELehwald,"ID 1390089166038388739","Wed May 05 23:40:58 +0000 2021"," And he’s a republiQan! Go figure! https://t.co/IqFn0wUbOx",https://twitter.com/CarlyELehwald/statuses/1390089166038388739,0,0,"Twitter for iPhone"
CarlyELehwald,"ID 1390088770553319426","Wed May 05 23:39:24 +0000 2021"," @Playbill10 @SenTedCruz Lol whatever and republicans have gone full on out 
in-fucking-sane! At least democrats are pro democracy for all. Not just white fake ass so called Christians. Which has been proven to only be cover for sexually twisted and closeted wackos. The republiQan party is a dying group!",https://twitter.com/CarlyELehwald/statuses/1390088770553319426,0,0,"Twitter for iPhone"
CarlyELehwald,"ID 1390085562439290882","Wed May 05 23:26:39 +0000 2021"," @Playbill10 @SenTedCruz LOL OK Traitor playbill",https://twitter.com/CarlyELehwald/statuses/1390085562439290882,0,0,"Twitter for iPhone"
CarlyELehwald,"ID 1390022471332544516","Wed May 05 19:15:57 +0000 2021"," @DavidJHarrisJr You don’t love America you love a wacked out ideology of what some want America to look like. You folks are wackadoodledoo! Love good and country my ass.",https://twitter.com/CarlyELehwald/statuses/1390022471332544516,0,0,"Twitter for iPhone"
CarlyELehwald,"ID 1390022006251442176","Wed May 05 19:14:06 +0000 2021"," @lsferguson LMFAO. Good luck",https://twitter.com/CarlyELehwald/statuses/1390022006251442176,0,0,"Twitter for iPhone"
CarlyELehwald,"ID 1390021242959314945","Wed May 05 19:11:04 +0000 2021"," @Daksthetruth Lol but but but... wackadoodledoo!!!!",https://twitter.com/CarlyELehwald/statuses/1390021242959314945,0,4,"Twitter for iPhone"
CarlyELehwald,"ID 1389988663048687623","Wed May 05 17:01:36 +0000 2021"," @TuckerCarlson you were a journalism loser then and look at that, tuckerfucker you are still one. https://t.co/lzGfzpmUfq",https://twitter.com/CarlyELehwald/statuses/1389988663048687623,0,0,"Twitter for iPhone"
CarlyELehwald,"ID 1389986658213367808","Wed May 05 16:53:38 +0000 2021"," @TheInsiderPaper Yup and i say Fuck Trump!",https://twitter.com/CarlyELehwald/statuses/1389986658213367808,0,6,"Twitter for iPhone"
CarlyELehwald,"ID 1389983183454736392","Wed May 05 16:39:50 +0000 2021"," @charliekirk11 😂😂😂😂😂 oh Charlie",https://twitter.com/CarlyELehwald/statuses/1389983183454736392,0,1,"Twitter for iPhone"
CarlyELehwald,"ID 1389982139127635970","Wed May 05 16:35:41 +0000 2021"," @taradublinrocks Lol oh boy. Emily Post etiquette police. Be careful.",https://twitter.com/CarlyELehwald/statuses/1389982139127635970,0,1,"Twitter for iPhone"
CarlyELehwald,"ID 1389955490793263105","Wed May 05 14:49:47 +0000 2021"," @WalshFreedom Amd a total fucking mess and a serious threat to our country!",https://twitter.com/CarlyELehwald/statuses/1389955490793263105,0,6,"Twitter for iPhone"
CarlyELehwald,"ID 1389787827727126528","Wed May 05 03:43:33 +0000 2021"," @morgfair Anyone who supports him and what he stands for is about as unamerican as one can get.",https://twitter.com/CarlyELehwald/statuses/1389787827727126528,0,6,"Twitter for iPhone"
CarlyELehwald,"ID 1389787106923401219","Wed May 05 03:40:41 +0000 2021"," @Franklin_Graham is the fakest sellout of a Christian i have ever seen! https://t.co/JiYDLLUckW",https://twitter.com/CarlyELehwald/statuses/1389787106923401219,0,1,"Twitter for iPhone"
CarlyELehwald,"ID 1389774452767043585","Wed May 05 02:50:24 +0000 2021"," Wackadoodledoo. Here comes the clown car. https://t.co/7gnCmsIb0K https://t.co/51tTsfqAyn",https://twitter.com/CarlyELehwald/statuses/1389774452767043585,0,2,"Twitter for iPhone"
CarlyELehwald,"ID 1389774192892071937","Wed May 05 02:49:22 +0000 2021"," @AgainstMAGAts @JennaEllisEsq Lol she is wackadoodledoo! https://t.co/vMD26iGeYt",https://twitter.com/CarlyELehwald/statuses/1389774192892071937,0,0,"Twitter for iPhone"
