"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
CoriBush,"ID 1390053722093404160","Wed May 05 21:20:07 +0000 2021"," The officer who shot Rayshard Brooks twice in the back and killed him was reinstated because “his due process rights” were violated.

Where was the due process for Rayshard Brooks? https://t.co/NRL4l9o88m",https://twitter.com/CoriBush/statuses/1390053722093404160,1153,4598,"Twitter Web App"
CoriBush,"ID 1389370433380753410","Tue May 04 00:04:59 +0000 2021"," The white supremacist insurrection on January 6th was not a sign that this country needs more unity, it was a sign that our country has yet to dismantle white supremacy. Don’t get it twisted.",https://twitter.com/CoriBush/statuses/1389370433380753410,8774,47515,"Twitter for iPhone"
CoriBush,"ID 1389276895267721222","Mon May 03 17:53:18 +0000 2021"," President Biden requested $753 billion for the defense budget. That’s $753 billion to war, violence, and defense contractors, when it’d cost just $20 billion to end homelessness.

We can either choose to perpetuate or alleviate human suffering. The choice is clear.",https://twitter.com/CoriBush/statuses/1389276895267721222,3917,18179,"Twitter for iPhone"
CoriBush,"ID 1388960522935091206","Sun May 02 20:56:08 +0000 2021"," Our communities wouldn’t have needed to spark a national movement to save Black lives if America weren’t racist AF.",https://twitter.com/CoriBush/statuses/1388960522935091206,2890,20142,"Twitter for iPhone"
CoriBush,"ID 1388650462254096385","Sun May 02 00:24:04 +0000 2021"," Happy May Day. Every worker deserves a union.",https://twitter.com/CoriBush/statuses/1388650462254096385,1805,17148,"Twitter for iPhone"
CoriBush,"ID 1388236086611173384","Fri Apr 30 20:57:29 +0000 2021"," My team and I are working every day to save lives.

That means abolishing the filibuster. That means ending qualified immunity. That means passing our bold agenda.

If you're with us, can you chip in to help us reach our end-of-month goal?
https://t.co/r3HoHEc7gH",https://twitter.com/CoriBush/statuses/1388236086611173384,192,1241,"Twitter Web App"
CoriBush,"ID 1388174006679916545","Fri Apr 30 16:50:48 +0000 2021"," April is Sexual Assault Awareness Month. 

I’m a survivor of sexual assault and domestic abuse. 

To every survivor who has faced injustice, who has not been believed, who is on their journey to healing: I love you. I see you. I am fighting for you every day.",https://twitter.com/CoriBush/statuses/1388174006679916545,2231,16554,"Twitter Web App"
CoriBush,"ID 1387586928510373889","Thu Apr 29 01:57:58 +0000 2021"," Let me be clear: it’s not the George Floyd Justice in Policing Act if the Senate strips out qualified immunity. Police must not be allowed to kill us with impunity.

Let’s work together to make that clear, @POTUS. I will not vote for it if ending qualified immunity comes out.",https://twitter.com/CoriBush/statuses/1387586928510373889,1591,9803,"Twitter Web App"
CoriBush,"ID 1387581514993520644","Thu Apr 29 01:36:27 +0000 2021"," President Biden, the House passed the PRO Act. We passed a $15 minimum wage. How we gon get these to your desk without abolishing the Jim Crow filibuster?",https://twitter.com/CoriBush/statuses/1387581514993520644,2252,17594,"Twitter for iPhone"
CoriBush,"ID 1387575935118028807","Thu Apr 29 01:14:17 +0000 2021"," I’m grateful to the organizers who delivered the presidency back to the people so that tonight, we don’t have to listen to a twice-impeached white supremacist-in-chief pushing a white supremacist agenda.",https://twitter.com/CoriBush/statuses/1387575935118028807,3058,27683,"Twitter Web App"
CoriBush,"ID 1387493864504713224","Wed Apr 28 19:48:10 +0000 2021"," The House has already passed multiple bills that would help stop mass shootings and gun violence in our communities. 

All the Senate has to do to save lives is eliminate the filibuster and pass them.",https://twitter.com/CoriBush/statuses/1387493864504713224,866,5621,"Twitter Web App"
CoriBush,"ID 1387178183011840008","Tue Apr 27 22:53:46 +0000 2021"," If the Senate sends the George Floyd Justice in Policing Act back to the House without the provision that ends qualified immunity, I won’t be voting for it.",https://twitter.com/CoriBush/statuses/1387178183011840008,1245,11841,"Twitter Web App"
CoriBush,"ID 1387088291720224768","Tue Apr 27 16:56:34 +0000 2021"," We cannot achieve justice after the police kill us. 

Justice is Black people getting to enjoy our youth, grow old, and live our lives free of police violence.",https://twitter.com/CoriBush/statuses/1387088291720224768,2828,15923,"Twitter Web App"
CoriBush,"ID 1386809869047681028","Mon Apr 26 22:30:13 +0000 2021"," Breonna Taylor should be alive today.
Breonna Taylor should be alive today.
Breonna Taylor should be alive today. https://t.co/0Sv1HHfARL",https://twitter.com/CoriBush/statuses/1386809869047681028,2055,16300,"Twitter Web App"
CoriBush,"ID 1386771270109384706","Mon Apr 26 19:56:50 +0000 2021"," As we left, some detainees chanted, “Free the slaves.” Those were the last words I heard on our visit.

My soul is still haunted by these words. I hope this thread makes you feel uncomfortable. I know I still am. We have so much work to do. https://t.co/nZ8yOjHa9e",https://twitter.com/CoriBush/statuses/1386771270109384706,270,1892,"Twitter Web App"
CoriBush,"ID 1386771266032517128","Mon Apr 26 19:56:49 +0000 2021"," The food has been filled with bugs. The food has been sludge. A detainee told us he wouldn’t feed it to his dog. We saw one tray of food and we couldn’t recognize what some of it was.

They know jail isn't a hotel. But we're talking about human beings. People deserve respect. https://t.co/MAzYwNAiWM",https://twitter.com/CoriBush/statuses/1386771266032517128,148,1267,"Twitter Web App"
CoriBush,"ID 1386771261133574146","Mon Apr 26 19:56:48 +0000 2021"," There are so many of our Black community members detained in these jails that are awaiting trial. The conditions are so abhorrent that detainees are begging for plea deals, even while they maintain their innocence. 

They are begging to be sent to a penitentiary to escape jail.",https://twitter.com/CoriBush/statuses/1386771261133574146,162,898,"Twitter Web App"
CoriBush,"ID 1386771259015536647","Mon Apr 26 19:56:47 +0000 2021"," There are approximately 800 detainees across the two jails. They have been given less than 800 COVID-19 tests. 

They have given ~1 test per detainee over the last year. 

If you ask for a test, you’re sent to solitary confinement. Same thing if you request additional masks. https://t.co/4p8hX9g0Ym",https://twitter.com/CoriBush/statuses/1386771259015536647,175,844,"Twitter Web App"
CoriBush,"ID 1386771254280179715","Mon Apr 26 19:56:46 +0000 2021"," Speaking of mace, corrections officers spray mace constantly—and they don’t file incident reports about it. That means hundreds of detainees have had force used against them with no record of it. 

They described it as torture. I've been maced. I know that burn. It's inhumane.",https://twitter.com/CoriBush/statuses/1386771254280179715,133,880,"Twitter Web App"
CoriBush,"ID 1386771253344808965","Mon Apr 26 19:56:46 +0000 2021"," There was an uprising at the CJC on April 4th. It was at least their 4th in 4 months because the conditions are so inhumane. One detainee was still wearing his clothes that were doused in mace. Detainees call it bear mace because it stings so bad. 22 days in clothes that burn.",https://twitter.com/CoriBush/statuses/1386771253344808965,130,839,"Twitter Web App"
CoriBush,"ID 1386771251113385993","Mon Apr 26 19:56:45 +0000 2021"," The detainees told us that the night before we arrived, there was feces on the ground. 

The floors were wet when we got there, and they were still dirty.

They woke detainees up at night to clean the floors because they heard we were coming.",https://twitter.com/CoriBush/statuses/1386771251113385993,139,1066,"Twitter Web App"
CoriBush,"ID 1386771249205030917","Mon Apr 26 19:56:45 +0000 2021"," I toured our jails in St. Louis City over the weekend with @saintlouismayor, @stlcao, @iKaylaReed, and our teams. 

I need to tell you about the conditions we saw.

We need to have an honest conversation about how we treat people who are incarcerated in our country.

🧵 https://t.co/wmTQewn71I",https://twitter.com/CoriBush/statuses/1386771249205030917,1764,5874,"Twitter Web App"
CoriBush,"ID 1386088386759385088","Sat Apr 24 22:43:18 +0000 2021"," RT @nowthisnews: Rep. @CoriBush on the need for the Green New Deal: ‘Our community is home to out-of-control nuclear waste and we thought t…",https://twitter.com/CoriBush/statuses/1386088386759385088,171,0,"Twitter for iPhone"
CoriBush,"ID 1386088235139469312","Sat Apr 24 22:42:42 +0000 2021"," @birdiejane23 Awww I love this! Thank you!!",https://twitter.com/CoriBush/statuses/1386088235139469312,0,17,"Twitter for iPhone"
CoriBush,"ID 1385784997617995776","Sat Apr 24 02:37:44 +0000 2021"," RT @TeamKCP: I’m honored to have the support of Congresswoman @CoriBush, a progressive champion on the front lines for people. She is a sis…",https://twitter.com/CoriBush/statuses/1385784997617995776,215,0,"Twitter for iPhone"
