"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
JoeBiden,"ID 1390016508559077380","Wed May 05 18:52:15 +0000 2021"," RT @POTUS: If we want our economy to recover in a way that deals everyone in, then our restaurants need a seat at the table — with the Amer…",https://twitter.com/JoeBiden/statuses/1390016508559077380,3102,0,"Twitter Web App"
JoeBiden,"ID 1389656643852451847","Tue May 04 19:02:17 +0000 2021"," RT @POTUS: Our goal by July 4th is to have 70% of adult Americans with at least one shot — and 160 million Americans fully vaccinated. It’s…",https://twitter.com/JoeBiden/statuses/1389656643852451847,8281,0,"Twitter Web App"
JoeBiden,"ID 1389328881652572166","Mon May 03 21:19:52 +0000 2021"," Georgia, when you sent @Ossoff and @ReverendWarnock to the Senate, you made history. Thank you. https://t.co/47KY4Tm9hv",https://twitter.com/JoeBiden/statuses/1389328881652572166,4677,54531,"Twitter Web App"
JoeBiden,"ID 1389212356736126976","Mon May 03 13:36:50 +0000 2021"," RT @POTUS: Teachers are an extraordinary force for good in our nation — I’m lucky enough to be married to one and have seen firsthand how h…",https://twitter.com/JoeBiden/statuses/1389212356736126976,6897,0,"Twitter Web App"
JoeBiden,"ID 1388957075703803906","Sun May 02 20:42:27 +0000 2021"," America is on the move again. 

We are choosing hope over fear. 
Truth over lies. 
Light over darkness. 

There’s nothing we cannot do if we do it together.",https://twitter.com/JoeBiden/statuses/1388957075703803906,10151,98760,"Twitter Web App"
JoeBiden,"ID 1388581577714720772","Sat May 01 19:50:21 +0000 2021"," Democracy can deliver for the American people. https://t.co/UZ4BDIVoPf",https://twitter.com/JoeBiden/statuses/1388581577714720772,2241,17633,"Twitter Media Studio"
JoeBiden,"ID 1388557988932333574","Sat May 01 18:16:37 +0000 2021"," RT @TheDemocrats: Elections make a difference. Thank you, Georgia. https://t.co/hKn1vIIr7Y",https://twitter.com/JoeBiden/statuses/1388557988932333574,1325,0,"Twitter Web App"
JoeBiden,"ID 1388540850167287811","Sat May 01 17:08:31 +0000 2021"," RT @POTUS: This May, during Asian American and Native Hawaiian/Pacific Islander Heritage Month, we recognize the history and achievements o…",https://twitter.com/JoeBiden/statuses/1388540850167287811,4497,0,"Twitter Web App"
JoeBiden,"ID 1388533738934579201","Sat May 01 16:40:15 +0000 2021"," We’ve never been more optimistic about the future of America. https://t.co/EBHlCb2P84",https://twitter.com/JoeBiden/statuses/1388533738934579201,4688,76794,"Twitter Web App"
JoeBiden,"ID 1388262351967825928","Fri Apr 30 22:41:52 +0000 2021"," Thank you, Georgia, for everything. https://t.co/1Ci4pFJ4os",https://twitter.com/JoeBiden/statuses/1388262351967825928,4455,70874,"Twitter Media Studio"
JoeBiden,"ID 1388204128074076161","Fri Apr 30 18:50:30 +0000 2021"," RT @POTUS: Join me at Philadelphia’s 30th Street Station as we celebrate Amtrak’s 50th Anniversary. https://t.co/HuPetlGvaU",https://twitter.com/JoeBiden/statuses/1388204128074076161,1538,0,"Twitter Web App"
JoeBiden,"ID 1387861106966806536","Thu Apr 29 20:07:27 +0000 2021"," In Georgia with @DrBiden to celebrate the successes of the first 100 days of the Biden-Harris administration. Jobs are coming back, folks are getting vaccinated, and better days are ahead. Tune in. 
https://t.co/v1B30kekja",https://twitter.com/JoeBiden/statuses/1387861106966806536,1132,8145,"Twitter Web App"
JoeBiden,"ID 1387800729281236997","Thu Apr 29 16:07:32 +0000 2021"," 100 days in—and America is getting back on track.",https://twitter.com/JoeBiden/statuses/1387800729281236997,9918,140316,"Twitter Web App"
JoeBiden,"ID 1387591082918260740","Thu Apr 29 02:14:29 +0000 2021"," RT @POTUS: If we are to truly restore the soul of America, then we need to protect the sacred right to vote.

Congress should pass H.R. 1 a…",https://twitter.com/JoeBiden/statuses/1387591082918260740,6175,0,"Twitter Web App"
JoeBiden,"ID 1387585909378461702","Thu Apr 29 01:53:55 +0000 2021"," RT @POTUS: Trickle-down economics has never worked.

It’s time to grow the economy from the bottom up and middle out.",https://twitter.com/JoeBiden/statuses/1387585909378461702,30274,0,"Twitter Web App"
JoeBiden,"ID 1387577532510310401","Thu Apr 29 01:20:38 +0000 2021"," RT @POTUS: 100 days ago, America’s house was on fire. We had to act, so we:

- Passed the American Rescue Plan
- Administered over 200 mill…",https://twitter.com/JoeBiden/statuses/1387577532510310401,3458,0,"Twitter Web App"
JoeBiden,"ID 1387572764740145157","Thu Apr 29 01:01:41 +0000 2021"," Together, we’re getting back on track. Tune in now for our administration’s first joint address to Congress. https://t.co/WWjl35N2Em",https://twitter.com/JoeBiden/statuses/1387572764740145157,1086,8481,"Twitter Web App"
JoeBiden,"ID 1387476414098780165","Wed Apr 28 18:38:49 +0000 2021"," RT @POTUS: To make tonight’s joint address accessible for all Americans, every White House livestream will have American Sign Language (ASL…",https://twitter.com/JoeBiden/statuses/1387476414098780165,2903,0,"Twitter Web App"
JoeBiden,"ID 1387421807158890507","Wed Apr 28 15:01:50 +0000 2021"," Before tonight’s joint address to Congress, join @DrBiden and Mayor @KeishaBottoms for a call to thank our grassroots supporters. Sign up here to join them: https://t.co/tF9AJStpL6",https://twitter.com/JoeBiden/statuses/1387421807158890507,754,5703,"Twitter Web App"
JoeBiden,"ID 1387154433985888260","Tue Apr 27 21:19:23 +0000 2021"," With the first 100 days of our administration under our belt, America is getting back on track—all thanks to the support of grassroots volunteers. Help us keep the momentum going by joining our Week of Action: https://t.co/alyMSnBATt",https://twitter.com/JoeBiden/statuses/1387154433985888260,1739,16883,"Twitter Web App"
JoeBiden,"ID 1387127637164822529","Tue Apr 27 19:32:54 +0000 2021"," RT @POTUS: I believe no one should work full time and still live in poverty. That’s why today, I raised the minimum wage to $15 an hour for…",https://twitter.com/JoeBiden/statuses/1387127637164822529,23986,0,"Twitter for iPhone"
JoeBiden,"ID 1386805471084941312","Mon Apr 26 22:12:44 +0000 2021"," The American Jobs Plan will strengthen unions, help protect workers, and rebuild our economy. https://t.co/sHNa1eRfiB",https://twitter.com/JoeBiden/statuses/1386805471084941312,2570,22366,"Twitter Web App"
JoeBiden,"ID 1386757820834586626","Mon Apr 26 19:03:23 +0000 2021"," RT @POTUS: Today, we’re launching a new program funded by the American Rescue Plan to provide nutrition assistance to more than 30 million…",https://twitter.com/JoeBiden/statuses/1386757820834586626,6162,0,"Twitter Web App"
JoeBiden,"ID 1386426190861197313","Sun Apr 25 21:05:37 +0000 2021"," Get vaccinated, America.",https://twitter.com/JoeBiden/statuses/1386426190861197313,20522,215681,"Twitter Web App"
JoeBiden,"ID 1386405977348472834","Sun Apr 25 19:45:17 +0000 2021"," RT @POTUS: Just as India sent assistance to the United States as our hospitals were strained early in the pandemic, we are determined to he…",https://twitter.com/JoeBiden/statuses/1386405977348472834,16031,0,"Twitter Web App"
JoeBiden,"ID 1386076233147076608","Sat Apr 24 21:55:00 +0000 2021"," RT @POTUS: Before I took office, I promised help was on the way. Just three months in, I’m proud to say help is here. We’ve delivered over…",https://twitter.com/JoeBiden/statuses/1386076233147076608,11543,0,"Twitter for iPhone"
JoeBiden,"ID 1385996697180979201","Sat Apr 24 16:38:57 +0000 2021"," Let’s close the digital divide once and for all. Our American Jobs Plan will make sure every American has access to high-speed internet. https://t.co/Ru1NSfN7C0",https://twitter.com/JoeBiden/statuses/1385996697180979201,2791,24833,"Twitter Web App"
JoeBiden,"ID 1385624057916362752","Fri Apr 23 15:58:13 +0000 2021"," Heading back to Georgia with @DrBiden next Thursday to mark 100 days of our administration and thank folks for helping us build back better as a nation. See you soon!",https://twitter.com/JoeBiden/statuses/1385624057916362752,4008,52301,"Twitter Web App"
JoeBiden,"ID 1385281605757964288","Thu Apr 22 17:17:26 +0000 2021"," RT @WhiteHouse: Before taking office, President Biden set a bold goal of 100 million shots in his first 100 days.
 
After reaching the goal…",https://twitter.com/JoeBiden/statuses/1385281605757964288,2533,0,"Twitter Web App"
JoeBiden,"ID 1385281546932916224","Thu Apr 22 17:17:12 +0000 2021"," RT @POTUS: America is back. We rejoined the Paris Agreement and are ready to rally the world to tackle the climate crisis. Let’s do this.",https://twitter.com/JoeBiden/statuses/1385281546932916224,18347,0,"Twitter Web App"
JoeBiden,"ID 1384907441264025604","Wed Apr 21 16:30:38 +0000 2021"," RT @POTUS: The guilty verdict does not bring back George Floyd. But through the family’s pain, they are finding purpose so George’s legacy…",https://twitter.com/JoeBiden/statuses/1384907441264025604,3903,0,"Twitter Web App"
