"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
KamalaHarris,"ID 1390060601209131008","Wed May 05 21:47:28 +0000 2021"," RT @VP: Indigenous women are murdered and go missing at an alarming rate. It’s unacceptable. When I was in the Senate, we passed legislatio…",https://twitter.com/KamalaHarris/statuses/1390060601209131008,2741,0,"Twitter Web App"
KamalaHarris,"ID 1389691232524320774","Tue May 04 21:19:43 +0000 2021"," RT @VP: My first-grade teacher, Mrs. Wilson, encouraged me when I was her student and years later cheered me on when I graduated from law s…",https://twitter.com/KamalaHarris/statuses/1389691232524320774,1801,0,"Twitter Web App"
KamalaHarris,"ID 1389657976743546886","Tue May 04 19:07:34 +0000 2021"," RT @WhiteHouse: Getting vaccinated not only protects you, it also reduces the risk that you give the virus to others. It could save your li…",https://twitter.com/KamalaHarris/statuses/1389657976743546886,1490,0,"Twitter Web App"
KamalaHarris,"ID 1388956855657959433","Sun May 02 20:41:34 +0000 2021"," RT @VP: The American Families Plan is an investment in:
- Education
- Health Care
- Our Children
- Our Future",https://twitter.com/KamalaHarris/statuses/1388956855657959433,4200,0,"Twitter Web App"
KamalaHarris,"ID 1388175577950085122","Fri Apr 30 16:57:03 +0000 2021"," RT @VP: It was good to meet members of the Maryland Air National Guard yesterday. They are saving lives every day by helping folks in Balti…",https://twitter.com/KamalaHarris/statuses/1388175577950085122,2253,0,"Twitter Web App"
KamalaHarris,"ID 1387861341881393156","Thu Apr 29 20:08:23 +0000 2021"," President @JoeBiden and First Lady @DrBiden are in Georgia thanking supporters for all that they did to elect Democrats and change the course of our country. Watch live. 
https://t.co/oBuCGfEPU7",https://twitter.com/KamalaHarris/statuses/1387861341881393156,688,5161,"Twitter Web App"
KamalaHarris,"ID 1387802508853141508","Thu Apr 29 16:14:36 +0000 2021"," 100 days. https://t.co/M5ycQiwCFB",https://twitter.com/KamalaHarris/statuses/1387802508853141508,5482,107212,"Twitter Web App"
KamalaHarris,"ID 1387606457844125698","Thu Apr 29 03:15:34 +0000 2021"," RT @VP: .@POTUS: ""America is on the move again. Turning peril into possibility. Crisis into opportunity. Setback into strength.""",https://twitter.com/KamalaHarris/statuses/1387606457844125698,4591,0,"Twitter Web App"
KamalaHarris,"ID 1387591138257903631","Thu Apr 29 02:14:42 +0000 2021"," RT @POTUS: If we are to truly restore the soul of America, then we need to protect the sacred right to vote.

Congress should pass H.R. 1 a…",https://twitter.com/KamalaHarris/statuses/1387591138257903631,6176,0,"Twitter Web App"
KamalaHarris,"ID 1387578073915199488","Thu Apr 29 01:22:47 +0000 2021"," RT @POTUS: 100 days ago, America’s house was on fire. We had to act, so we:

- Passed the American Rescue Plan
- Administered over 200 mill…",https://twitter.com/KamalaHarris/statuses/1387578073915199488,3459,0,"Twitter Web App"
KamalaHarris,"ID 1387573416681775106","Thu Apr 29 01:04:17 +0000 2021"," Help is here, and hope is here. America is getting back on track. Tune in as President @JoeBiden makes his first joint address to Congress. https://t.co/7SIx7TvWci",https://twitter.com/KamalaHarris/statuses/1387573416681775106,869,9501,"Twitter Web App"
KamalaHarris,"ID 1387476520290111494","Wed Apr 28 18:39:15 +0000 2021"," RT @POTUS: To make tonight’s joint address accessible for all Americans, every White House livestream will have American Sign Language (ASL…",https://twitter.com/KamalaHarris/statuses/1387476520290111494,2904,0,"Twitter Web App"
KamalaHarris,"ID 1387156752039297027","Tue Apr 27 21:28:36 +0000 2021"," From checks in pockets to shots in arms—America is getting back on track. Now, we need your help sharing everything we’ve accomplished together. Sign up today to make calls directly to supporters: https://t.co/4TE9paiGhh",https://twitter.com/KamalaHarris/statuses/1387156752039297027,839,7744,"Twitter Web App"
KamalaHarris,"ID 1386799217864318978","Mon Apr 26 21:47:53 +0000 2021"," RT @WhiteHouse: Today, the USDA announced a new effort funded by the American Rescue Plan to provide nutrition assistance to more than 30 m…",https://twitter.com/KamalaHarris/statuses/1386799217864318978,1916,0,"Twitter Web App"
KamalaHarris,"ID 1386417253130719232","Sun Apr 25 20:30:06 +0000 2021"," RT @VP: The U.S. is working closely with the Indian government to rapidly deploy additional support and supplies during an alarming COVID-1…",https://twitter.com/KamalaHarris/statuses/1386417253130719232,7464,0,"Twitter Web App"
KamalaHarris,"ID 1385707595370016771","Fri Apr 23 21:30:10 +0000 2021"," Get vaccinated. Wear a mask. Save lives.",https://twitter.com/KamalaHarris/statuses/1385707595370016771,23212,228504,"Twitter Web App"
KamalaHarris,"ID 1385354115832852484","Thu Apr 22 22:05:34 +0000 2021"," RT @VP: I applaud the Senate for passing, with bipartisan support, Senator @MazieHirono’s COVID-19 Hate Crimes Act to address the surge in…",https://twitter.com/KamalaHarris/statuses/1385354115832852484,2501,0,"Twitter Web App"
KamalaHarris,"ID 1385281406612475908","Thu Apr 22 17:16:39 +0000 2021"," RT @VP: My mother was a scientist and raised me to appreciate the power of science. On this #EarthDay, I am proud that science is back in t…",https://twitter.com/KamalaHarris/statuses/1385281406612475908,7044,0,"Twitter Web App"
KamalaHarris,"ID 1384907683527069697","Wed Apr 21 16:31:36 +0000 2021"," RT @POTUS: We can and we must do more to reduce the likelihood that tragedies like this will ever happen or occur again. To ensure that Bla…",https://twitter.com/KamalaHarris/statuses/1384907683527069697,2626,0,"Twitter Web App"
KamalaHarris,"ID 1384663440443183107","Wed Apr 21 00:21:04 +0000 2021"," RT @VP: We are all part of George Floyd's legacy. And now our job is to honor it—to honor him.",https://twitter.com/KamalaHarris/statuses/1384663440443183107,3945,0,"Twitter Web App"
KamalaHarris,"ID 1384645139839209473","Tue Apr 20 23:08:21 +0000 2021"," RT @WhiteHouse: Live: President Biden and Vice President Harris address the nation on the verdict in the trial of Derek Chauvin. https://t.…",https://twitter.com/KamalaHarris/statuses/1384645139839209473,2055,0,"Twitter Web App"
