"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
NateBell4AR,"ID 1390103403938914304","Thu May 06 00:37:33 +0000 2021"," RT @frequentbuyer1: Thank you for being courageous &amp; placing your #PrinciplesFirst, @RepLizCheney #CountryOverParty every single time! #Pat…",https://twitter.com/NateBell4AR/statuses/1390103403938914304,15,0,"Twitter for Android"
NateBell4AR,"ID 1390103267875692551","Thu May 06 00:37:00 +0000 2021"," RT @TaraSetmayer: That’s not how this works. 
That’s not how any of this works. 🤦🏽‍♀️",https://twitter.com/NateBell4AR/statuses/1390103267875692551,213,0,"Twitter for Android"
NateBell4AR,"ID 1390102974186377218","Thu May 06 00:35:50 +0000 2021"," RT @steamtug7: Liz Cheney's trembling male colleagues don't like being shown up by one fiercely courageous female in their midst, who has t…",https://twitter.com/NateBell4AR/statuses/1390102974186377218,14,0,"Twitter for Android"
NateBell4AR,"ID 1390101604867756034","Thu May 06 00:30:24 +0000 2021"," @Atticus59914029 Sadly, he's right.",https://twitter.com/NateBell4AR/statuses/1390101604867756034,1,4,"Twitter for Android"
NateBell4AR,"ID 1390101296867430402","Thu May 06 00:29:10 +0000 2021"," RT @HeathMayo: Hey, followers: Apologies for filling  your feed with a steady stream of Pro Liz Cheney content.

But this is a crucial batt…",https://twitter.com/NateBell4AR/statuses/1390101296867430402,78,0,"Twitter for Android"
NateBell4AR,"ID 1390101218362642434","Thu May 06 00:28:51 +0000 2021"," @Bobroyalpalm @McCormackJohn @daveweigel Heil",https://twitter.com/NateBell4AR/statuses/1390101218362642434,0,1,"Twitter for Android"
NateBell4AR,"ID 1390011917134073857","Wed May 05 18:34:00 +0000 2021"," RT @mindyfinn: It’s been said but worth underscoring that the fact Gaetz is not a problematic man and Cheney is a problematic woman per Hou…",https://twitter.com/NateBell4AR/statuses/1390011917134073857,7288,0,"Twitter for Android"
NateBell4AR,"ID 1390011876038397953","Wed May 05 18:33:51 +0000 2021"," History isn't going to be kind to Bill Barr or the rest of the White House criminal cabal he protected from prosecution. https://t.co/8fZ2RIZrDh",https://twitter.com/NateBell4AR/statuses/1390011876038397953,0,9,"Twitter for Android"
NateBell4AR,"ID 1390010196811034625","Wed May 05 18:27:10 +0000 2021"," Protecting #pedophiles.
Persecuting #patriots.
Today's @GOP.
#MattGaetzIsAPervert #IStandWithLiz",https://twitter.com/NateBell4AR/statuses/1390010196811034625,1,11,"Twitter for Android"
NateBell4AR,"ID 1389950834809655297","Wed May 05 14:31:17 +0000 2021"," RT @HeathMayo: There is no “ideological rigidity” at play here—because the House GOP isn’t defending an idea.

This is about enforcing feal…",https://twitter.com/NateBell4AR/statuses/1389950834809655297,20,0,"Twitter for Android"
NateBell4AR,"ID 1389950546312892426","Wed May 05 14:30:08 +0000 2021"," RT @TheValuesVoter: Since Trump wants “Donald J. Trump” to trend, let me add this in:

The only Presidents in all of US history who NEVER g…",https://twitter.com/NateBell4AR/statuses/1389950546312892426,7,0,"Twitter for Android"
NateBell4AR,"ID 1389949642335563776","Wed May 05 14:26:33 +0000 2021"," @blakerutherford They're American principles that SHOULD be held by ALL regardless of politics.",https://twitter.com/NateBell4AR/statuses/1389949642335563776,0,1,"Twitter for Android"
NateBell4AR,"ID 1389949417403334657","Wed May 05 14:25:39 +0000 2021"," RT @davidebiddle: @NateBell4AR @EliseStefanik @Liz_Cheney It's no longer about policy, it's about loyalty. That's what personality cults re…",https://twitter.com/NateBell4AR/statuses/1389949417403334657,1,0,"Twitter for Android"
NateBell4AR,"ID 1389946744197238785","Wed May 05 14:15:02 +0000 2021"," If you believe @EliseStefanik is more #conservative than @Liz_Cheney you're a special kind of stupid. 
Idol worship ain't conservatism no matter how devout.
#cult45",https://twitter.com/NateBell4AR/statuses/1389946744197238785,4,31,"Twitter for Android"
NateBell4AR,"ID 1389943674637803527","Wed May 05 14:02:50 +0000 2021"," Spot on ma'am! https://t.co/TvA1xIErtY",https://twitter.com/NateBell4AR/statuses/1389943674637803527,0,8,"Twitter for Android"
NateBell4AR,"ID 1389940009214615555","Wed May 05 13:48:16 +0000 2021"," RT @SarahLongwell25: Guy who lost the House, Senate, and Presidency has thoughts on how the GOP can more thoroughly destroy itself. https:/…",https://twitter.com/NateBell4AR/statuses/1389940009214615555,235,0,"Twitter Web App"
NateBell4AR,"ID 1389939973529423875","Wed May 05 13:48:08 +0000 2021"," RT @AdamKinzinger: On January 6th, both @GOPLeader and @RepLizCheney condemned the former guy’s words.  @RepLizCheney hasn’t changed her tu…",https://twitter.com/NateBell4AR/statuses/1389939973529423875,3186,0,"Twitter Web App"
NateBell4AR,"ID 1389938133882523658","Wed May 05 13:40:49 +0000 2021"," @1ofmanythoughts @Liz_Cheney @PrinciplesFirst @StandUpRepublic @commongroundar War is like taxes.  They're ALL bad but some are necessary.",https://twitter.com/NateBell4AR/statuses/1389938133882523658,0,1,"Twitter Web App"
