"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RashidaTlaib,"ID 1390119221242351618","Thu May 06 01:40:24 +0000 2021"," RT @RepMarieNewman: Palestinian families have every right to live in #SheikhJarrah.

I'm calling on the @StateDept to immediately condemn t…",https://twitter.com/RashidaTlaib/statuses/1390119221242351618,704,0,"Twitter for Android"
RashidaTlaib,"ID 1390119153755951109","Thu May 06 01:40:08 +0000 2021"," RT @RepChuyGarcia: The violent attempts to displace families in the Sheikh Jarrah neighborhood are appalling. The State Department must con…",https://twitter.com/RashidaTlaib/statuses/1390119153755951109,154,0,"Twitter for Android"
RashidaTlaib,"ID 1390076331854028809","Wed May 05 22:49:58 +0000 2021"," RT @IlhanMN: We provide $3.8 billion in military aid to the Israeli government a year, without any accountability.

As we speak, the Israel…",https://twitter.com/RashidaTlaib/statuses/1390076331854028809,938,0,"Twitter for Android"
RashidaTlaib,"ID 1390049681053556739","Wed May 05 21:04:04 +0000 2021"," RT @AOC: Let’s do insulin next",https://twitter.com/RashidaTlaib/statuses/1390049681053556739,31228,0,"Twitter for Android"
RashidaTlaib,"ID 1390028152647340040","Wed May 05 19:38:31 +0000 2021"," We will only be able to end the pandemic with the rapid global rollout of COVID vaccines. Waiving IP protections is the moral thing to do.

Thank you to the global movement that has fought for equal access to vaccines, and thank you @POTUS for keeping your promise.",https://twitter.com/RashidaTlaib/statuses/1390028152647340040,156,846,"Twitter for Android"
RashidaTlaib,"ID 1390027027705733126","Wed May 05 19:34:03 +0000 2021"," 🙌🏽 https://t.co/jmDdVgmuIk",https://twitter.com/RashidaTlaib/statuses/1390027027705733126,94,1196,"Twitter for Android"
RashidaTlaib,"ID 1390011929641590784","Wed May 05 18:34:03 +0000 2021"," RT @MPower_Change: Israeli apartheid in Palestine. Hindu fascism in India. White supremacy in the US. These are the political roots of the…",https://twitter.com/RashidaTlaib/statuses/1390011929641590784,87,0,"Twitter for Android"
RashidaTlaib,"ID 1389992894002499586","Wed May 05 17:18:25 +0000 2021"," https://t.co/2Og0GnFO80",https://twitter.com/RashidaTlaib/statuses/1389992894002499586,211,740,"Twitter for iPhone"
RashidaTlaib,"ID 1389992893083947012","Wed May 05 17:18:25 +0000 2021"," Stealing Palestinian homes and burning their lands. The actions of an apartheid state.

We cannot stand by and watch this happen. @SecBlinken, billions of U.S. taxpayers dollars support Netanyahu’s government and this racist violence. We must condemn this swiftly.",https://twitter.com/RashidaTlaib/statuses/1389992893083947012,1471,5993,"Twitter for iPhone"
RashidaTlaib,"ID 1389962570782609410","Wed May 05 15:17:55 +0000 2021"," RT @SecDebHaaland: The rates of missing person cases in the American Indian and Alaska Native communities are disproportionate, alarming, a…",https://twitter.com/RashidaTlaib/statuses/1389962570782609410,2611,0,"Twitter for Android"
