"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
SheKnowsSports,"ID 1390116722649276419","Thu May 06 01:30:28 +0000 2021"," @adena_andrews @WeGotGame2 And House of Evangelista Betta win! #ComeJudgeForMe",https://twitter.com/SheKnowsSports/statuses/1390116722649276419,0,2,"Twitter for iPhone"
SheKnowsSports,"ID 1390115945239171074","Thu May 06 01:27:23 +0000 2021"," RT @AdamSchefter: NFL sent this memo to teams today regarding injuries sustained away from team facilities: https://t.co/oj1WieNrnc",https://twitter.com/SheKnowsSports/statuses/1390115945239171074,542,0,"Twitter for iPhone"
SheKnowsSports,"ID 1390112737947275264","Thu May 06 01:14:38 +0000 2021"," How dare @shadowandbone_  only have 8 episodes! I need season 2 - TODAY! 😩🤣",https://twitter.com/SheKnowsSports/statuses/1390112737947275264,1,4,"Twitter for iPhone"
SheKnowsSports,"ID 1390037630038024195","Wed May 05 20:16:11 +0000 2021"," RT @AtlantaDream: Can’t let the rook take home all the money, right, @Daela_Kavis3? https://t.co/YTJeLLictm",https://twitter.com/SheKnowsSports/statuses/1390037630038024195,10,0,"Twitter for iPhone"
SheKnowsSports,"ID 1390037534412087296","Wed May 05 20:15:48 +0000 2021"," RT @PhoenixMercury: The new hardwood for Season 25 🤩 #4TheValley https://t.co/39frzK7iNB",https://twitter.com/SheKnowsSports/statuses/1390037534412087296,32,0,"Twitter for iPhone"
SheKnowsSports,"ID 1390023759084535812","Wed May 05 19:21:04 +0000 2021"," RT @seattlestorm: ⛈️ WELCOME HOME! ⛈️

We are excited to welcome back a limited number of fans to home games this season!

Read more ⬇️
htt…",https://twitter.com/SheKnowsSports/statuses/1390023759084535812,53,0,"Twitter for iPhone"
SheKnowsSports,"ID 1390023604058955779","Wed May 05 19:20:27 +0000 2021"," RT @WNBA: When there's 100 national #WNBA games 🙌

Don't miss the ABC doubleheader on Saturday, May 15th, 1pm/et 🏀 Full #WNBA schedule ⬇️…",https://twitter.com/SheKnowsSports/statuses/1390023604058955779,18,0,"Twitter for iPhone"
SheKnowsSports,"ID 1390019353714769931","Wed May 05 19:03:33 +0000 2021"," RT @ConnecticutSun: There’s another CHAMPION on this roster! Congratulations to Briann January and @WBSopron for winning the title in Hunga…",https://twitter.com/SheKnowsSports/statuses/1390019353714769931,8,0,"Twitter Web App"
SheKnowsSports,"ID 1390012719806435334","Wed May 05 18:37:12 +0000 2021"," RT @nyliberty: Whole squad hype. 🙌🗽 https://t.co/pZFi8WsP2a",https://twitter.com/SheKnowsSports/statuses/1390012719806435334,65,0,"Twitter for iPhone"
SheKnowsSports,"ID 1390004662804357121","Wed May 05 18:05:11 +0000 2021"," @aubrey_ac @WNBA Gonna DM you! Got news",https://twitter.com/SheKnowsSports/statuses/1390004662804357121,0,0,"Twitter Web App"
SheKnowsSports,"ID 1390003378059677696","Wed May 05 18:00:05 +0000 2021"," Another fan EXCITED about being able to have @WNBA league pass. 

Ya'll really don't know how dope ya'll are to have been able to give fans like this an opportunity to watch the best athletes in the world! 

#WNBA || #CountIt https://t.co/0CXIWjI4bc",https://twitter.com/SheKnowsSports/statuses/1390003378059677696,6,56,"Twitter Web App"
SheKnowsSports,"ID 1390002704467087363","Wed May 05 17:57:24 +0000 2021"," RT @WrestlingWrealm: Does wrestling music still have it signature effect today??

@BrianHWaters @DwayneAllen24 
YouTube https://t.co/NCO0dh…",https://twitter.com/SheKnowsSports/statuses/1390002704467087363,15,0,"Twitter Web App"
SheKnowsSports,"ID 1389997444004462592","Wed May 05 17:36:30 +0000 2021"," RT @THECoachG1: @SheKnowsSports THANKS FAM! 💯💪🏾 @WNBA 🗣🗣🗣🤜🏾🤛🏾",https://twitter.com/SheKnowsSports/statuses/1389997444004462592,1,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389978038591438854","Wed May 05 16:19:23 +0000 2021"," RT @VickieJohnson_: The @WNBA was launched to help bring women’s basketball to the United States.  Many felt there would be a big market fo…",https://twitter.com/SheKnowsSports/statuses/1389978038591438854,36,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389973553873920001","Wed May 05 16:01:34 +0000 2021"," RT @ariivory: $5.85 million is a wonderful song to sing. Yasssss @AdiaBarnes",https://twitter.com/SheKnowsSports/statuses/1389973553873920001,9,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389970278051102720","Wed May 05 15:48:33 +0000 2021"," RT @ariivory: DEVASTATING news from @nyliberty:
Jocelyn Willoughby suffered a tear of her left Achilles’ tendon during the team’s scrimmage…",https://twitter.com/SheKnowsSports/statuses/1389970278051102720,37,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389970191807881224","Wed May 05 15:48:12 +0000 2021"," RT @WinsidrAryeh: @SheKnowsSports Wooo! We have had current players on the show and they clearly don’t watch the W outside of film sessions…",https://twitter.com/SheKnowsSports/statuses/1389970191807881224,1,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389967358765281286","Wed May 05 15:36:57 +0000 2021"," This whole part!! 

I have interview players who are currently in the W, but in college when I asked who were some of their favorite players to watch, instantly named NBA players. How can you want to play in a league you don’t watch? EXPOSURE IS SO IMPORTANT!! https://t.co/r2ZoPQH3my",https://twitter.com/SheKnowsSports/statuses/1389967358765281286,9,51,"Twitter for iPhone"
SheKnowsSports,"ID 1389963169590878208","Wed May 05 15:20:18 +0000 2021"," RT @ThatRachelH: @SheKnowsSports @WNBA Thank you for everything you do.",https://twitter.com/SheKnowsSports/statuses/1389963169590878208,1,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389963017987706880","Wed May 05 15:19:42 +0000 2021"," RT @Yourbr33zyness: @_alexismarie24 You and @SheKnowsSports are truly awesome!!",https://twitter.com/SheKnowsSports/statuses/1389963017987706880,1,0,"Twitter for iPhone"
SheKnowsSports,"ID 1389941088614506502","Wed May 05 13:52:34 +0000 2021"," @DinaGlenn30 1000 times better. Like a dramatic difference!",https://twitter.com/SheKnowsSports/statuses/1389941088614506502,0,1,"Twitter for iPhone"
SheKnowsSports,"ID 1389914960373985281","Wed May 05 12:08:44 +0000 2021"," @AshleyBaker_21 @netflix @shadowandbone_ 1000 times better!",https://twitter.com/SheKnowsSports/statuses/1389914960373985281,0,0,"Twitter for iPhone"
