"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
SpeakerPelosi,"ID 1390088821434421248","Wed May 05 23:39:36 +0000 2021"," This progress is a great credit to Democrats’ tireless outreach and engagement to ensure that vulnerable communities take full advantage of the resources available to them. Meanwhile, every Republican in Congress voted against helping our restaurants survive this crisis.",https://twitter.com/SpeakerPelosi/statuses/1390088821434421248,219,1118,"Twitter for iPhone"
SpeakerPelosi,"ID 1390086419759210496","Wed May 05 23:30:03 +0000 2021"," In just a few short days, @HouseDemocrats’ Restaurant Revitalization Fund signed into law as part of the American Rescue Plan already has 186,000 applications – more than half from women, veterans or socially and economically disadvantaged individuals. 

https://t.co/IuwM1ztTVB",https://twitter.com/SpeakerPelosi/statuses/1390086419759210496,329,1495,"Sprout Social"
SpeakerPelosi,"ID 1390069034931138567","Wed May 05 22:20:58 +0000 2021"," On his birthday, we remember the first AAPI Mayor of SF, Ed Lee, whose strong leadership created thousands of units of affordable housing, innovative solutions to homelessness and helped ensure that California’s minimum wage was raised to $15/hour by 2022. #APAHM https://t.co/WkcZXD1JTN",https://twitter.com/SpeakerPelosi/statuses/1390069034931138567,107,889,"Twitter for iPhone"
SpeakerPelosi,"ID 1390069029692448768","Wed May 05 22:20:57 +0000 2021"," Yesterday, I had the pleasure of attending a grand opening of apartments for formerly homeless veterans and low-income families - the Edwin M. Lee Apartments in Mission Bay - named in honor of our late Mayor. https://t.co/MZb68Q7Qzt",https://twitter.com/SpeakerPelosi/statuses/1390069029692448768,322,2401,"Twitter for iPhone"
SpeakerPelosi,"ID 1390045899058028552","Wed May 05 20:49:02 +0000 2021"," With @HouseDemocrats and @POTUS’ leadership and American Jobs Plan, we have the opportunity to invest in Americans across the country, creating good-paying jobs while restoring our infrastructure and getting our economy back on track. #BuildBackBetter https://t.co/3Czn7n7ac0",https://twitter.com/SpeakerPelosi/statuses/1390045899058028552,331,1403,"Sprout Social"
SpeakerPelosi,"ID 1389993642417401859","Wed May 05 17:21:23 +0000 2021"," That's why @HouseDemocrats proudly passed the American Dream &amp; Promise Act, a first step to restoring compassion &amp; justice to our broken immigration system. Working closely with @POTUS we will not relent until we harmonize our policies with our values.

https://t.co/5yScDWOLnQ",https://twitter.com/SpeakerPelosi/statuses/1389993642417401859,100,668,"Twitter for iPhone"
SpeakerPelosi,"ID 1389993313877602311","Wed May 05 17:20:05 +0000 2021"," This #CincoDeMayo we celebrate the hard-won victory at the Battle of Puebla and rich contributions that Mexican Americans &amp; Latinos have made to our country as we uphold our history as a nation of immigrants, a beacon of hope &amp; an extended hand to all yearning to be free. https://t.co/CWIVyw5WQp",https://twitter.com/SpeakerPelosi/statuses/1389993313877602311,305,1633,"Sprout Social"
SpeakerPelosi,"ID 1389924843362164739","Wed May 05 12:48:00 +0000 2021"," The US is the only industrialized country in the world that does not have a paid family medical leave program in place. The American Families Plan takes action to combat this with a historic expansion of family &amp; medical leave, child care, health care and education.",https://twitter.com/SpeakerPelosi/statuses/1389924843362164739,1782,8936,"Sprout Social"
SpeakerPelosi,"ID 1389747513587077123","Wed May 05 01:03:22 +0000 2021"," Educators have been on the frontline of the pandemic: bringing passion &amp; creativity to the challenge of virtual learning, heroically helping students and parents around the clock, while working tirelessly to get back in the classroom safely. Thank you. #TeacherAppreciationDay",https://twitter.com/SpeakerPelosi/statuses/1389747513587077123,881,5554,"Twitter for iPhone"
SpeakerPelosi,"ID 1389682707597299719","Tue May 04 20:45:51 +0000 2021"," Over 16? You’re eligible to get a COVID-19 vaccine. More than 90% of Americans now live within 5 miles of a vaccination site! To see where you can get yours input your ZIP code at https://t.co/GafnrZ1F3E / https://t.co/FDPj0MaPY8 or text it to GETVAX (438829) / VACUNA (822862).",https://twitter.com/SpeakerPelosi/statuses/1389682707597299719,604,2460,"Twitter Web App"
SpeakerPelosi,"ID 1389669294317899777","Tue May 04 19:52:33 +0000 2021"," As we remember the Holocaust, we pledge to never forget. To know the origins of the Holocaust, we must understand that #ItStartedWithWords and learn the history and lessons the survivors can teach us. https://t.co/xeTOi6u9An",https://twitter.com/SpeakerPelosi/statuses/1389669294317899777,669,2459,"Twitter Web App"
SpeakerPelosi,"ID 1389578885457666054","Tue May 04 13:53:18 +0000 2021"," In @POTUS’ first 100 days, we’ve passed legislation that put shots in arms, money in pockets, kids in school &amp; people in jobs, which helped the economy &amp; families rebound from the devastating effects of the pandemic. We will continue to #BuildBackBetter w/ the American Jobs Plan.",https://twitter.com/SpeakerPelosi/statuses/1389578885457666054,1628,8956,"Twitter Web App"
SpeakerPelosi,"ID 1389335472950943749","Mon May 03 21:46:04 +0000 2021"," Thanks for spreading the news about the great work @HouseDemocrats have put in to save restaurants! Too bad you voted against helping Americans 😕 https://t.co/PSRDq4ST1N",https://twitter.com/SpeakerPelosi/statuses/1389335472950943749,4003,14295,"Sprout Social"
SpeakerPelosi,"ID 1389310801803100162","Mon May 03 20:08:01 +0000 2021"," In @POTUS' first 100 days, we have moved our country forward, changed the course of the pandemic and delivered relief to hard-working families. It’s time to #BuildBackBetter with the American Jobs Plan. https://t.co/ADU7tkocT3",https://twitter.com/SpeakerPelosi/statuses/1389310801803100162,760,4091,"Sprout Social"
SpeakerPelosi,"ID 1388959017570127877","Sun May 02 20:50:10 +0000 2021"," See what happened behind-the-scenes this week at the United States Capitol with my Medium post, ‘Madam Speaker.’

https://t.co/JO5B5ttzRQ",https://twitter.com/SpeakerPelosi/statuses/1388959017570127877,430,2423,"Sprout Social"
