"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
almaforarizona,"ID 1389807284922900483","Wed May 05 05:00:52 +0000 2021"," @reginaldbolding @michudall @JoelJohn4House @aaron4az @Jennifer_Pawlik @CharleneforAZ @JudyForAZ Sad I missed this picture 😩",https://twitter.com/almaforarizona/statuses/1389807284922900483,0,5,"Twitter for iPhone"
almaforarizona,"ID 1389806877781815299","Wed May 05 04:59:15 +0000 2021"," Thank you, @BrianaWhitney, for sharing the story and the doctors who agree that my situation is rare and could've been worse had I not been vaccinated. I'm grateful I was only there a few hours and feel much better because of it! Staying optimistic about my situation! #COVID19 https://t.co/iTm6SjSrxS",https://twitter.com/almaforarizona/statuses/1389806877781815299,2,16,"Twitter for iPhone"
almaforarizona,"ID 1389721191879909377","Tue May 04 23:18:46 +0000 2021"," @senyorreporter Hey, some of us actually do it quite often...when you have family that lives on the other side, that’s just an everyday experience 🤷🏽‍♀️ , and one hour is very generous sometimes; it takes much longer than that!!",https://twitter.com/almaforarizona/statuses/1389721191879909377,0,6,"Twitter for iPhone"
almaforarizona,"ID 1389650446755663873","Tue May 04 18:37:39 +0000 2021"," THIS ⬇️ https://t.co/vQx7QDfEb6",https://twitter.com/almaforarizona/statuses/1389650446755663873,0,33,"Twitter for iPhone"
almaforarizona,"ID 1389635382833139713","Tue May 04 17:37:48 +0000 2021"," @RealSarahIdan @DignityHealthAZ So glad to hear you’re better as well!! I’m also happy you’re now fully vaccinated. Great news. I definitely am much better today and know it will only get better. Baruch HaShem💙",https://twitter.com/almaforarizona/statuses/1389635382833139713,0,12,"Twitter for iPhone"
almaforarizona,"ID 1389612588757962756","Tue May 04 16:07:13 +0000 2021"," Yes, thank you all so much for your good wishes; they took great care of me, took all necessary exams, X-rays/MRIs, and made sure that I could come home safely. I can’t emphasize enough how grateful I am that I was #vaccinated and that we have incredible medical #Heroes helping!",https://twitter.com/almaforarizona/statuses/1389612588757962756,2,94,"Twitter for iPhone"
almaforarizona,"ID 1389608395775254535","Tue May 04 15:50:33 +0000 2021"," Last night I went to the ER due to my fever coming back &amp; unbearable migraine. My body has reacted differently so I needed help. The amazing medical staff at @DignityHealthAZ immediately put me on a mix of medications/IVS; this morning, I'm🏡, and I feel 100x better. #COVID19",https://twitter.com/almaforarizona/statuses/1389608395775254535,12,490,"Twitter for iPhone"
almaforarizona,"ID 1389327385611309059","Mon May 03 21:13:55 +0000 2021"," @carlyeliza17 @Hernandez4pima Omg tiny!!!!😍",https://twitter.com/almaforarizona/statuses/1389327385611309059,0,3,"Twitter for iPhone"
almaforarizona,"ID 1389326817731903489","Mon May 03 21:11:40 +0000 2021"," @mcguirechels @Hernandez4pima 😭😍",https://twitter.com/almaforarizona/statuses/1389326817731903489,0,1,"Twitter for iPhone"
almaforarizona,"ID 1389301444151369731","Mon May 03 19:30:50 +0000 2021"," @gerlachjeremy @Hernandez4pima 😭❤️😍😩 omg",https://twitter.com/almaforarizona/statuses/1389301444151369731,0,2,"Twitter for iPhone"
almaforarizona,"ID 1389301346302529536","Mon May 03 19:30:27 +0000 2021"," I JUST GOT A DELIVERY FROM MY DEAR @HenMazzig FROM 🇮🇱 😭SERIOUSLY. I LOVE JEW SO MUCH THOUSANDS OF MILES AWAY, AND YOU STILL MANAGE TO BE AN AMAZING FRIEND! תודה רבה #blessed https://t.co/32ebRf0u9g",https://twitter.com/almaforarizona/statuses/1389301346302529536,5,214,"Twitter for iPhone"
almaforarizona,"ID 1388932799806115841","Sun May 02 19:05:59 +0000 2021"," @Hernandez4pima I so very much appreciate all these wonderful pictures they definitely made me laugh and smile!!🥰💙",https://twitter.com/almaforarizona/statuses/1388932799806115841,0,8,"Twitter for iPhone"
almaforarizona,"ID 1388932507819659264","Sun May 02 19:04:49 +0000 2021"," @DoritSeed @Hernandez4pima Oh my god this is too cute this is literally how I feel right now 😂😭",https://twitter.com/almaforarizona/statuses/1388932507819659264,0,3,"Twitter for iPhone"
almaforarizona,"ID 1388932125290688514","Sun May 02 19:03:18 +0000 2021"," @mrkotter @Hernandez4pima @danielforaz His eyes 😂😍",https://twitter.com/almaforarizona/statuses/1388932125290688514,0,1,"Twitter for iPhone"
almaforarizona,"ID 1388930797537697795","Sun May 02 18:58:01 +0000 2021"," Even though I have been down with #COVID19, I still had work to do and I just submitted grades for my @asunursing, students who will be graduating tomorrow! Mazel Tov to all the DNP(Family NP, Pediatric NP, Women's Health NP) who've been in my class; I am so proud of you all!🎓",https://twitter.com/almaforarizona/statuses/1388930797537697795,4,113,"Twitter for iPhone"
almaforarizona,"ID 1388717724906319873","Sun May 02 04:51:21 +0000 2021"," @MoGoldman @Hernandez4pima 😍😭",https://twitter.com/almaforarizona/statuses/1388717724906319873,0,1,"Twitter for iPhone"
almaforarizona,"ID 1388713604648640514","Sun May 02 04:34:59 +0000 2021"," @ElliotMalin @Hernandez4pima 😩😭 omg too cute",https://twitter.com/almaforarizona/statuses/1388713604648640514,0,1,"Twitter for iPhone"
almaforarizona,"ID 1388712706568429571","Sun May 02 04:31:24 +0000 2021"," @CaliforniaFirst @Hernandez4pima @tiredjew2k5eva Omg is this a chihuahua huskie?!? Never seen one!!!😍",https://twitter.com/almaforarizona/statuses/1388712706568429571,0,2,"Twitter for iPhone"
