"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
petermaer,"ID 1389762047655743501","Wed May 05 02:01:07 +0000 2021"," RT @kylegriffin1: Trump's Scottish golf resorts collected up to $800,000 in subsidies from the British government to protect jobs during th…",https://twitter.com/petermaer/statuses/1389762047655743501,943,0,"Twitter for iPhone"
petermaer,"ID 1389760544413003778","Wed May 05 01:55:08 +0000 2021"," Does he still refer to you as, “lying Ted?” https://t.co/G3dpO9fqAs",https://twitter.com/petermaer/statuses/1389760544413003778,2,19,"Twitter for iPhone"
petermaer,"ID 1389759745439981571","Wed May 05 01:51:58 +0000 2021"," RT @DavidCornDC: A GOP member of the House apologizes to Republicans for working with a Democrat on hate-crimes legislation.",https://twitter.com/petermaer/statuses/1389759745439981571,1255,0,"Twitter for iPhone"
petermaer,"ID 1389571420057964548","Tue May 04 13:23:38 +0000 2021"," Congratulations to @Yamiche. https://t.co/8JY9LhVViA",https://twitter.com/petermaer/statuses/1389571420057964548,1,5,"Twitter for iPad"
petermaer,"ID 1389564647087431681","Tue May 04 12:56:43 +0000 2021"," Are the Bidens giants? Are the Carters tiny? Or are our eyes failing us? - The ⁦@washingtonpost⁩  https://t.co/LkOdMV4FNv",https://twitter.com/petermaer/statuses/1389564647087431681,2,7,"Twitter for iPad"
petermaer,"ID 1389404320773419010","Tue May 04 02:19:38 +0000 2021"," For those doubting the photo: https://t.co/5VpLhNDP6R",https://twitter.com/petermaer/statuses/1389404320773419010,12,37,"Twitter for iPhone"
petermaer,"ID 1389403111089913857","Tue May 04 02:14:50 +0000 2021"," Note: Posted on Carter Library and Museum Facebook page. https://t.co/bTduPhETLo",https://twitter.com/petermaer/statuses/1389403111089913857,2,9,"Twitter for iPhone"
petermaer,"ID 1389395010651623430","Tue May 04 01:42:38 +0000 2021"," .⁦@CarterLibrary⁩ releases photo from Biden’s and Carter’s visit last week in Plains, GA. https://t.co/G6Y0oOJMgT",https://twitter.com/petermaer/statuses/1389395010651623430,1557,16521,"Twitter for iPhone"
petermaer,"ID 1389278483390545920","Mon May 03 17:59:36 +0000 2021"," #ESPN’s ⁦@meridak⁩ named @latimes executive ed. Congratulations Kevin, a great journalist and fine man.  https://t.co/WH01ZfVfWi",https://twitter.com/petermaer/statuses/1389278483390545920,1,5,"Twitter for iPhone"
petermaer,"ID 1389264066888228864","Mon May 03 17:02:19 +0000 2021"," RT @PressSec: more from my full comment: @POTUS  is president for all Americans no matter who they voted for. And so our focus is on contin…",https://twitter.com/petermaer/statuses/1389264066888228864,850,0,"Twitter Web App"
petermaer,"ID 1389263836193112068","Mon May 03 17:01:24 +0000 2021"," The former guy has more than met his match. 
https://t.co/FZDqGWq9f5",https://twitter.com/petermaer/statuses/1389263836193112068,3,25,"Twitter Web App"
petermaer,"ID 1389254680178569218","Mon May 03 16:25:01 +0000 2021"," #fistbump https://t.co/B4lWz0TRxx",https://twitter.com/petermaer/statuses/1389254680178569218,3,11,"Twitter for iPhone"
petermaer,"ID 1389078287624949763","Mon May 03 04:44:06 +0000 2021"," .⁦@DrLeanaWen⁩ on why,
“vaccination is our society’s pathway back to normalcy.” #covid  https://t.co/dW9UImi2Uj",https://twitter.com/petermaer/statuses/1389078287624949763,4,16,"Twitter for iPad"
petermaer,"ID 1389049052776615939","Mon May 03 02:47:56 +0000 2021"," The politicians who tried to overturn an election — and the local news team that won’t let anyone forget it. Bravo ⁦@witfnews⁩ teaching the “big guys” a lesson.  https://t.co/dh3lfehuGA",https://twitter.com/petermaer/statuses/1389049052776615939,5,15,"Twitter for iPad"
petermaer,"ID 1388993438260072450","Sun May 02 23:06:56 +0000 2021"," Or maybe @SenatorCollins would like her #Maine to revert to being part of #Massachusetts. It wasa section of MA until 1820 when it became a separate state. https://t.co/ZGT2yJB4Eg",https://twitter.com/petermaer/statuses/1388993438260072450,10,22,"Twitter for iPhone"
petermaer,"ID 1388991392228253698","Sun May 02 22:58:48 +0000 2021"," RT @BillKristol: Or Maine could retrocede to Massachusetts.",https://twitter.com/petermaer/statuses/1388991392228253698,1523,0,"Twitter for iPhone"
petermaer,"ID 1388980363813392388","Sun May 02 22:14:59 +0000 2021"," He pledged allegiance to the former guy but couldn't recall the words to the Pledge to the United States of America. https://t.co/mAgU7v6pw8",https://twitter.com/petermaer/statuses/1388980363813392388,3,14,"Twitter Web App"
petermaer,"ID 1388979944202584066","Sun May 02 22:13:19 +0000 2021"," #UNAMERICAN
https://t.co/qDuQZ2RFfj",https://twitter.com/petermaer/statuses/1388979944202584066,1,1,"Twitter Web App"
petermaer,"ID 1388845659508428800","Sun May 02 13:19:43 +0000 2021"," .⁦@MittRomney⁩ booed after telling #Utah GOP #Republicans, “...
I don’t hide the fact that I wasn’t a fan of our last president’s character issues.” ⁦@thehill⁩  https://t.co/qpM7585mzi",https://twitter.com/petermaer/statuses/1388845659508428800,1,9,"Twitter for iPad"
petermaer,"ID 1388161583759728646","Fri Apr 30 16:01:27 +0000 2021"," Did daddy teach him how to tuck in his shirt? https://t.co/jhuoT6l3Nd",https://twitter.com/petermaer/statuses/1388161583759728646,1,10,"Twitter Web App"
petermaer,"ID 1388161230968393728","Fri Apr 30 16:00:02 +0000 2021"," RT @julianzelizer: The fact that so much of the electorate is allowing for this new wave of voting restrictions is further evidence of the…",https://twitter.com/petermaer/statuses/1388161230968393728,85,0,"Twitter Web App"
petermaer,"ID 1387933811359555584","Fri Apr 30 00:56:21 +0000 2021"," #GOP lawmakers use @POTUS speech to get some face time - ⁦@CBSNews⁩  https://t.co/VhqsfK4PnY",https://twitter.com/petermaer/statuses/1387933811359555584,0,1,"Twitter for iPhone"
petermaer,"ID 1387932530662387714","Fri Apr 30 00:51:16 +0000 2021"," #FBI warned ⁦@RudyGiuliani⁩ , key Trump ally in Senate of #Russian disinformation campaign targeting #Biden https://t.co/WxiQoWD3Tl",https://twitter.com/petermaer/statuses/1387932530662387714,2,8,"Twitter for iPhone"
petermaer,"ID 1387888018518908934","Thu Apr 29 21:54:23 +0000 2021"," RT @ericswalwell: Perhaps you should have voted for it. https://t.co/B0Z0pcZ62E",https://twitter.com/petermaer/statuses/1387888018518908934,6561,0,"Twitter Web App"
petermaer,"ID 1387887216962179076","Thu Apr 29 21:51:12 +0000 2021"," RT @EliStokols: PLAINS, Ga. — President and Dr. Biden leave the home of former President Carter as Rosalynn Carter stands behind them outsi…",https://twitter.com/petermaer/statuses/1387887216962179076,985,0,"Twitter Web App"
petermaer,"ID 1387819931266334724","Thu Apr 29 17:23:50 +0000 2021"," What color is Rudy's perspiration today? As @pbump notes, ""It’s unusual for one of the most scandal-adjacent members of a presidential team to be someone who doesn’t actually serve in government, but former New York mayor Rudolph W. Giuliani has always exceeded expectations."" https://t.co/8k9GCUsvvr",https://twitter.com/petermaer/statuses/1387819931266334724,1,4,"Twitter Web App"
petermaer,"ID 1387816944947142656","Thu Apr 29 17:11:58 +0000 2021"," Bullship? https://t.co/L8yhXh1JdG",https://twitter.com/petermaer/statuses/1387816944947142656,0,9,"Twitter Web App"
petermaer,"ID 1387809283333574660","Thu Apr 29 16:41:32 +0000 2021"," .@POTUS pauses for a moment of lawn weeding. https://t.co/RnYTsWeqFs",https://twitter.com/petermaer/statuses/1387809283333574660,0,9,"Twitter Web App"
petermaer,"ID 1387808875433320451","Thu Apr 29 16:39:54 +0000 2021"," State Department issues Level 4 Travel Advisory for India, urging Americans to leave the country and ""advising against all travel to #India. Level 4 is the highest advisory level due to greater likelihood of life-threatening risks."" #IndiaCovidCrisis 
https://t.co/hy5CoGFd8r",https://twitter.com/petermaer/statuses/1387808875433320451,1,1,"Twitter Web App"
petermaer,"ID 1387782137718390789","Thu Apr 29 14:53:40 +0000 2021"," RT @ddale8: Blackburn falsely: ""3-year-old pre-K: they're going to mandate this. Two years of college whether you like it or not."" Biden pl…",https://twitter.com/petermaer/statuses/1387782137718390789,1917,0,"Twitter Web App"
petermaer,"ID 1387781780015620096","Thu Apr 29 14:52:14 +0000 2021"," .@SpeakerPelosi on #GOP criticism of @POTUS proposals: ""All of a sudden they're deficit hawks when they were giving away money to the wealthiest people in our country under Pres. Trump.""  @CBSThisMorning interview. https://t.co/IkqbqdfrLL",https://twitter.com/petermaer/statuses/1387781780015620096,1,8,"Twitter Web App"
petermaer,"ID 1387778576217513988","Thu Apr 29 14:39:30 +0000 2021"," .@POTUS visits Jimmy Carter and Rosalynn Carter today in Plains, GA. Biden was the first senator to endorse Carter's '76 presidential bid. “For decades, he has been my loyal and dedicated friend,” -Carter in 2020 Democratic National Convention video tribute.",https://twitter.com/petermaer/statuses/1387778576217513988,2,16,"Twitter Web App"
petermaer,"ID 1387776199317991439","Thu Apr 29 14:30:04 +0000 2021"," #tobacco #cigarettes #lungcancer https://t.co/Hozvv9kHLz",https://twitter.com/petermaer/statuses/1387776199317991439,0,2,"Twitter Web App"
petermaer,"ID 1387760200707420164","Thu Apr 29 13:26:29 +0000 2021"," .@CBSNews reports evidence of ""criminality and drug use"" among some elite #Navy Seals. One concerned serviceman said, ""If we can't all agree that wrong things are wrong, then it's just gonna keep going on."" 
https://t.co/Ba0ekkYKxq",https://twitter.com/petermaer/statuses/1387760200707420164,4,2,"Twitter Web App"
petermaer,"ID 1387635175966887937","Thu Apr 29 05:09:41 +0000 2021"," RT @DavidBegnaud: CBS News Poll: Most viewers approve of Biden’s speech tonight, describing him as caring, inspiring, &amp; bold
Most viewers l…",https://twitter.com/petermaer/statuses/1387635175966887937,206,0,"Twitter for iPad"
petermaer,"ID 1387634723137232900","Thu Apr 29 05:07:53 +0000 2021"," RT @ddale8: Tonight on Fox News -- two days after the Biden-meat-limit nonsense was widely debunked and even a Fox anchor admitted it was w…",https://twitter.com/petermaer/statuses/1387634723137232900,4659,0,"Twitter for iPad"
petermaer,"ID 1387598127960629254","Thu Apr 29 02:42:28 +0000 2021"," .@POTUS: ""we won’t ignore what our own intelligence agencies have determined – the most lethal terrorist threat to the homeland today is from white supremacist terrorism.""",https://twitter.com/petermaer/statuses/1387598127960629254,5,12,"Twitter Web App"
petermaer,"ID 1387597301598859269","Thu Apr 29 02:39:11 +0000 2021"," ""The #Coronoviurs is on the run...thanks to Operation Warp speed and the Trump administration."" @TimScottSC #apologist",https://twitter.com/petermaer/statuses/1387597301598859269,0,2,"Twitter Web App"
petermaer,"ID 1387596754288316419","Thu Apr 29 02:37:01 +0000 2021"," ""#Republicans support make it easier to vote."" #Trump supporter @TimScottSC delivering #GOP response to @POTUS speech.",https://twitter.com/petermaer/statuses/1387596754288316419,0,1,"Twitter Web App"
petermaer,"ID 1387595485473615881","Thu Apr 29 02:31:58 +0000 2021"," RT @RepSwalwell: Dreaming of Cancun, no doubt. https://t.co/PUdkjU1rdE",https://twitter.com/petermaer/statuses/1387595485473615881,1090,0,"Twitter Web App"
petermaer,"ID 1387594855908626434","Thu Apr 29 02:29:28 +0000 2021"," .@TimScottSC opens #GOP response with:
""Our president seems like a good man.""  
SEEMS like?",https://twitter.com/petermaer/statuses/1387594855908626434,2,10,"Twitter Web App"
petermaer,"ID 1387592940009164804","Thu Apr 29 02:21:51 +0000 2021"," RT @ossoff: Georgia https://t.co/0k9tuSv6BN",https://twitter.com/petermaer/statuses/1387592940009164804,7141,0,"Twitter Web App"
petermaer,"ID 1387591726781640705","Thu Apr 29 02:17:02 +0000 2021"," No social distancing as ⁦@POTUS⁩ exits House chamber. https://t.co/hYCsQyF3ot",https://twitter.com/petermaer/statuses/1387591726781640705,1,0,"Twitter for iPhone"
petermaer,"ID 1387591115726102532","Thu Apr 29 02:14:36 +0000 2021"," .@POTUS mentioned FDR, gave an indirect nod to @BarackObama but appropriately not a hint of the former guy in the speech.  Ending on a high note he told the country:
""There is nothing – nothing – beyond our capacity – nothing we can’t do – if we do it together.""",https://twitter.com/petermaer/statuses/1387591115726102532,2,13,"Twitter Web App"
petermaer,"ID 1387590132933476358","Thu Apr 29 02:10:42 +0000 2021"," The camera never blinks but Rafael Edward Cruz seems to be dozing on national TV. https://t.co/NM5q75ZEfA",https://twitter.com/petermaer/statuses/1387590132933476358,0,4,"Twitter Web App"
petermaer,"ID 1387589970404200450","Thu Apr 29 02:10:03 +0000 2021"," Is Rafael Edward Cruz catching up on zz's during @POTUS speech? https://t.co/IYjVq8wRdy",https://twitter.com/petermaer/statuses/1387589970404200450,0,6,"Twitter Web App"
petermaer,"ID 1387588131914977282","Thu Apr 29 02:02:45 +0000 2021"," .@POTUS on #GUNS I will do everything in my power to protect the American people from this epidemic of gun violence."" 
Calls on Senate Republicans to join most ""of their Democratic colleagues, and close loopholes and require background checks to purchase a gun.""",https://twitter.com/petermaer/statuses/1387588131914977282,4,5,"Twitter Web App"
petermaer,"ID 1387587190193102853","Thu Apr 29 01:59:00 +0000 2021"," ""We have all seen the knee of injustice on the neck of Black America.""
Now is our opportunity to make real progress.
Most men and women in uniform wear their badge and serve their communities honorably.  ""We have a real chance to root out systemic racism."" @POTUS",https://twitter.com/petermaer/statuses/1387587190193102853,8,10,"Twitter Web App"
petermaer,"ID 1387586260374597632","Thu Apr 29 01:55:19 +0000 2021"," Calling for ending ""the forever war in #Afghanistan, .@POTUS notes he is, 'the first President in 40 years who knows what it means to have had a child serving in a warzone."" 
""War in Afghanistan was never meant to be a multi—generational undertaking of nation—building.""",https://twitter.com/petermaer/statuses/1387586260374597632,0,2,"Twitter Web App"
petermaer,"ID 1387585200100679680","Thu Apr 29 01:51:06 +0000 2021"," .@POTUS pledges every American ""will be covered"" by #CovidVaccines. ""There’s no wall high enough to keep any virus away.""  
""As our own vaccine supply grows to meet our needs – and we are meeting them – we will become an arsenal of vaccines for other countries...""",https://twitter.com/petermaer/statuses/1387585200100679680,3,3,"Twitter Web App"
petermaer,"ID 1387583073139806212","Thu Apr 29 01:42:39 +0000 2021"," .@POTUS outlines one of his most politically-charged proposals. ""I will not impose any tax increases on people making less than $400,000 (a year.)
It’s time for corporate America and the wealthiest 1% of Americans to pay their fair share.
Just their fair share.""",https://twitter.com/petermaer/statuses/1387583073139806212,7,21,"Twitter Web App"
