"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
AnnamiePaul,"ID 1390121668962623493","Thu May 06 01:50:07 +0000 2021"," Aujourd'hui est la Journée nationale de sensibilisation et d'action pour les femmes, les filles, les personnes transgenres et bispirituelles autochtones disparues et assassinées. Nous devons mettre en œuvre le plan d'action national attendu depuis les conclusions de l'enquête.",https://twitter.com/AnnamiePaul/statuses/1390121668962623493,3,6,"Twitter for iPhone"
AnnamiePaul,"ID 1390104060213276678","Thu May 06 00:40:09 +0000 2021"," Les États-Unis sont prêts à lever les brevets des vaccins #COVID19 pour stimuler la production mondiale, faciliter l'accès des pays démunis. Selon notre ministre des Affaires étrangères, le gouvernement n’est pas prêt à lever les brevets.",https://twitter.com/AnnamiePaul/statuses/1390104060213276678,4,8,"Twitter for iPhone"
AnnamiePaul,"ID 1390077321747513350","Wed May 05 22:53:54 +0000 2021"," Today, the Biden administration said it supports waiving patents for #COVID19 vaccines to boost global production &amp; improve access for low-income countries. When asked, our Foreign Minister still says the government doesn't support waivers. To help end the pandemic, we should.",https://twitter.com/AnnamiePaul/statuses/1390077321747513350,30,124,"Twitter Web App"
AnnamiePaul,"ID 1390023743062298634","Wed May 05 19:21:00 +0000 2021"," https://t.co/yYqvEL83zc",https://twitter.com/AnnamiePaul/statuses/1390023743062298634,6,4,"Twitter Web App"
AnnamiePaul,"ID 1390005647371116545","Wed May 05 18:09:06 +0000 2021"," The Climate Accountability Act is an empty shell with inadequate targets, timelines, and no true accountability. Greens can't support it as is.

Canadians want to lead on reducing GHG emissions. All parties can come together to build a plan that reflects their ambition. #cdnpoli",https://twitter.com/AnnamiePaul/statuses/1390005647371116545,15,24,"Twitter Web App"
AnnamiePaul,"ID 1389995647391211525","Wed May 05 17:29:21 +0000 2021"," La population compte sur tous les partis traverser cette troisième vague. Les étudiants ont besoin d'une prestation d'urgence. Les locataires à faible revenu ont besoin d'une prestation pour éviter les arriérés. Presque tout le monde a encore besoin d'une 2e dose du vaccin.",https://twitter.com/AnnamiePaul/statuses/1389995647391211525,2,5,"Twitter Web App"
AnnamiePaul,"ID 1389988532203237380","Wed May 05 17:01:05 +0000 2021"," Today is National Day of Awareness &amp; Action for Missing and Murdered Indigenous Women, Girls, Trans and Two-Spirit People (#MMIWG). It is time to deliver the long overdue National Action Plan to implement the Calls to Justice from the inquiry’s findings #cdnpoli #Reconciliation https://t.co/SQBtakwGKc",https://twitter.com/AnnamiePaul/statuses/1389988532203237380,42,126,"Twitter Web App"
AnnamiePaul,"ID 1389964918561120261","Wed May 05 15:27:15 +0000 2021"," Canadians are counting on all parties to come through for them in this 3rd #COVID19 wave. Students need an Emergency Summer Benefit. Low-income tenants need a Rental Benefit to cope with arrears. Almost everyone still needs a 2nd vaccine. Let's keep our eye on the ball. #cdnpoli",https://twitter.com/AnnamiePaul/statuses/1389964918561120261,28,119,"Twitter Web App"
AnnamiePaul,"ID 1389672829654818818","Tue May 04 20:06:36 +0000 2021"," Au cours des dernières 24 heures, 65 personnes sont mortes de la COVID-19 au Canada et plus de 1 500 personnes sont actuellement aux soins intensifs. 

Ce n'est pas le moment de débattre pour savoir si le @PMcanadien devrait renvoyer son chef de cabinet.
#polcan",https://twitter.com/AnnamiePaul/statuses/1389672829654818818,1,15,"Twitter Web App"
AnnamiePaul,"ID 1389623747217444878","Tue May 04 16:51:33 +0000 2021"," In the past 24hrs, 65 Canadians died from COVID-19. 1,500+ #COVID19 patients are in ICUs. Less than 3% of our population is fully vaccinated.

Today is not the day for Parliament to spend an hour and a half debating whether @CanadianPM should fire his Chief of Staff. #cdnpoli",https://twitter.com/AnnamiePaul/statuses/1389623747217444878,57,211,"Twitter Web App"
AnnamiePaul,"ID 1389023852521459713","Mon May 03 01:07:47 +0000 2021"," La saison des emplois d'été a débuté. De nombreux étudiant(e)s doivent travailler à temps plein du 1er mai à la fête du Travail pour vivre, sans perdre un jour de salaire. La #COVID19 fermant des secteurs qui les emploient, ils ont besoin d’une prestation pour étudiants. #polcan",https://twitter.com/AnnamiePaul/statuses/1389023852521459713,4,11,"Twitter Web App"
AnnamiePaul,"ID 1388934196807315456","Sun May 02 19:11:32 +0000 2021"," Found our new poster walking around in Toronto Centre this weekend!

#TorontoCentre #TorCen https://t.co/hnIAy8YACp",https://twitter.com/AnnamiePaul/statuses/1388934196807315456,60,751,"Twitter for iPhone"
AnnamiePaul,"ID 1388874660893372417","Sun May 02 15:14:57 +0000 2021"," Student summer job season has begun. Many students work full-time, May 1 to Labour Day, to support themselves and can't afford to lose even a single day of pay. With #COVID19 closing sectors students rely on for jobs, they need a Student Benefit #cdnpoli https://t.co/B3aOhmDaqn",https://twitter.com/AnnamiePaul/statuses/1388874660893372417,27,81,"Twitter Web App"
AnnamiePaul,"ID 1388213056438784005","Fri Apr 30 19:25:59 +0000 2021"," Je suis attristée pour tous ceux et celles qui ont perdu des êtres chers dans la tragédie dévastatrice qui s'est produite lors de la célébration de la fête juive de Lag B'Omer au Mont Meron. @LesVertsCanada partagent votre chagrin. Puissent leurs mémoires être une bénédiction.",https://twitter.com/AnnamiePaul/statuses/1388213056438784005,4,13,"Twitter Web App"
AnnamiePaul,"ID 1388208168883433473","Fri Apr 30 19:06:33 +0000 2021"," My heart is breaking for all those who have lost loved ones in the devastating tragedy that occurred during the Lag B’Omer holiday celebration at Mount Meron. @CanadianGreens share your sorrow today. May their memories be a blessing.",https://twitter.com/AnnamiePaul/statuses/1388208168883433473,26,186,"Twitter Web App"
AnnamiePaul,"ID 1388206434844823570","Fri Apr 30 18:59:40 +0000 2021"," Cette semaine, en tant que personne âgée de + de 40 ans, j'ai tenté de me faire vacciner à #TorontoCentre - une circonscription très affectée par la #COVID19. Je n'ai pas pu avoir de rdv, seulement une place sur la liste d'attente. D'autres résidents rapportent la même expérience",https://twitter.com/AnnamiePaul/statuses/1388206434844823570,4,6,"Twitter Web App"
AnnamiePaul,"ID 1388206300648124425","Fri Apr 30 18:59:08 +0000 2021"," https://t.co/Q5YqGUTGv0",https://twitter.com/AnnamiePaul/statuses/1388206300648124425,2,5,"Twitter Web App"
AnnamiePaul,"ID 1388206298722885636","Fri Apr 30 18:59:07 +0000 2021"," La réforme de la loi sur les soins de longue durée n'a que trop tardé. Comme le dit @MikeSchreiner ""Nous devons aux aînés et au personnel qui s'occupe d'eux de saisir cette opportunité ... non seulement créer des normes nationales, mais aussi investir dans le personnel.""",https://twitter.com/AnnamiePaul/statuses/1388206298722885636,2,9,"Twitter Web App"
AnnamiePaul,"ID 1388151163674058753","Fri Apr 30 15:20:02 +0000 2021"," This week, as a person aged 40+, I've been trying to get vaccinated in #TorontoCentre - a riding with multiple #COVID19 hotspots. I haven't been able to get an appointment date at a local pharmacy, only a slot on waitlists. Other residents report the same experience. #cdnpoli",https://twitter.com/AnnamiePaul/statuses/1388151163674058753,30,131,"Twitter Web App"
AnnamiePaul,"ID 1388151118404984833","Fri Apr 30 15:19:51 +0000 2021"," https://t.co/1TURbN72xi",https://twitter.com/AnnamiePaul/statuses/1388151118404984833,10,19,"Twitter Web App"
AnnamiePaul,"ID 1388151117213835264","Fri Apr 30 15:19:51 +0000 2021"," #LTC reform is overdue. Thank you @MikeSchriner &amp; @ltamblynwatts for proposing solutions. As Mike says “We owe it to elders and the staff who care for them to seize this moment...This means not only creating national standards, but also investing in the staff who work in LTC.”",https://twitter.com/AnnamiePaul/statuses/1388151117213835264,24,54,"Twitter Web App"
AnnamiePaul,"ID 1387785741430923272","Thu Apr 29 15:07:59 +0000 2021"," Que pensent les jeunes militants pour le climat du nouvel objectif de réduction des GES de 40 -45 % fixé par le gouv?

@AlienorR2 de #FridaysForFuture dit ""Je me sens mal de d'annoncer à mes pairs d'autres pays que nous ne prenons pas leurs vies au sérieux""",https://twitter.com/AnnamiePaul/statuses/1387785741430923272,5,3,"Twitter Web App"
AnnamiePaul,"ID 1387775336239206410","Thu Apr 29 14:26:38 +0000 2021"," RT @LesVertsCanada: .@AnnamiePaul, le chef du Parti vert de l'Ontario, @MikeSchreiner, et notre spécialiste invitée @ltamblynwatts tiennent…",https://twitter.com/AnnamiePaul/statuses/1387775336239206410,3,0,"Twitter Web App"
AnnamiePaul,"ID 1387775280291405833","Thu Apr 29 14:26:25 +0000 2021"," RT @CanadianGreens: The Ontario auditor general’s report on the #COVID19 crisis in long-term care homes raises troubling questions.

@Annam…",https://twitter.com/AnnamiePaul/statuses/1387775280291405833,14,0,"Twitter Web App"
AnnamiePaul,"ID 1387762571328069636","Thu Apr 29 13:35:55 +0000 2021"," What do young climate activists think of the govt's new 40-45% GHG reduction target? - not much. 

@AlienorR2 of #FridaysForFuture says ""I feel awful having to announce to my peers in other countries we're not taking your lives seriously"" #cdnpoli 

Watch: https://t.co/p6D5g5Ww88",https://twitter.com/AnnamiePaul/statuses/1387762571328069636,35,33,"Twitter Web App"
AnnamiePaul,"ID 1387455807382597635","Wed Apr 28 17:16:56 +0000 2021"," It's a love affair—with the people, their resiliency, and generosity. #TorontoCentre is among the most civic-minded, thoughtful communities, and it's where I want to contribute my public service. Thank you to everyone for an incredible campaign launch! https://t.co/NVgHpiXvKq",https://twitter.com/AnnamiePaul/statuses/1387455807382597635,14,46,"Twitter Web App"
AnnamiePaul,"ID 1387037302598287360","Tue Apr 27 13:33:57 +0000 2021"," RT @CanadianGreens: Roundtable | Canada &amp; The Climate Emergency: Why 45% is NOT ENOUGH.

Join @AnnamiePaul alongside Experts and Activists…",https://twitter.com/AnnamiePaul/statuses/1387037302598287360,14,0,"Twitter Web App"
