"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
GreenPartyUS,"ID 1390086405133684738","Wed May 05 23:30:00 +0000 2021"," Click on this link to Sign the @LavenderGreens Online Petition to easily contact your Senators and ask them to Vote YES on H.R.5: https://t.co/iVneLFBDbI https://t.co/uTUYPvdbiM",https://twitter.com/GreenPartyUS/statuses/1390086405133684738,12,22,"Twitter Web App"
GreenPartyUS,"ID 1390081962682077187","Wed May 05 23:12:21 +0000 2021"," #GreenEnter https://t.co/I34V9iqt53",https://twitter.com/GreenPartyUS/statuses/1390081962682077187,15,45,"Twitter Web App"
GreenPartyUS,"ID 1389716471165620228","Tue May 04 23:00:01 +0000 2021"," On May 4, 1886, a Chicago, IL rally for the 8-hour workday turned into a protest against anti-labor Police brutality.
In concert with the trade unions, the city’s working class organized a general strike to push for higher wages and an eight-hour workday. https://t.co/IpebnjlKX6",https://twitter.com/GreenPartyUS/statuses/1389716471165620228,51,123,"Twitter Web App"
GreenPartyUS,"ID 1389708796361125888","Tue May 04 22:29:31 +0000 2021"," ""I'm Green because...

The Green Party is the only party which affirms gender identity and gender expression in its platform.""

Margaret Elisabeth
National Co-Chair, Green Party US
Co-Chair, National Lavender Green Caucus

#WeAreGreen #IAmGreen https://t.co/Af4tjxOGJI",https://twitter.com/GreenPartyUS/statuses/1389708796361125888,13,51,"Twitter Web App"
GreenPartyUS,"ID 1389686000776011776","Tue May 04 20:58:56 +0000 2021"," RT @ProudSocialist: The head of the progressive caucus gave Biden an “A” and @AOC said he’s exceeding expectations when he’s doing less tha…",https://twitter.com/GreenPartyUS/statuses/1389686000776011776,264,0,"Twitter Web App"
GreenPartyUS,"ID 1389602026699505679","Tue May 04 15:25:15 +0000 2021"," Our leaders need to make any adjustments necessary to ensure that our laws, policies and budgets prioritize the health and well-being of these historically oppressed communities #WorldAsthmaDay #GreenNewDeal https://t.co/VQkHdC8Eov https://t.co/7UlpFmtN4D",https://twitter.com/GreenPartyUS/statuses/1389602026699505679,21,37,TweetDeck
GreenPartyUS,"ID 1389580949319528449","Tue May 04 14:01:30 +0000 2021"," #NationalWeatherObserversDay honors Storm Spotters. These hobbyists are valuable resources for communities because of the rapid acceleration of extreme weather.  The world only has a decade left for #GreenNewDeal #ClimateEmergency https://t.co/GdSTfjnQOr",https://twitter.com/GreenPartyUS/statuses/1389580949319528449,16,25,TweetDeck
GreenPartyUS,"ID 1389378199491121160","Tue May 04 00:35:50 +0000 2021"," Today's updates includes stories from @IndGreenParty @GreenPartyofPA @WIGreens.  Visit https://t.co/x0M2Mt1qcv for upcoming Zoom meetings and state conventions https://t.co/zENBlDx0oU",https://twitter.com/GreenPartyUS/statuses/1389378199491121160,12,26,TweetDeck
GreenPartyUS,"ID 1389302847972446208","Mon May 03 19:36:25 +0000 2021"," RT @FreedomofPress: On #WorldPressFreedomDay, the Biden admin needs to drop the charges against WikiLeaks founder Julian Assange.

Every ma…",https://twitter.com/GreenPartyUS/statuses/1389302847972446208,673,0,"Twitter Web App"
GreenPartyUS,"ID 1389302578266185738","Mon May 03 19:35:21 +0000 2021"," This #WorldPressFreedomDay  we demand @POTUS drop charges against Julian Assange, a political prisoner persecuted for publishing information that revealed crimes of the powerful. The ""Free Press"" is a myth as long as the US imprisons people for exposing the truth. #FreeAssange",https://twitter.com/GreenPartyUS/statuses/1389302578266185738,123,257,"Twitter Web App"
