"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
PeterTatchell,"ID 1390095491136954371","Thu May 06 00:06:06 +0000 2021"," @Brooklyn_eusko Vaccines reduce illness and reduce death",https://twitter.com/PeterTatchell/statuses/1390095491136954371,0,1,"Twitter Web App"
PeterTatchell,"ID 1390095148684619777","Thu May 06 00:04:44 +0000 2021"," @Levenax @ghatispeaks Both are wrong",https://twitter.com/PeterTatchell/statuses/1390095148684619777,0,0,"Twitter Web App"
PeterTatchell,"ID 1390095048063262722","Thu May 06 00:04:20 +0000 2021"," @Brummiecris We are supporting people outside of London. Big difference",https://twitter.com/PeterTatchell/statuses/1390095048063262722,0,1,"Twitter Web App"
PeterTatchell,"ID 1390094735851888644","Thu May 06 00:03:06 +0000 2021"," @kiasazand @sianberry @TheGreenParty Greens are not a one issue party. Please look at the policies - Greens are well to the left of Labour on jobs, transport, education, health care, peace, international development  etc.",https://twitter.com/PeterTatchell/statuses/1390094735851888644,0,0,"Twitter Web App"
PeterTatchell,"ID 1390093824576401409","Wed May 05 23:59:29 +0000 2021"," @rock4_ronnie Thanks Aderonke x",https://twitter.com/PeterTatchell/statuses/1390093824576401409,0,1,"Twitter Web App"
PeterTatchell,"ID 1390093248602025984","Wed May 05 23:57:11 +0000 2021"," @NickSotoudeh @netflix @NetflixUK @NetflixFilm Thanks Nick. And congrats to you for the great work that you do x",https://twitter.com/PeterTatchell/statuses/1390093248602025984,0,3,"Twitter Web App"
PeterTatchell,"ID 1390092989142274050","Wed May 05 23:56:09 +0000 2021"," RT @SongVagua: #LGBT Jann Halexander, french-gabonese was one the first african singers, 18 years ago, to assume publicly his bisexuality.…",https://twitter.com/PeterTatchell/statuses/1390092989142274050,1,0,"Twitter Web App"
PeterTatchell,"ID 1390057259749842947","Wed May 05 21:34:11 +0000 2021"," RT @TarekFatah: Palki Sharma @Palkisu on @WIONews exposes hollowness of #Islamophobia Victimhood claim by Pakistan’s PM @ImranKhanPTI. 

A…",https://twitter.com/PeterTatchell/statuses/1390057259749842947,150,0,"Twitter Web App"
PeterTatchell,"ID 1390046598097481736","Wed May 05 20:51:49 +0000 2021"," RT @PaulEDawson: “This is the first time in human history our planet’s atmosphere has had more than 417ppm CO₂.""

“Not just in recorded his…",https://twitter.com/PeterTatchell/statuses/1390046598097481736,119,0,"Twitter for iPhone"
PeterTatchell,"ID 1390026109144772609","Wed May 05 19:30:24 +0000 2021"," RT @BiancaJagger: 👉🏿 😪As #China mocks India's struggle with #COVID, let's remember how China deals with detractors. Remember #TankMan? Reme…",https://twitter.com/PeterTatchell/statuses/1390026109144772609,2,0,"Twitter Web App"
