"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RoseAnnDeMoro,"ID 1389357996208058368","Mon May 03 23:15:33 +0000 2021"," I hope that you are divorcing Bill Gates for his refusal to support lifting the corporate ownership of life saving vaccines and drugs. https://t.co/mTMLl90LZ5",https://twitter.com/RoseAnnDeMoro/statuses/1389357996208058368,43,292,"Twitter for iPhone"
RoseAnnDeMoro,"ID 1388902973145718788","Sun May 02 17:07:28 +0000 2021"," I believe that Adoph Reed is one of the most incredible scholars of our time.  He is brilliant, and a wonderful activist. https://t.co/8ygnDTjId0",https://twitter.com/RoseAnnDeMoro/statuses/1388902973145718788,5,28,"Twitter for iPad"
RoseAnnDeMoro,"ID 1388119954705174528","Fri Apr 30 13:16:01 +0000 2021"," 100% agree:

Share the Intellectual Property on COVID-19 by Jeffrey D. Sachs @ProSyn https://t.co/mr9ZA35Yw9",https://twitter.com/RoseAnnDeMoro/statuses/1388119954705174528,25,63,"Twitter for iPad"
RoseAnnDeMoro,"ID 1387578062175281153","Thu Apr 29 01:22:44 +0000 2021"," RT @ninaturner: I’m proud to be running a campaign that is rooted in my lived experience.

#OH11 deserves a representative that understands…",https://twitter.com/RoseAnnDeMoro/statuses/1387578062175281153,592,0,"Twitter for iPhone"
RoseAnnDeMoro,"ID 1385613239711539206","Fri Apr 23 15:15:14 +0000 2021"," I get it. Yep.  California has the lowest virus rate in the United States so let’s try to get rid of the governor who accomplished that for his “handling of the virus”... seriously?? 

Nope.

Yes to @GavinNewsom.  No to BS. 

#Covid

 https://t.co/ONSTGoN643 via @NapaRegister",https://twitter.com/RoseAnnDeMoro/statuses/1385613239711539206,6,37,"Twitter for iPad"
RoseAnnDeMoro,"ID 1384906120523833348","Wed Apr 21 16:25:24 +0000 2021"," Don’t feel relieved because #Republicans think Derek Chauvin should have been found guilty of killing #GeorgeFloyd

They think it is an individual “bad cop” infraction (bad apple) rather than a problem of systemic #racism.  For them, the problem is over.",https://twitter.com/RoseAnnDeMoro/statuses/1384906120523833348,40,169,"Twitter for iPad"
RoseAnnDeMoro,"ID 1384624470388662282","Tue Apr 20 21:46:13 +0000 2021"," Minnesota is very lucky to have @keithellison for their Attorney General. We all are.
#GeorgeFloyd",https://twitter.com/RoseAnnDeMoro/statuses/1384624470388662282,46,380,"Twitter for iPhone"
RoseAnnDeMoro,"ID 1382857121755111427","Fri Apr 16 00:43:24 +0000 2021"," Why Ralph Nader wants you to know about tort law https://t.co/TRxyZN9m0I via @politico",https://twitter.com/RoseAnnDeMoro/statuses/1382857121755111427,10,15,"Twitter for iPad"
RoseAnnDeMoro,"ID 1382077385344905216","Tue Apr 13 21:05:01 +0000 2021"," The best medicine for patients is a Unionized #Nurse.  You can’t expect them to fight for you if they have no power against the hospital executives.  

#Union
https://t.co/vuIPFLmQHN",https://twitter.com/RoseAnnDeMoro/statuses/1382077385344905216,46,152,"Twitter for iPad"
RoseAnnDeMoro,"ID 1380906302407237639","Sat Apr 10 15:31:33 +0000 2021"," Excellent article.  I also believe that until #Unions take on serious discussions on class analysis that we will continue to lose.  
@inthesetimesmag https://t.co/EaxRX7B6hD",https://twitter.com/RoseAnnDeMoro/statuses/1380906302407237639,29,54,"Twitter for iPad"
RoseAnnDeMoro,"ID 1380546100696805377","Fri Apr 09 15:40:14 +0000 2021"," Legalized Terrorism when workers try to organize in this country.  #Union #Amazon  https://t.co/kWCn6wr09Q",https://twitter.com/RoseAnnDeMoro/statuses/1380546100696805377,20,42,"Twitter for iPad"
RoseAnnDeMoro,"ID 1380233589099401223","Thu Apr 08 18:58:25 +0000 2021"," RT @DissentMag: ""We have to make the healthcare industry as toxic politically as the tobacco industry. Because it is murderous...Because of…",https://twitter.com/RoseAnnDeMoro/statuses/1380233589099401223,8,0,"Twitter for iPad"
