"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
pamfoundation,"ID 1375936380212183042","Sat Mar 27 22:22:51 +0000 2021"," Freedom,

Find me here and only here @bitcloutlist #bitclout

BC1YLgF9Tt85ADrL4QiyX6xSGwGrqFWnLr9b5Mt8hfdk54Tg1JJzi9e

https://t.co/WLnKlz11KN

de·cen·tral·i·za·tion

the transfer of control of an activity or organization to several local offices or authorities rather than one.",https://twitter.com/pamfoundation/statuses/1375936380212183042,47,253,"Twitter for iPhone"
pamfoundation,"ID 1354093533020385280","Tue Jan 26 15:47:10 +0000 2021"," Goodbye Social Media #hallelulia  https://t.co/q2H693Rq3T",https://twitter.com/pamfoundation/statuses/1354093533020385280,267,1414,"Twitter for iPhone"
pamfoundation,"ID 1353618207081422849","Mon Jan 25 08:18:24 +0000 2021"," RT @ndvh: You deserve a healthy relationship.

If you have questions about your relationship, or about a loved one's relationship, we're he…",https://twitter.com/pamfoundation/statuses/1353618207081422849,69,0,"Twitter for iPhone"
pamfoundation,"ID 1353454561722322945","Sun Jan 24 21:28:08 +0000 2021"," RT @peta: RIP Larry King.

The legendary talk show host approached conversations with curiosity and an open mind.

He was very fair when he…",https://twitter.com/pamfoundation/statuses/1353454561722322945,36,0,"Twitter for iPhone"
pamfoundation,"ID 1353425535544619010","Sun Jan 24 19:32:47 +0000 2021"," RT @people4assange: Why has Assange been denied his winter clothing for months?

Why is he being denied bail after having won his case agai…",https://twitter.com/pamfoundation/statuses/1353425535544619010,128,0,"Twitter for iPhone"
pamfoundation,"ID 1353355264791994371","Sun Jan 24 14:53:33 +0000 2021"," We’ve come a long way... 
Thank you #larryking 
We’ll miss your elegant and unbiased reporting 
and 
interview style

https://t.co/opiq9EquWL",https://twitter.com/pamfoundation/statuses/1353355264791994371,35,272,"Twitter for iPhone"
pamfoundation,"ID 1353184365249925120","Sun Jan 24 03:34:28 +0000 2021"," “I, 
with a deeper instinct, 
choose a man who compels my strength, 
who makes enormous demands on me, 
who does not doubt my courage or my toughness, 
who does not believe me naïve or innocent, 
who has the courage to treat me like a woman.” #anaisnin #love #partner #life https://t.co/i70qyprwCl",https://twitter.com/pamfoundation/statuses/1353184365249925120,94,1480,"Twitter for iPhone"
pamfoundation,"ID 1353113380442275843","Sat Jan 23 22:52:24 +0000 2021"," RT @IngridNewkirk: Victory! L’Oreal has agreed to stop using real fur of any kind for brushes. https://t.co/MPbkyisXxz",https://twitter.com/pamfoundation/statuses/1353113380442275843,210,0,"Twitter for iPhone"
pamfoundation,"ID 1353069658908188672","Sat Jan 23 19:58:40 +0000 2021"," RT @CenterForBioDiv: As President Biden settles into office, we're offering 50 hard truths about what's at stake for wildlife, our planet a…",https://twitter.com/pamfoundation/statuses/1353069658908188672,73,0,"Twitter for iPhone"
pamfoundation,"ID 1352710576938639361","Fri Jan 22 20:11:48 +0000 2021"," RT @loveisrespect: Boundaries help you define what you are comfortable with &amp; how you’d like to be treated by others. In a relationship, pa…",https://twitter.com/pamfoundation/statuses/1352710576938639361,13,0,"Twitter for iPhone"
pamfoundation,"ID 1352702963500736513","Fri Jan 22 19:41:33 +0000 2021"," #krishnamurti - 
Can we be free of suffering? ⁦@JoeBiden⁩ ⁦@VP⁩ 
(without conflict) https://t.co/Skuke0nRtF",https://twitter.com/pamfoundation/statuses/1352702963500736513,23,110,"Twitter for iPhone"
pamfoundation,"ID 1352673508011036672","Fri Jan 22 17:44:30 +0000 2021"," RT @DEAcampaign: ""Google's influence on the choices and behavior of the totality of individual human beings translates to real power to inf…",https://twitter.com/pamfoundation/statuses/1352673508011036672,58,0,"Twitter for iPhone"
pamfoundation,"ID 1352564426600304640","Fri Jan 22 10:31:03 +0000 2021"," RT @ReturnToFreedom: We still need you in the fight to protect wild mares! https://t.co/u6krTXhbEN… #horses #wildhorses https://t.co/SVvZOI…",https://twitter.com/pamfoundation/statuses/1352564426600304640,73,0,"Twitter for iPhone"
pamfoundation,"ID 1352541761856561153","Fri Jan 22 09:00:59 +0000 2021"," RT @peta: BREAKING: Following pressure from PETA &amp; nearly 100,000 of our supporters, @exxonmobil is ending its decades long sponsorship of…",https://twitter.com/pamfoundation/statuses/1352541761856561153,208,0,"Twitter for iPhone"
pamfoundation,"ID 1352541704046473216","Fri Jan 22 09:00:45 +0000 2021"," RT @peta: VICTORY! After a relentless campaign from PETA &amp; our supporters, @ExxonMobil is ending its sponsorship of the #Iditarod!

With yo…",https://twitter.com/pamfoundation/statuses/1352541704046473216,65,0,"Twitter for iPhone"
pamfoundation,"ID 1352372712853839872","Thu Jan 21 21:49:15 +0000 2021"," Do not seek the because. 
In love there is no because, 
no reason, 
no explanation, 
no solutions.

- Anaïs Nin",https://twitter.com/pamfoundation/statuses/1352372712853839872,73,319,"Twitter for iPhone"
pamfoundation,"ID 1352368087803199489","Thu Jan 21 21:30:52 +0000 2021"," Life shrinks or expands in proportion to one's courage.”
-Anaïs Nin",https://twitter.com/pamfoundation/statuses/1352368087803199489,104,607,"Twitter for iPhone"
