"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
LPCO,"ID 1390143205216112647","Thu May 06 03:15:42 +0000 2021"," RT @angela4LNCChair: Are you willing to be a martyr for your beliefs? If not, is it reasonable to expect others to martyr themselves?",https://twitter.com/LPCO/statuses/1390143205216112647,17,0,"Twitter for iPhone"
LPCO,"ID 1389963537234100235","Wed May 05 15:21:46 +0000 2021"," RT @adamkokesh: ADAM VS THE MAN #623: COVID On The Brain https://t.co/mTq3XOlHw5",https://twitter.com/LPCO/statuses/1389963537234100235,2,0,"Twitter for iPhone"
LPCO,"ID 1389767732220989441","Wed May 05 02:23:42 +0000 2021"," RT @beinlibertarian: #MayThe4thBeWithYou https://t.co/rEgJH8IHa0",https://twitter.com/LPCO/statuses/1389767732220989441,118,0,"Twitter for iPhone"
LPCO,"ID 1389678371580178433","Tue May 04 20:28:37 +0000 2021"," @LPNational @LPMisesCaucus @LPCaucus @justinamash @VerminSupreme @RealSpikeCohen @adamkokesh @9NEWS @KDVR @KOAColorado @710KNUS @DenverChannel @denverpost @CompleteCO",https://twitter.com/LPCO/statuses/1389678371580178433,0,1,"Twitter for iPhone"
LPCO,"ID 1389677741977473024","Tue May 04 20:26:07 +0000 2021"," May the 4th be with you!! #StarWarsDay #StarWars #MayThe4thBeWithYou @EPCLibertarians @libjeffco @ArapahoeLPCO @LPofBOCO https://t.co/lY3rCPPgNB",https://twitter.com/LPCO/statuses/1389677741977473024,2,5,"Twitter for iPhone"
LPCO,"ID 1389618554010411015","Tue May 04 16:30:55 +0000 2021"," RT @ShaneTHazel: #MayThe4thBeWithYou 

Remember that Star Wars was a story about a small band of rebels that wanted to be left alone that d…",https://twitter.com/LPCO/statuses/1389618554010411015,30,0,"Twitter for iPhone"
LPCO,"ID 1389438552421797889","Tue May 04 04:35:40 +0000 2021"," RT @reason: Libertarian Riverside County Supervisor Jeff Hewitt announced over the weekend he's taking on California Gov. Gavin Newsom in t…",https://twitter.com/LPCO/statuses/1389438552421797889,32,0,"Twitter for iPhone"
LPCO,"ID 1389236320518631429","Mon May 03 15:12:04 +0000 2021"," RT @sahouraxo: Malcolm X warned us more than 55 years ago. https://t.co/8i5P5brTC6",https://twitter.com/LPCO/statuses/1389236320518631429,2368,0,"Twitter for iPhone"
LPCO,"ID 1389076109610815491","Mon May 03 04:35:26 +0000 2021"," RT @adamkokesh: If you're cold, you put on a sweater. You don't demand everyone around you also wears a sweater. If you're concerned about…",https://twitter.com/LPCO/statuses/1389076109610815491,18,0,"Twitter for iPhone"
LPCO,"ID 1389039005124071424","Mon May 03 02:08:00 +0000 2021"," RT @ComicDaveSmith: I really don’t think people understand just how bad this Covid Passport actually is. Look into it, it’s not just checki…",https://twitter.com/LPCO/statuses/1389039005124071424,13054,0,"Twitter for iPhone"
