"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
LPNational,"ID 1390029262791585801","Wed May 05 19:42:56 +0000 2021"," Biden: “Two million women have dropped out of the workforce during this pandemic..”

Also Biden: Let’s keep going!

https://t.co/UQnHuIKqnm",https://twitter.com/LPNational/statuses/1390029262791585801,8,65,"Twitter Web App"
LPNational,"ID 1389802287892213765","Wed May 05 04:41:01 +0000 2021"," @bp22 @RepMontague https://t.co/fgHOdrdOjN",https://twitter.com/LPNational/statuses/1389802287892213765,0,2,"Twitter for Android"
LPNational,"ID 1389624445489324037","Tue May 04 16:54:20 +0000 2021"," RT @Snowden: This would be more persuasive if the White House weren't aggressively seeking an 175-year sentence for the publisher of award-…",https://twitter.com/LPNational/statuses/1389624445489324037,3204,0,"Twitter for Android"
LPNational,"ID 1389319720915152899","Mon May 03 20:43:28 +0000 2021"," Libertarian Jeff Hewitt, Riverside County Supervisor, has entered the California Governor recall race!

""The reason I am entering the race for governor [is] that this state no longer accommodates dreams, fosters ideas or solves problems.""

#VoteGold https://t.co/gDlOc1NMKd",https://twitter.com/LPNational/statuses/1389319720915152899,36,196,"Twitter Web App"
LPNational,"ID 1389245835221905408","Mon May 03 15:49:52 +0000 2021"," RT @justinamash: Libertarianism is about removing arbitrary barriers between people who want to peacefully engage with one another.",https://twitter.com/LPNational/statuses/1389245835221905408,700,0,"Twitter Web App"
LPNational,"ID 1388240809326170113","Fri Apr 30 21:16:15 +0000 2021"," Libertarian Party Reaction to @JoeBiden Address to Congress.

#JointSession #SOTU 

https://t.co/kDpXqNo0kL",https://twitter.com/LPNational/statuses/1388240809326170113,48,115,"Twitter Web App"
LPNational,"ID 1388165593589813251","Fri Apr 30 16:17:23 +0000 2021"," We're hiring! 
https://t.co/uVu0g9BZ4q",https://twitter.com/LPNational/statuses/1388165593589813251,13,35,"Twitter Web App"
LPNational,"ID 1387940415094067202","Fri Apr 30 01:22:36 +0000 2021"," RT @justinamash: If you like statism, you’re going to love racially motivated nanny statism.

End the drug war.",https://twitter.com/LPNational/statuses/1387940415094067202,912,0,"Twitter for Android"
LPNational,"ID 1387634074370678785","Thu Apr 29 05:05:18 +0000 2021"," RT @RealSpikeCohen: 2020: I think I smell weed in your car.

2021: I think I smell menthols in your car.

Who do you think that's going to…",https://twitter.com/LPNational/statuses/1387634074370678785,602,0,"Twitter Web App"
LPNational,"ID 1387596609928802304","Thu Apr 29 02:36:26 +0000 2021"," The @GOP has discovered the desire for common ground now that they are out of the majority. Both parties are happy to work together when it’s the only way to get a seat at the table, but eager to impose their will on everyone once they hold the reins. 

Americans are sick of it.",https://twitter.com/LPNational/statuses/1387596609928802304,120,650,"Twitter Web App"
