"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
libertarianism,"ID 1390149064579293184","Thu May 06 03:38:59 +0000 2021"," Libertarians defend the right of every person to live their life as they choose. As Hayek explained it, ""moral beliefs concerning matters of conduct which do not directly interfere with the protected sphere of other persons do not justify coercion.""
https://t.co/rACo5yg2eg",https://twitter.com/libertarianism/statuses/1390149064579293184,0,0,HubSpot
libertarianism,"ID 1390126417359298561","Thu May 06 02:08:59 +0000 2021"," Should the First Amendment be the sole standard for content moderation on social media platforms?

John Samples, who is on Facebook’s independent oversight board, joined us last year to discuss ""Content Moderation vs. Free Speech."" 

Hear it again 🔊
https://t.co/9E0E4vYT7O",https://twitter.com/libertarianism/statuses/1390126417359298561,1,0,HubSpot
libertarianism,"ID 1390092907391168512","Wed May 05 23:55:50 +0000 2021"," RT @CatoInstitute: Passing comprehensive cannabis reform at the federal level will require bipartisan cooperation.

LEARN MORE: https://t.c…",https://twitter.com/libertarianism/statuses/1390092907391168512,9,0,"Twitter Web App"
libertarianism,"ID 1390081119010410501","Wed May 05 23:08:59 +0000 2021"," ""Reducing the size, scope, and expense of our military would make us safer—and lead to a more peaceful world.""
- @jwcglaser, associate director of foreign policy studies @CatoInstitute
https://t.co/IOrgY2G3Ct",https://twitter.com/libertarianism/statuses/1390081119010410501,1,6,HubSpot
libertarianism,"ID 1390058468397158401","Wed May 05 21:38:59 +0000 2021"," ""In this essay I’d like to clarify two things: 1) that the fundamental difference between microeconomics and macroeconomics is in their respective methods not their content and 2) how the macro‐​micro distinction came to be."" 
- Sanford Ikeda
https://t.co/FnNj0FQtQM",https://twitter.com/libertarianism/statuses/1390058468397158401,0,3,HubSpot
libertarianism,"ID 1390047227087835137","Wed May 05 20:54:19 +0000 2021"," Libertarian ideas surrounding sex work are rooted in consent &amp; individual rights. 
https://t.co/zQDvc7ZOE4",https://twitter.com/libertarianism/statuses/1390047227087835137,5,11,HubSpot
libertarianism,"ID 1390033622829314049","Wed May 05 20:00:15 +0000 2021"," RT @jtlevy: Highly recommended. https://t.co/dmdM1tLvjz",https://twitter.com/libertarianism/statuses/1390033622829314049,4,0,"Twitter Web App"
libertarianism,"ID 1390020845419089922","Wed May 05 19:09:29 +0000 2021"," ""In addition to the division of powers from federalism, the Constitution also divided powers between the separate branches of the national government, each of which was expected to jealously guard its power.""
https://t.co/CCTWZ7s14Z",https://twitter.com/libertarianism/statuses/1390020845419089922,0,5,HubSpot
libertarianism,"ID 1390005789008535559","Wed May 05 18:09:39 +0000 2021"," ""Obviously, cultural revolutions are not erupting overnight. But there is no denying the progressive direction toward which social attitudes are moving in countries that are open to economic globalization.""
https://t.co/L68bXfvCeQ",https://twitter.com/libertarianism/statuses/1390005789008535559,2,2,HubSpot
libertarianism,"ID 1390003907066273796","Wed May 05 18:02:11 +0000 2021"," RT @ARossP: New today at @libertarianism, we've added an entry on ""Sex Work"" to the Encyclopedia of Libertarianism, contributed by @ENBrown…",https://twitter.com/libertarianism/statuses/1390003907066273796,11,0,"Twitter Web App"
libertarianism,"ID 1389993737003184133","Wed May 05 17:21:46 +0000 2021"," John Samples, who is on Facebook’s independent oversight board, joined us to discuss how he tries to balance his obligation to promoting free speech while giving users the moderation that most of them want.

How far should we protect free speech online?
https://t.co/7VRIopkgCm",https://twitter.com/libertarianism/statuses/1389993737003184133,3,5,HubSpot
libertarianism,"ID 1389969776408203265","Wed May 05 15:46:33 +0000 2021"," RT @PopnLockePod: What movie has the largest cult following?🤔",https://twitter.com/libertarianism/statuses/1389969776408203265,4,0,"Twitter for iPhone"
libertarianism,"ID 1389967873242710017","Wed May 05 15:38:59 +0000 2021"," ""In most portions of American law, all activities are legal except those that the government specifically declares to be illegal. Immigration law is the opposite because the only legal immigration is that which the government specifically approves.""
https://t.co/JDxTg0Ql7D",https://twitter.com/libertarianism/statuses/1389967873242710017,5,12,HubSpot
libertarianism,"ID 1389930291616272388","Wed May 05 13:09:39 +0000 2021"," ""Authoritarian populism on the left and right is fueled by a deceptively effective trick of rhetoric and ideology.""
https://t.co/aXTqEOCHrj",https://twitter.com/libertarianism/statuses/1389930291616272388,9,11,HubSpot
libertarianism,"ID 1389915149742616585","Wed May 05 12:09:29 +0000 2021"," ""If you want to know whether an economy is capitalist, look to see if it has a stock market where ownership of capital is contested and where the uses of capital are decided.""
https://t.co/PEP6VFZVzH",https://twitter.com/libertarianism/statuses/1389915149742616585,0,4,HubSpot
libertarianism,"ID 1389801775784415233","Wed May 05 04:38:59 +0000 2021"," ""The social dynamics of group membership and participation are programmed more deeply into our brains than is abstract philosophizing."" - @dsdamato
https://t.co/00mn4BlXl4",https://twitter.com/libertarianism/statuses/1389801775784415233,4,5,HubSpot
libertarianism,"ID 1389786173544050690","Wed May 05 03:36:59 +0000 2021"," Originally released in 2006, this film is perhaps more politically timely today than it was 15 years ago.
https://t.co/K3irqFIdl4",https://twitter.com/libertarianism/statuses/1389786173544050690,8,23,HubSpot
libertarianism,"ID 1389765760214568961","Wed May 05 02:15:52 +0000 2021"," RT @FreeThoughtsPod: #MayTheFourthBeWithYou
""Star Wars warns us of our potential for self‐​deception, and the consequent danger when too mu…",https://twitter.com/libertarianism/statuses/1389765760214568961,4,0,"Twitter for iPhone"
libertarianism,"ID 1389733328127991811","Wed May 05 00:07:00 +0000 2021"," ""...the desire to protect culture is a “principle” that is highly arbitrary and inconsistently applied in public policy.""
https://t.co/DYaduL6h8X",https://twitter.com/libertarianism/statuses/1389733328127991811,2,2,HubSpot
libertarianism,"ID 1389718226569994241","Tue May 04 23:06:59 +0000 2021"," #MayTheFourthBeWithYou
Was the success of the Star Wars franchise inevitable? What does #StarWars have to teach us about politics, revolution, and constitutional interpretation? 
https://t.co/i7CjqTrthq",https://twitter.com/libertarianism/statuses/1389718226569994241,1,7,HubSpot
libertarianism,"ID 1389693244150255617","Tue May 04 21:27:43 +0000 2021"," RT @FreeThoughtsPod: Hear it again: @IlyaSomin joined @FreeThoughtsPod talk about the politics behind #StarWars.

#MayTheFourthBeWithYou
ht…",https://twitter.com/libertarianism/statuses/1389693244150255617,2,0,"Twitter Web App"
libertarianism,"ID 1389685476735561736","Tue May 04 20:56:51 +0000 2021"," RT @CatoInstitute: On TikTok? Follow @CatoInstitute!

https://t.co/05960hBWZM",https://twitter.com/libertarianism/statuses/1389685476735561736,4,0,"Twitter Web App"
libertarianism,"ID 1389685386776092674","Tue May 04 20:56:29 +0000 2021"," RT @AbolishQI: The biggest names on both sides of the qualified immunity debate are gathering Wednesday. #AbolishQI
https://t.co/xQSnIUdj1K…",https://twitter.com/libertarianism/statuses/1389685386776092674,8,0,"Twitter Web App"
libertarianism,"ID 1389684251348586498","Tue May 04 20:51:59 +0000 2021"," Happy #MayTheFourth!
@PopNLockePod lined up a stellar #StarWars superfan panel to discuss the latest in the saga; The Mandalorian.

Want to hear it again? 
#ThisIsTheWay ⬇️
https://t.co/RBlO35P41X",https://twitter.com/libertarianism/statuses/1389684251348586498,3,3,HubSpot
