"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Hansen4Congress,"ID 1384899949146615810","Wed Apr 21 16:00:52 +0000 2021"," .@KevinCramer We the People have made small but significant progress in draining the Swamp. Please do not start refilling it, vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384899949146615810,1,7,"Twitter Web App"
Hansen4Congress,"ID 1384899461218979842","Wed Apr 21 15:58:56 +0000 2021"," .@SenatorLankford please vote against starting to refill the Swamp and vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384899461218979842,1,6,"Twitter Web App"
Hansen4Congress,"ID 1384899143966023681","Wed Apr 21 15:57:40 +0000 2021"," .@SenatorRounds Keep up the conservative principles of your governor and vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384899143966023681,3,6,"Twitter Web App"
Hansen4Congress,"ID 1384898813786271748","Wed Apr 21 15:56:22 +0000 2021"," .@SenJohnThune Make your governor proud and vote against refilling the Swamp by voting against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384898813786271748,2,4,"Twitter Web App"
Hansen4Congress,"ID 1384898491663765508","Wed Apr 21 15:55:05 +0000 2021"," .@SenatorHagerty Keep volunteering for conservatism and vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384898491663765508,2,3,"Twitter Web App"
Hansen4Congress,"ID 1384896540230234113","Wed Apr 21 15:47:19 +0000 2021"," .@SenJohnBarrasso Have always admired Wyoming strong conservative stance. Please keep it up and vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384896540230234113,1,4,"Twitter Web App"
Hansen4Congress,"ID 1384895739831148544","Wed Apr 21 15:44:09 +0000 2021"," .@SenThomTillis please keep up the Thomas tradition in America, and do not start refilling the Swamp. Please vote against bringing back earmarks. Thank you, Thomas Hansen.",https://twitter.com/Hansen4Congress/statuses/1384895739831148544,2,4,"Twitter Web App"
Hansen4Congress,"ID 1384895096894726144","Wed Apr 21 15:41:35 +0000 2021"," .@SenatorBurr please do not start refilling the Swamp. Please vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384895096894726144,2,10,"Twitter Web App"
Hansen4Congress,"ID 1384894706954477571","Wed Apr 21 15:40:02 +0000 2021"," .@SenHydeSmith We the People have worked hard at draining the Swamp, do not start refilling it. Please vote against bringing back earmarks. Thank you.",https://twitter.com/Hansen4Congress/statuses/1384894706954477571,1,4,"Twitter Web App"
Hansen4Congress,"ID 1384894282163752961","Wed Apr 21 15:38:21 +0000 2021"," .@SenToddYoung Please do not start refilling the Swamp by bringing back earmarks. Please vote against them.",https://twitter.com/Hansen4Congress/statuses/1384894282163752961,1,7,"Twitter Web App"
Hansen4Congress,"ID 1384893886095581192","Wed Apr 21 15:36:47 +0000 2021"," .@SenDanSullivan We do not need to start refilling the Swamp. Please vote against bringing back earmarks.",https://twitter.com/Hansen4Congress/statuses/1384893886095581192,2,4,"Twitter Web App"
