"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
LeaderMcConnell,"ID 1388538711994994694","Sat May 01 17:00:01 +0000 2021"," .@RepAndyBarr and I introduced bipartisan legislation after last year’s @KentuckyDerby to preserve our Commonwealth's signature racing industry.

Now, Thoroughbred racing is well-positioned for the future. https://t.co/62WHO9DymH",https://twitter.com/LeaderMcConnell/statuses/1388538711994994694,39,260,TweetDeck
LeaderMcConnell,"ID 1388463213566586880","Sat May 01 12:00:01 +0000 2021"," As Kentuckians, Thoroughbred racing is practically in our bones. It’s who we are. We find our state’s unique history on the track and in the stables. Today, the best of the Bluegrass is on full display at the 147th running of the @KentuckyDerby. https://t.co/7MQSvmGkG7",https://twitter.com/LeaderMcConnell/statuses/1388463213566586880,76,542,"Twitter Media Studio"
LeaderMcConnell,"ID 1388235252070559754","Fri Apr 30 20:54:10 +0000 2021"," A number of Senate Republicans wrote President Biden’s @USEdGov today opposing a new proposal to skew civics and U.S. history toward activist indoctrination that is designed to push Americans apart. Our kids deserve the best. 

Read our letter: https://t.co/1Mxr0LFVkp",https://twitter.com/LeaderMcConnell/statuses/1388235252070559754,203,716,"Twitter for iPhone"
LeaderMcConnell,"ID 1388163257693782022","Fri Apr 30 16:08:06 +0000 2021"," President Biden hasn’t tried to do anything remotely moderate. He ran as a moderate, but everything he's recommended is far left. 
 
Think of it as the Biden bait-and-switch. Bernie Sanders is really happy. https://t.co/uEsDSF7Q6z",https://twitter.com/LeaderMcConnell/statuses/1388163257693782022,299,1357,"Twitter Media Studio"
LeaderMcConnell,"ID 1388118731650445313","Fri Apr 30 13:11:10 +0000 2021"," This Administration wants to raise taxes to nudge families toward the kinds of jobs Democrats want Americans to have, in the industries they want to exist, using the kinds of childcare they endorse. These plans aren’t about creating options; they’re imposing a vision.",https://twitter.com/LeaderMcConnell/statuses/1388118731650445313,801,3644,"Twitter Web App"
LeaderMcConnell,"ID 1387932341390258180","Fri Apr 30 00:50:31 +0000 2021"," .@SenatorTimScott is a brave, courageous, and inspirational leader. If you want to see the future, watch his great speech from last night. He laid out what the Republican Party today and tomorrow is going to look like. https://t.co/VYjr8uyv4C",https://twitter.com/LeaderMcConnell/statuses/1387932341390258180,254,1624,"Twitter Media Studio"
LeaderMcConnell,"ID 1387844275828834308","Thu Apr 29 19:00:34 +0000 2021"," Tune in to @FoxNews. I am joining @marthamaccallum to discuss the contrast between President Biden’s Joint Address and Senator Tim Scott’s Republican response.",https://twitter.com/LeaderMcConnell/statuses/1387844275828834308,100,608,"Twitter for iPhone"
LeaderMcConnell,"ID 1387817442366394369","Thu Apr 29 17:13:57 +0000 2021"," Last night, President Biden talked about unity and togetherness. But he delivered a multi-trillion-dollar shopping list that was not even intended to earn bipartisan buy-in. A lengthy liberal daydream that would force American families’ lives into Washington Democrats’ mold.",https://twitter.com/LeaderMcConnell/statuses/1387817442366394369,334,1862,"Twitter Web App"
LeaderMcConnell,"ID 1387598502700765188","Thu Apr 29 02:43:58 +0000 2021"," I am so glad the nation heard @SenatorTimScott's outstanding Republican response to President Biden’s address. Republicans stand for the principles and policies that unite Americans and expand opportunity for working families. Not radical agendas designed to push us apart.",https://twitter.com/LeaderMcConnell/statuses/1387598502700765188,1014,6574,"Twitter Web App"
LeaderMcConnell,"ID 1386853442707144706","Tue Apr 27 01:23:21 +0000 2021"," Republicans have responded to Democrats’ “infrastructure” bill with a smart proposal to meet real needs.
 
Roads. Bridges. Ports. Airports. Waterways. Broadband.
 
Are Democrats ready to work together? Or was “infrastructure” just wrapping paper for more gifts to the far left?",https://twitter.com/LeaderMcConnell/statuses/1386853442707144706,736,4139,"Twitter for iPhone"
