"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MarylandNickG,"ID 1389405730386718720","Tue May 04 02:25:14 +0000 2021"," RT @kayleighmcenany: This is so, so powerful. A must watch... WOW ⬇️",https://twitter.com/MarylandNickG/statuses/1389405730386718720,5397,0,"Twitter for iPhone"
MarylandNickG,"ID 1389405076775710725","Tue May 04 02:22:38 +0000 2021"," RT @AlexandraLevi20: It is unconstitutional to have a Covid-19 vaccine passport to prove that you have been vaccinated! This goes against t…",https://twitter.com/MarylandNickG/statuses/1389405076775710725,68,0,"Twitter for iPhone"
MarylandNickG,"ID 1387932251695067141","Fri Apr 30 00:50:09 +0000 2021"," My buddy... take the time to watch https://t.co/amh6MISjZ9",https://twitter.com/MarylandNickG/statuses/1387932251695067141,1,3,"Twitter for iPhone"
MarylandNickG,"ID 1387486996696870917","Wed Apr 28 19:20:52 +0000 2021"," Outrageous... https://t.co/1p9JV5253M",https://twitter.com/MarylandNickG/statuses/1387486996696870917,8,51,"Twitter for iPhone"
MarylandNickG,"ID 1386497077581074443","Mon Apr 26 01:47:17 +0000 2021"," RT @mtgreenee: The Hamburglar.

“No burgers for thee, but just for me.” https://t.co/vXb4gCGsgW",https://twitter.com/MarylandNickG/statuses/1386497077581074443,3117,0,"Twitter for iPhone"
MarylandNickG,"ID 1385011284744327170","Wed Apr 21 23:23:17 +0000 2021"," @KingJames is a moron. 

Do I need to say more?",https://twitter.com/MarylandNickG/statuses/1385011284744327170,0,0,"Twitter for iPhone"
MarylandNickG,"ID 1382085076314423297","Tue Apr 13 21:35:34 +0000 2021"," RT @Liz_Wheeler: CNN director admits:

- CNN airs propaganda
- CNN tried to get Trump out of office
- Without CNN, Trump wouldn't have lost…",https://twitter.com/MarylandNickG/statuses/1382085076314423297,3099,0,"Twitter for iPhone"
MarylandNickG,"ID 1376384661212033027","Mon Mar 29 04:04:09 +0000 2021"," Best president in my lifetime...

And a hunter percent the most approachable...

 https://t.co/I0IsGTdH2P",https://twitter.com/MarylandNickG/statuses/1376384661212033027,22,61,"Twitter for iPhone"
MarylandNickG,"ID 1375868119084904451","Sat Mar 27 17:51:36 +0000 2021"," https://t.co/6KyEAezQ3v",https://twitter.com/MarylandNickG/statuses/1375868119084904451,3,1,"Twitter for iPhone"
MarylandNickG,"ID 1375495944834277378","Fri Mar 26 17:12:43 +0000 2021"," RT @SupportUSA4: https://t.co/nCEWl1c0jT",https://twitter.com/MarylandNickG/statuses/1375495944834277378,25,0,"Twitter for iPhone"
MarylandNickG,"ID 1375491485576089602","Fri Mar 26 16:55:00 +0000 2021"," This is what it looks like to have a puppet president.

He is controlled by special interest and socialist disguised as progressive.
#President #GOP #ForThePeopleAct #HR1 #DemVoice1 

 https://t.co/PNIwiNfVPC",https://twitter.com/MarylandNickG/statuses/1375491485576089602,6,7,"Twitter for iPhone"
MarylandNickG,"ID 1375490357492908038","Fri Mar 26 16:50:31 +0000 2021"," @MikeVee_ @darthdomm1 Apparently you don’t get that option when your white.",https://twitter.com/MarylandNickG/statuses/1375490357492908038,1,2,"Twitter for iPhone"
MarylandNickG,"ID 1375462002756292608","Fri Mar 26 14:57:50 +0000 2021"," This coming from the guy who won’t let people work...
#openPA #covid19qld https://t.co/0x6THhFus3",https://twitter.com/MarylandNickG/statuses/1375462002756292608,3,10,"Twitter for iPhone"
MarylandNickG,"ID 1375289521181323270","Fri Mar 26 03:32:28 +0000 2021"," @campbell_loy Muon heard them........ share ....",https://twitter.com/MarylandNickG/statuses/1375289521181323270,0,1,"Twitter for iPhone"
MarylandNickG,"ID 1375285500106313735","Fri Mar 26 03:16:29 +0000 2021"," Shout this to the back of the room. https://t.co/47gvaG4i4k",https://twitter.com/MarylandNickG/statuses/1375285500106313735,8,26,"Twitter for iPhone"
MarylandNickG,"ID 1375285342773800962","Fri Mar 26 03:15:51 +0000 2021"," If you think this is ok... than you don’t no How the “free press” works https://t.co/oaFNBLfljC",https://twitter.com/MarylandNickG/statuses/1375285342773800962,9,19,"Twitter for iPhone"
MarylandNickG,"ID 1375285026326126598","Fri Mar 26 03:14:36 +0000 2021"," @RepVernonJones My man  @RepVernonJones  planning for the future... I love it.",https://twitter.com/MarylandNickG/statuses/1375285026326126598,0,10,"Twitter for iPhone"
MarylandNickG,"ID 1375284654899519491","Fri Mar 26 03:13:07 +0000 2021"," @MeidasTouch @lizard51 Good riddance",https://twitter.com/MarylandNickG/statuses/1375284654899519491,0,0,"Twitter for iPhone"
MarylandNickG,"ID 1375281040185417728","Fri Mar 26 02:58:46 +0000 2021"," We need lawyers to step up immediately. Please contact me if you are in this area we are going to Challenge on discrimination. And on other points as well. 

#Oakland #Discrimination #hate #EqualPayDay2021 https://t.co/tQqV6NfJMK",https://twitter.com/MarylandNickG/statuses/1375281040185417728,18,20,"Twitter for iPhone"
MarylandNickG,"ID 1375278511024443392","Fri Mar 26 02:48:43 +0000 2021"," We need to listen to her. We need to Challenge everything they do. They are trying to kill America https://t.co/XpqNMhxNVI",https://twitter.com/MarylandNickG/statuses/1375278511024443392,3,4,"Twitter for iPhone"
MarylandNickG,"ID 1375184610141802498","Thu Mar 25 20:35:35 +0000 2021"," Shout out to @CeciliaVega for the first real question #Biden got since he’s been in office. 

#bidenpressconference 
#BidenBorderCrisis",https://twitter.com/MarylandNickG/statuses/1375184610141802498,1,9,"Twitter for iPhone"
MarylandNickG,"ID 1374593030712352771","Wed Mar 24 05:24:51 +0000 2021"," #wakeup #listen #learn #AsianStarsSpeakUpForAsians https://t.co/CQ5CXCJPp2",https://twitter.com/MarylandNickG/statuses/1374593030712352771,3,6,"Twitter for iPhone"
MarylandNickG,"ID 1374556649290092545","Wed Mar 24 03:00:17 +0000 2021"," @cjwerleman @Hermes23 🧐🧐🧐🧐",https://twitter.com/MarylandNickG/statuses/1374556649290092545,0,1,"Twitter for iPhone"
MarylandNickG,"ID 1374556335157735424","Wed Mar 24 02:59:02 +0000 2021"," @mmpadellan @ReallyAmerican1 @chipfranklin You sound stupid… The shooter was a Democrat and a immigrant on top of that. Did you notice about all the people that died they were all white.",https://twitter.com/MarylandNickG/statuses/1374556335157735424,0,3,"Twitter for iPhone"
MarylandNickG,"ID 1374556067338858501","Wed Mar 24 02:57:59 +0000 2021"," @LALewman No it wasn’t well said... if more people were armed #crazy people wouldn’t feel like they could kill people at will.  

#twitterBots #ActuallyAutistic #AMERICAFirst",https://twitter.com/MarylandNickG/statuses/1374556067338858501,0,1,"Twitter for iPhone"
