"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MittRomney,"ID 1389645359597621249","Tue May 04 18:17:26 +0000 2021"," Every person of conscience draws a line beyond which they will not go: Liz Cheney refuses to lie. As one of my Republican Senate colleagues said to me following my impeachment vote: “I wouldn’t want to be a member of a group that punished someone for following their conscience.”",https://twitter.com/MittRomney/statuses/1389645359597621249,7038,48880,"Twitter for iPhone"
MittRomney,"ID 1385269665954516993","Thu Apr 22 16:30:00 +0000 2021"," RT @SenatorRomney: The infrastructure proposal led by @SenCapito is wisely focused on actual infrastructure and addresses real deficiencies…",https://twitter.com/MittRomney/statuses/1385269665954516993,68,0,"Twitter for iPhone"
MittRomney,"ID 1385251130117140495","Thu Apr 22 15:16:20 +0000 2021"," RT @SenatorRomney: The Administration wants yet another multi-trillion dollar jobs/stimulus bill, this time under the guise of infrastructu…",https://twitter.com/MittRomney/statuses/1385251130117140495,80,0,"Twitter for iPhone"
MittRomney,"ID 1384329539959074816","Tue Apr 20 02:14:16 +0000 2021"," It’s hard to find a picture of Fritz Mondale where he isn’t smiling. A cheerful and good soul who will surely be welcomed by a loving God.",https://twitter.com/MittRomney/statuses/1384329539959074816,561,11279,"Twitter for iPhone"
MittRomney,"ID 1383059352005775364","Fri Apr 16 14:07:00 +0000 2021"," I hope that I and others who come to the U.S. Capitol will remember that when we succumb to untruths as a nation, that it can lead to violence and even death as it did on January 6th. https://t.co/wuWkCCmcnO",https://twitter.com/MittRomney/statuses/1383059352005775364,3089,20447,"Twitter for iPhone"
MittRomney,"ID 1382146118587461637","Wed Apr 14 01:38:08 +0000 2021"," RT @SenatorRomney: Officer Billy Evans died a hero, protecting our nation’s Capitol—the home of our democracy. Keeping his children, Abigai…",https://twitter.com/MittRomney/statuses/1382146118587461637,201,0,"Twitter for iPhone"
MittRomney,"ID 1380951425052737540","Sat Apr 10 18:30:51 +0000 2021"," RT @SenatorRomney: Ann’s and my hearts are heavy with reports of two Salt Lake County deputies shot and hospitalized. We join them and thei…",https://twitter.com/MittRomney/statuses/1380951425052737540,112,0,"Twitter for iPhone"
MittRomney,"ID 1380636138591895561","Fri Apr 09 21:38:01 +0000 2021"," My Democrat friends decry the last president for weakening our institutions with his words and behavior but they now cheer the effort to pack the Supreme Court and end the Senate filibuster, which would forever diminish institutions at our Republic’s foundation.",https://twitter.com/MittRomney/statuses/1380636138591895561,1180,8148,"Twitter for iPhone"
MittRomney,"ID 1379165458067247109","Mon Apr 05 20:14:03 +0000 2021"," The media had a responsibility to go behind the political rhetoric about the Georgia voting law and provide analysis &amp; truth. Instead, most spread partisan disinformation and inflamed passions &amp; division, further blurring the line between social media &amp; a responsible free press.",https://twitter.com/MittRomney/statuses/1379165458067247109,1017,7907,"Twitter for iPhone"
MittRomney,"ID 1378803377958707201","Sun Apr 04 20:15:16 +0000 2021"," Blessed to be spending this Easter with my family. https://t.co/AN19J3UJGh",https://twitter.com/MittRomney/statuses/1378803377958707201,208,13475,"Twitter for iPhone"
