"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RandPaul,"ID 1390064723627061254","Wed May 05 22:03:50 +0000 2021"," My last stop of the day was in Jessamine County, where I met with Kentuckians at an event hosted by their Chamber of Commerce and gave an update on many of the issues affecting the community, like COVID restrictions and the need for bipartisan infrastructure legislation. https://t.co/LYDGHh9ZCw",https://twitter.com/RandPaul/statuses/1390064723627061254,55,486,"Twitter for iPhone"
RandPaul,"ID 1390028052881723393","Wed May 05 19:38:07 +0000 2021"," After Lawrenceburg &amp; Harrodsburg, I visited Stanford, KY to meet with community members, answer their questions, &amp; honor Officer Andy Ferguson, Det. Ryan Kirkpatrick, and Maria Vergara, a Good Samaritan, for their bravery &amp; heroism when helping stop a recent crime in progress. https://t.co/Alu5WJ1q8M",https://twitter.com/RandPaul/statuses/1390028052881723393,46,390,"Twitter for iPhone"
RandPaul,"ID 1390012822633988098","Wed May 05 18:37:36 +0000 2021"," RT @JoeRagusa: Sen. Rand Paul continues a tour around the state today with a stop at Rock Haven Cigar Tap Pour House in Harrodsburg.

He’s…",https://twitter.com/RandPaul/statuses/1390012822633988098,31,0,"Twitter for iPhone"
RandPaul,"ID 1389984766263504901","Wed May 05 16:46:07 +0000 2021"," Started today’s travels with a stop in Lawrenceburg, KY at The Barn at McCall Springs to meet with local leaders. We discussed issues including infrastructure, election reform, and how to stop all the wasteful spending in Washington! https://t.co/P6exfpFprh",https://twitter.com/RandPaul/statuses/1389984766263504901,49,588,"Twitter for iPhone"
RandPaul,"ID 1389910383360724993","Wed May 05 11:50:33 +0000 2021"," “Paul's focus Tuesday was on this subject: the gap between bureaucracy &amp; the citizenry, particularly when it comes to COVID19 &amp; all the various regulations &amp; restrictions that have come from all levels of government...”
https://t.co/b03eNf4s98",https://twitter.com/RandPaul/statuses/1389910383360724993,124,735,"Twitter for iPhone"
RandPaul,"ID 1389687057757478913","Tue May 04 21:03:08 +0000 2021"," After events in Columbia and Somerset I headed to the KY Music Hall of Fame &amp; Museum in Mt. Vernon, KY where I spoke with community members &amp; honored Ann Lair Henderson, who has dedicated her life to preserving &amp; showcasing the Commonwealth’s rich musical history! https://t.co/btFZqh8Y2F",https://twitter.com/RandPaul/statuses/1389687057757478913,64,616,"Twitter for iPhone"
RandPaul,"ID 1389655869449641986","Tue May 04 18:59:12 +0000 2021"," RT @maxwellwise: Thank you to @RandPaul for making a stop in Adair County this morning and providing an update to the citizens of the 16th…",https://twitter.com/RandPaul/statuses/1389655869449641986,50,0,"Twitter for iPhone"
RandPaul,"ID 1389645985970851845","Tue May 04 18:19:56 +0000 2021"," RT @AshliWatts: Wonderful attending the Somerset Chamber luncheon with @KyChamber Chair @winstongrocery featuring @RandPaul. https://t.co/p…",https://twitter.com/RandPaul/statuses/1389645985970851845,30,0,"Twitter for iPhone"
RandPaul,"ID 1389603580974403591","Tue May 04 15:31:25 +0000 2021"," Great to be back on the road in Kentucky! Today I started my travels in Columbia, KY for an event hosted by the Adair County Fiscal Court where I took questions from the community. https://t.co/P2LqYwsJ9t",https://twitter.com/RandPaul/statuses/1389603580974403591,109,1344,"Twitter for iPhone"
RandPaul,"ID 1388953457621716992","Sun May 02 20:28:04 +0000 2021"," RT @QuincyInst: ""I don’t always agree with Biden but on Afghanistan troop withdrawal he’s got it right Carrying through with plans set into…",https://twitter.com/RandPaul/statuses/1388953457621716992,76,0,"Twitter for iPhone"
RandPaul,"ID 1388117212570001409","Fri Apr 30 13:05:08 +0000 2021"," FL is open. TX is open. TN - mandates repealed. Even NEW YORK has set a firm date to fully reopen (not soon enough)

But still not Kentucky, because of drunk with power @AndyBeshearKY",https://twitter.com/RandPaul/statuses/1388117212570001409,4083,23523,"Twitter for iPhone"
RandPaul,"ID 1388115228999696384","Fri Apr 30 12:57:15 +0000 2021"," RT @RStatecraft: .@RandPaul: At height of the war in Afghanistan, we pummeled the country w/airstrikes, had over 200k troops and contractor…",https://twitter.com/RandPaul/statuses/1388115228999696384,109,0,"Twitter for iPhone"
RandPaul,"ID 1387391442050551813","Wed Apr 28 13:01:10 +0000 2021"," CDC, Fauci Now Support Masking Policies That Scott Atlas Was Ousted For https://t.co/y7XoLm57KW",https://twitter.com/RandPaul/statuses/1387391442050551813,2419,7283,"Twitter for iPhone"
RandPaul,"ID 1386312700460949505","Sun Apr 25 13:34:38 +0000 2021"," This morning I’ll be joining @MariaBartiromo live at 10 am et for @SundayFutures on @FoxNews. Tune in!",https://twitter.com/RandPaul/statuses/1386312700460949505,97,1273,"Twitter for iPhone"
