"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RealDrGina,"ID 1390130399674834945","Thu May 06 02:24:49 +0000 2021"," Is @RudyGiuliani ready to fight the Biden DOJ's political intimidation???

@AndrewHGiuliani at Niagara Falls says Rudy is READY for the FIGHT! 

#DrGina #PrimeTime weeknights 7pm @RealAmVoice https://t.co/ihidJ6G682",https://twitter.com/RealDrGina/statuses/1390130399674834945,36,79,"Twitter Web App"
RealDrGina,"ID 1390119191546638340","Thu May 06 01:40:17 +0000 2021"," Actually, no one cares and this isn’t news.  

REAL NEWS is Biden’s don’t follow their own (fake) rules for thee &amp; didn’t wear masks around 90+ year olds!  

Then they put them on OUTSIDE for cameras 🙄. 

Biden voters, they think ur THAT DUMB &amp; u will never see their lies. https://t.co/yc3jc7sJXS",https://twitter.com/RealDrGina/statuses/1390119191546638340,62,201,"Twitter for iPhone"
RealDrGina,"ID 1390058037004603394","Wed May 05 21:37:16 +0000 2021"," RT @TalkMullins: WINDHAM, NH!🚨 The third member of the election audit team has been chosen. UC Berkeley Professor @philipbstark will join @…",https://twitter.com/RealDrGina/statuses/1390058037004603394,39,0,"Twitter for iPhone"
RealDrGina,"ID 1390026896109457414","Wed May 05 19:33:32 +0000 2021"," RT @tomborelli: If Facebook can ban President Trump just think what they will do to you! Join @RealDrGina @KatrinaPierson @pnjaban @deneenb…",https://twitter.com/RealDrGina/statuses/1390026896109457414,67,0,"Twitter for iPhone"
RealDrGina,"ID 1389890793234747394","Wed May 05 10:32:42 +0000 2021"," RT @RealAmVoice: WATCH: Heather Mullins describes the scene at the Windham, NH Election Audit Meeting last night on Outside the Beltway 
@j…",https://twitter.com/RealDrGina/statuses/1389890793234747394,27,0,"Twitter for iPhone"
RealDrGina,"ID 1389855887649644545","Wed May 05 08:14:00 +0000 2021"," Cruzin into the week like... join me on #DrGina Prime Time for insider scoop you can’t  get anywhere else! 7 pm tonight! Only on my TV show on  @realamericasvoice &amp; my daily podcast! Subscribe! https://t.co/hFrTl9hUcO",https://twitter.com/RealDrGina/statuses/1389855887649644545,9,36,Instagram
RealDrGina,"ID 1389713909796515841","Tue May 04 22:49:50 +0000 2021"," Why did the Bidens wear masks outside in front of TV cameras but take them off inside with the high-risk 96 &amp; 93-yr-old Carters?

7pm #DrGina #PrimeTime
@KurtSchlichter @MarkSimoneNY @StephenMoore @AmandaHead @RealAmVoice 

Dish219
Pluto240
AppleTV
Roku
https://t.co/tORTo0FJDV https://t.co/TVH8LWOUVO",https://twitter.com/RealDrGina/statuses/1389713909796515841,98,210,"Twitter Web App"
RealDrGina,"ID 1389601685572628484","Tue May 04 15:23:54 +0000 2021"," Democrats circle wagons while we circle fire ⭕️.  

It’s time to take a stand with one of our very BEST! 

Stand with @govkristinoem here: 

https://t.co/HW6IHP03e5 https://t.co/0voJo9fekO",https://twitter.com/RealDrGina/statuses/1389601685572628484,26,126,"Twitter for iPhone"
RealDrGina,"ID 1389349933912887298","Mon May 03 22:43:31 +0000 2021"," What will happen if the AZ election audit finds big vote discrepancies??? 

@AZGOP Chairwoman @KelliWardAZ is up at 7pm on @RealAmVoice 

https://t.co/tORTo0FJDV https://t.co/6jzsmo9uY6",https://twitter.com/RealDrGina/statuses/1389349933912887298,135,638,"Twitter Web App"
RealDrGina,"ID 1389341936658616326","Mon May 03 22:11:45 +0000 2021"," NO NEW NORMAL! 

DESANTIS ISSUES SECOND E.O. ENDING ALL COVID RESTRICTIONS IN FLORIDA IMMEDIATELY!! - Free Florida https://t.co/ebjIyUxNX0",https://twitter.com/RealDrGina/statuses/1389341936658616326,229,1170,"Twitter for iPhone"
RealDrGina,"ID 1389255696030502920","Mon May 03 16:29:03 +0000 2021"," I saw 45 this weekend &amp; he stated that he doesn’t want to talk about ‘22 or ‘24 until 2020 is resolved TO THE SATISFACTION OF THE AMERICAN PEOPLE!  

He is listening to you. He hasn’t  given up! He is THE LEADER of the GOP!

More tonight on #DrGina @RealAmVoice 7 pm EST/4 pac https://t.co/chp69fA2fe",https://twitter.com/RealDrGina/statuses/1389255696030502920,1586,5410,"Twitter for iPhone"
RealDrGina,"ID 1389248671636656133","Mon May 03 16:01:08 +0000 2021"," RT: All week I will be covering all things #ELECTIONAUDIT on #DrGina this week.  

What are your questions? Who would you like to hear from? 

@RealAmVoice has 24/7 eyes ON the audit and I will give you the inside scoop on all things #MAGA! I 

#TheBigLie #ElectionFraud https://t.co/poHLRmOwl0",https://twitter.com/RealDrGina/statuses/1389248671636656133,61,126,"Twitter for iPhone"
RealDrGina,"ID 1389191676955172874","Mon May 03 12:14:40 +0000 2021"," A little faith will bring your soul to Heaven. But a lot of faith will bring Heaven to your soul.

-DL Moodie",https://twitter.com/RealDrGina/statuses/1389191676955172874,116,778,"Twitter for iPhone"
RealDrGina,"ID 1389188052828971009","Mon May 03 12:00:16 +0000 2021"," Louie Gohmert on #DrGina @RealAmVoice with the latest #MAGA scoop! 

@replouiegohmert 
https://t.co/GQ7eQ2nRSg",https://twitter.com/RealDrGina/statuses/1389188052828971009,10,18,"Twitter for iPhone"
RealDrGina,"ID 1389186665407782914","Mon May 03 11:54:45 +0000 2021"," Andrew Giuliani says raids on lawyers homes by DOJ are weapons of the left against conservatives.  

@RealAmVoice https://t.co/RD3f8PqlPk",https://twitter.com/RealDrGina/statuses/1389186665407782914,107,215,"Twitter for iPhone"
RealDrGina,"ID 1389183400330862592","Mon May 03 11:41:47 +0000 2021"," Casual racism of the Biden family https://t.co/rcxj0WYJhF",https://twitter.com/RealDrGina/statuses/1389183400330862592,21,48,"Twitter for iPhone"
RealDrGina,"ID 1389183286946242566","Mon May 03 11:41:20 +0000 2021"," Rep. Mo Brooks: Infrastructure and the socialist Democrats' deceptive terminology https://t.co/CodQjcH9BF @RepMoBrooks  @MoBrooks #DrGina",https://twitter.com/RealDrGina/statuses/1389183286946242566,15,26,"Twitter for iPhone"
RealDrGina,"ID 1389182707977105412","Mon May 03 11:39:02 +0000 2021"," How the cartels at the border are recruiting U.S. teens to smuggle illegal immigrants https://t.co/ZSBhGym94T",https://twitter.com/RealDrGina/statuses/1389182707977105412,51,54,"Twitter for iPhone"
RealDrGina,"ID 1389182220192071684","Mon May 03 11:37:05 +0000 2021"," The “Mob Rule” era according to @RudyGiuliani 

https://t.co/FSJoGWmFNJ",https://twitter.com/RealDrGina/statuses/1389182220192071684,12,24,"Twitter for iPhone"
RealDrGina,"ID 1389182026268520449","Mon May 03 11:36:19 +0000 2021"," Rep. Jody Hice: VP Harris hasn't made a border trip, 'yet her book is there' https://t.co/XMQCTdPaa6",https://twitter.com/RealDrGina/statuses/1389182026268520449,17,44,"Twitter for iPhone"
