"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RonPaul,"ID 1390078857357709315","Wed May 05 23:00:00 +0000 2021"," 'Durable Revenue Stream' - Pfizer Vax Windfall Crony Capitalism At Its Worst

https://t.co/pJazVgRFNW",https://twitter.com/RonPaul/statuses/1390078857357709315,69,187,TweetDeck
RonPaul,"ID 1390034382958866441","Wed May 05 20:03:17 +0000 2021"," Attempting To Create Equality of Results (Rather Than Equality Under Justice) Leads To A Very Bad Place https://t.co/EFYXeUeU59",https://twitter.com/RonPaul/statuses/1390034382958866441,55,183,TweetDeck
RonPaul,"ID 1390012159661383686","Wed May 05 18:34:58 +0000 2021"," Why This Push To Vaccinate Kids, When (According To The CDC Itself) Kids Are Virtually Not Getting Covid?

Watch the whole show here: https://t.co/xeaEecFAVv https://t.co/aBXdzYkyJy",https://twitter.com/RonPaul/statuses/1390012159661383686,109,314,TweetDeck
RonPaul,"ID 1389998789763780610","Wed May 05 17:41:51 +0000 2021"," Want To See ""Crony Capitalism"" At Its Worst? Look No Further Than The Vaccines

Watch the whole show here: https://t.co/0zd4NGGPMp https://t.co/amdscWvIsR",https://twitter.com/RonPaul/statuses/1389998789763780610,79,197,TweetDeck
RonPaul,"ID 1389984029550727169","Wed May 05 16:43:11 +0000 2021"," 'Durable Revenue Stream' - Pfizer Vax Windfall Crony Capitalism At Its Worst -- today on the Liberty Report:
https://t.co/0zd4NGGPMp",https://twitter.com/RonPaul/statuses/1389984029550727169,41,106,"Twitter Web App"
RonPaul,"ID 1389964762214289413","Wed May 05 15:26:38 +0000 2021"," The Mighty &amp; All-Powerful Unseen

https://t.co/OWvegyuOkd https://t.co/AYu0uvuSAJ",https://twitter.com/RonPaul/statuses/1389964762214289413,99,316,TweetDeck
RonPaul,"ID 1389716474026201097","Tue May 04 23:00:01 +0000 2021"," Welcome To Dystopia: Biden To Use 'Private' Firms To Spy On Americans

https://t.co/nFMZX1g0Ui",https://twitter.com/RonPaul/statuses/1389716474026201097,92,271,TweetDeck
RonPaul,"ID 1389688481446866951","Tue May 04 21:08:47 +0000 2021"," Vaccines Are Paying Off Handsomely for Big Pharma

Profits Explode At Pfizer https://t.co/i8oKXcPVTj",https://twitter.com/RonPaul/statuses/1389688481446866951,140,390,TweetDeck
RonPaul,"ID 1389665493649330177","Tue May 04 19:37:27 +0000 2021"," Praise For Florida's Governor DeSantis, Who Keeps Delivering The Good News https://t.co/JTk6KaVpTW",https://twitter.com/RonPaul/statuses/1389665493649330177,62,291,TweetDeck
RonPaul,"ID 1389636507045179407","Tue May 04 17:42:16 +0000 2021"," Outsourced Government Surveillance

Watch the whole show here: https://t.co/YJX8mVcvqV https://t.co/6K9LrPb6xs",https://twitter.com/RonPaul/statuses/1389636507045179407,32,86,TweetDeck
