"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
SenJoniErnst,"ID 1390131637317521409","Thu May 06 02:29:44 +0000 2021"," Last #99CountyTour stop of the day: Lee Co! I was honored to speak to members of Central Lee @iowaffa to underscore the value of their leadership &amp; answer their Q’s.

Thank you for recognizing me with an Honorary FFA Degree. I will always proudly fight for #Iowa’s ag industry. https://t.co/GA7b3YUfVY",https://twitter.com/SenJoniErnst/statuses/1390131637317521409,2,16,"Twitter for iPhone"
SenJoniErnst,"ID 1390085929151385601","Wed May 05 23:28:06 +0000 2021"," .@rantizosprays in Johnson Co. is harnessing drone technology to help farmers cultivate crops efficiently &amp; with precision—and I even got to take one for a spin! Exciting to see another example of cutting edge innovation used by #Iowa’s agriculture community today. 🌽 https://t.co/GBQU3Gy8oI",https://twitter.com/SenJoniErnst/statuses/1390085929151385601,3,17,"Twitter for iPhone"
SenJoniErnst,"ID 1390034994123485184","Wed May 05 20:05:42 +0000 2021"," Great to answer Q’s from so many hardworking folks at Jackson Manufacturing during my #99CountyTour visit to Jackson Co &amp; discuss the need to:

🏗 Pass a true infrastructure bill
🚛 Support our truck drivers
👷 Grow our workforce
⏩ Keep our supply chain moving

Thx for the tour! https://t.co/KY4gaWh81z",https://twitter.com/SenJoniErnst/statuses/1390034994123485184,3,12,"Twitter for iPhone"
SenJoniErnst,"ID 1390008641529524231","Wed May 05 18:20:59 +0000 2021"," In Dubuque Co., I visited Hills &amp; Dales to hear about the important services they provide to children &amp; young adults with disabilities. I was so glad to meet w/some of their residents &amp; employees and take a tour of their facility. Thx for having me &amp; for all you do! #99CountyTour https://t.co/OY0iqiFsSp",https://twitter.com/SenJoniErnst/statuses/1390008641529524231,2,21,"Twitter for iPhone"
SenJoniErnst,"ID 1389968423946436611","Wed May 05 15:41:11 +0000 2021"," RT @gillibrandny: We need to deliver justice for survivors of military sexual assault, and do more to prevent these crimes from happening a…",https://twitter.com/SenJoniErnst/statuses/1389968423946436611,65,0,"Twitter for iPhone"
SenJoniErnst,"ID 1389961869776072714","Wed May 05 15:15:08 +0000 2021"," The folks at @FullCircleNEIA in Buchanan Co. provide critical services to Iowans battling mental health challenges. Today, we discussed ways to help break the stigma surrounding mental illness &amp; ensure providers can keep delivering support to those who need it. #99CountyTour https://t.co/NG4BiWVEj1",https://twitter.com/SenJoniErnst/statuses/1389961869776072714,1,13,"Twitter for iPhone"
SenJoniErnst,"ID 1389941422942474245","Wed May 05 13:53:53 +0000 2021"," Thanks to @GenCQBrownJr and Admiral Richard for hosting my fellow @SASCGOP @SASCDems colleagues &amp; me @US_Stratcom. We will continue working together to ensure #USSTRATCOM has the tools and resources necessary to continue their ever-evolving #StrategicDeterrance mission. https://t.co/rl69X8RMpS",https://twitter.com/SenJoniErnst/statuses/1389941422942474245,7,16,"Twitter for iPhone"
SenJoniErnst,"ID 1389733619036573704","Wed May 05 00:08:09 +0000 2021"," Wishing a happy, well-deserved #TeacherAppreciationDay to all of our hardworking educators across #Iowa and America! 📚🍎 https://t.co/JHsG5MARDI",https://twitter.com/SenJoniErnst/statuses/1389733619036573704,2,38,"Twitter for iPhone"
SenJoniErnst,"ID 1389699514391482373","Tue May 04 21:52:38 +0000 2021"," Child care deserts continue to plague #Iowa communities—especially in our rural areas. I had a productive discussion w/folks in Chickasaw Co about the challenges they’re facing &amp; my bipartisan work to ⬆️ access to quality, affordable child care for working families. #99CountyTour https://t.co/DJUngbp0Id",https://twitter.com/SenJoniErnst/statuses/1389699514391482373,5,18,"Twitter for iPhone"
SenJoniErnst,"ID 1389692626752966657","Tue May 04 21:25:16 +0000 2021"," It’s simple—a move to all-electric vehicles means no more gasoline or diesel-powered vehicles, which could eliminate the need to blend ethanol &amp; biodiesel.

Biofuel is a cleaner choice at the pump &amp; should absolutely be part of the conversation. https://t.co/Uq3ouad1Oe",https://twitter.com/SenJoniErnst/statuses/1389692626752966657,15,39,"Twitter for iPhone"
SenJoniErnst,"ID 1389680250431410176","Tue May 04 20:36:05 +0000 2021"," Students in @iowaffa are the next generation of leaders in agriculture &amp; beyond. I was so impressed by the projects @charlescityffa members in Floyd Co are working on in horticulture, poultry production, #STEM—&amp; more.🐓🌺🔬Thx for having me &amp; keep up the great work! #99CountyTour https://t.co/wA5Q0xoJfJ",https://twitter.com/SenJoniErnst/statuses/1389680250431410176,8,37,"Twitter for iPhone"
SenJoniErnst,"ID 1389658144406753280","Tue May 04 19:08:14 +0000 2021"," Hemp production is a new frontier for Greg Nicholas &amp; one way he’s working to diversify his farm. During my #99CountyTour visit to Nicholas Hemp Farm in Cerro Gordo Co., we discussed the process for growing hemp &amp; how I can help farmers overcome some of the hurdles they face. https://t.co/tiDtaNN4EY",https://twitter.com/SenJoniErnst/statuses/1389658144406753280,4,20,"Twitter for iPhone"
SenJoniErnst,"ID 1389637639255568389","Tue May 04 17:46:46 +0000 2021"," Farmers are the 1️⃣st conservationists—like Brent of Renner Family Farms in Hancock Co. who’s introduced no-till &amp; cover crops on his 4️⃣th-gen soybean farm. 🌱 Proud to support the #GrowingClimateSolutionsAct to help farmers leverage their dedication to conservation. #99CountyTour https://t.co/4VWVp5mDoY",https://twitter.com/SenJoniErnst/statuses/1389637639255568389,6,28,"Twitter for iPhone"
SenJoniErnst,"ID 1389601939810398216","Tue May 04 15:24:54 +0000 2021"," Great to start the day with the Johnston Rotary Club! We discussed the bipartisan infrastructure bills Congress has already advanced, &amp; my hope that we can continue working together on a package that targets the true infrastructure needs of our communities &amp; businesses. https://t.co/qIx4spnWa6",https://twitter.com/SenJoniErnst/statuses/1389601939810398216,6,23,"Twitter for iPhone"
SenJoniErnst,"ID 1389559741467271169","Tue May 04 12:37:13 +0000 2021"," Helping Iowa farmers capitalize on their commitment to conservation. 

My column in ⁦@Messenger_News⁩ ⬇️ https://t.co/8dl0usvGe7",https://twitter.com/SenJoniErnst/statuses/1389559741467271169,3,12,"Twitter for iPhone"
SenJoniErnst,"ID 1389278782276653057","Mon May 03 18:00:47 +0000 2021"," After serving 23+ yrs in uniform, I understand how critical it is for female soldiers to have body armor that fits. I was glad to meet w/@usairforce airmen &amp; @GenCQBrownJr at @TeamMinot to discuss my work to ensure female servicemembers are properly equipped for the battlefield. https://t.co/gBFohy6Csg",https://twitter.com/SenJoniErnst/statuses/1389278782276653057,4,65,"Twitter for iPhone"
SenJoniErnst,"ID 1389247712109998084","Mon May 03 15:57:20 +0000 2021"," As ranking member of @SASCGOP and a combat veteran, I questioned @USSOCOM leaders on their efforts to ensure the men &amp; women under their commands are equipped to compete and win against ever evolving terrorist regimes &amp; our strategic competitors.

WATCH my opening remarks ⬇️ https://t.co/ULlVizFILL",https://twitter.com/SenJoniErnst/statuses/1389247712109998084,7,29,"Twitter Media Studio"
SenJoniErnst,"ID 1388962807249506329","Sun May 02 21:05:13 +0000 2021"," Just recently, I was proud to help advance the bipartisan #GrowingClimateSolutionsAct out of @SenateAgGOP—which @ChuckGrassley and I serve on—and I’m going to keep pushing to get it across the finish line and onto the president’s desk.
 
MORE ⬇️ https://t.co/zJ5PBTrxdQ",https://twitter.com/SenJoniErnst/statuses/1388962807249506329,4,13,"Twitter for iPhone"
