"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
WilkowMajority,"ID 1390111072573698056","Thu May 06 01:08:01 +0000 2021"," WTF!!!! https://t.co/avRUlnzikL",https://twitter.com/WilkowMajority/statuses/1390111072573698056,63,134,"Twitter Web App"
WilkowMajority,"ID 1390110646503673859","Thu May 06 01:06:19 +0000 2021"," https://t.co/29UcsBi7e6",https://twitter.com/WilkowMajority/statuses/1390110646503673859,17,50,"Twitter Web App"
WilkowMajority,"ID 1390109058338754561","Thu May 06 01:00:01 +0000 2021"," RT @JohnCornyn: US taxpayers help fund the research into developing mRNA vaccines, including the early R&amp;D by Moderna. The waiver of IP pro…",https://twitter.com/WilkowMajority/statuses/1390109058338754561,132,0,"Twitter Web App"
WilkowMajority,"ID 1390092623474528259","Wed May 05 23:54:42 +0000 2021"," Even more #WhiteSupremacy! 
https://t.co/ZBby57ZQe5",https://twitter.com/WilkowMajority/statuses/1390092623474528259,9,28,"Twitter Web App"
WilkowMajority,"ID 1390088635098222593","Wed May 05 23:38:51 +0000 2021"," It's a good thing the smart people who believe in sound money are in charge......
https://t.co/JWT1Kwoi5G",https://twitter.com/WilkowMajority/statuses/1390088635098222593,6,27,"Twitter Web App"
WilkowMajority,"ID 1390082325875208195","Wed May 05 23:13:47 +0000 2021"," ""It’s almost as if they’re saying you can only go so far, and if you don’t agree with everything we are saying, we are going to pick somebody else.""

Well.....That's how a an election works. Nobody is owed a position. 

https://t.co/njozXTWtmd",https://twitter.com/WilkowMajority/statuses/1390082325875208195,7,42,"Twitter Web App"
WilkowMajority,"ID 1390080998705176579","Wed May 05 23:08:31 +0000 2021"," RT @SiriusXMPatriot: On @WilkowMajority,
@RepRalphNorman says the Republican party will not be united, as long as #LizCheney is GOP Confere…",https://twitter.com/WilkowMajority/statuses/1390080998705176579,7,0,"Twitter for iPhone"
WilkowMajority,"ID 1390030407207460866","Wed May 05 19:47:29 +0000 2021"," #Transrepuplican #LizCheney 
https://t.co/YZmJjeU2Mh",https://twitter.com/WilkowMajority/statuses/1390030407207460866,2,6,"Twitter for iPhone"
WilkowMajority,"ID 1390005190254899201","Wed May 05 18:07:17 +0000 2021"," Get it? #CincoDeMayo2021 https://t.co/ggRIERwGFR",https://twitter.com/WilkowMajority/statuses/1390005190254899201,31,350,"Twitter for iPhone"
WilkowMajority,"ID 1389998986707279878","Wed May 05 17:42:38 +0000 2021"," Now that #BillGates is single....Watch that sex robot industry take off! https://t.co/vbPMZiFRfS",https://twitter.com/WilkowMajority/statuses/1389998986707279878,13,102,"Twitter Web App"
WilkowMajority,"ID 1389979523207290884","Wed May 05 16:25:17 +0000 2021"," Look out for the #woke screams of ""#CulturalAppropriation!"" at bars across the open states. 
#CincodeMayo2021 https://t.co/EZyP1PEnpk",https://twitter.com/WilkowMajority/statuses/1389979523207290884,32,136,"Twitter Web App"
WilkowMajority,"ID 1389951144764522505","Wed May 05 14:32:31 +0000 2021"," https://t.co/0tW92pkTdf",https://twitter.com/WilkowMajority/statuses/1389951144764522505,29,248,"Twitter for iPhone"
WilkowMajority,"ID 1389934936384315399","Wed May 05 13:28:07 +0000 2021"," I didn't know #ChrisHayes was a #transgender prisoner
https://t.co/6xZpCFFNd6",https://twitter.com/WilkowMajority/statuses/1389934936384315399,9,32,"Twitter Web App"
WilkowMajority,"ID 1389929396283322372","Wed May 05 13:06:06 +0000 2021"," ""For many progressives, extreme vigilance was in part about opposing Donald Trump.""

https://t.co/Q3ad6NaR0S",https://twitter.com/WilkowMajority/statuses/1389929396283322372,5,33,"Twitter Web App"
WilkowMajority,"ID 1389656284534910979","Tue May 04 19:00:51 +0000 2021"," https://t.co/FzY3ddwuk2",https://twitter.com/WilkowMajority/statuses/1389656284534910979,1,31,"Twitter Web App"
WilkowMajority,"ID 1389653444886155266","Tue May 04 18:49:34 +0000 2021"," Take your wedding dollars outside of #DC 
https://t.co/Pa1IvET2i1",https://twitter.com/WilkowMajority/statuses/1389653444886155266,8,75,"Twitter Web App"
WilkowMajority,"ID 1389640484021284868","Tue May 04 17:58:04 +0000 2021"," #MayThe4thBeWithYou https://t.co/Esgu5FhATn",https://twitter.com/WilkowMajority/statuses/1389640484021284868,3,60,"Twitter Web App"
WilkowMajority,"ID 1389638772925554692","Tue May 04 17:51:16 +0000 2021"," #MayThe4thBeWithYou https://t.co/GSJlTEW0vz",https://twitter.com/WilkowMajority/statuses/1389638772925554692,1,38,"Twitter Web App"
WilkowMajority,"ID 1389616328894566406","Tue May 04 16:22:05 +0000 2021"," This is how the #democrats get you with the offer of ""free stuff"". https://t.co/wDl38dZJwL",https://twitter.com/WilkowMajority/statuses/1389616328894566406,9,16,"Twitter Web App"
WilkowMajority,"ID 1389608815306416135","Tue May 04 15:52:13 +0000 2021"," https://t.co/EssfucifFk",https://twitter.com/WilkowMajority/statuses/1389608815306416135,44,305,"Twitter for iPhone"
WilkowMajority,"ID 1389544850622754818","Tue May 04 11:38:03 +0000 2021"," She was dead! The kiss brought her back to life! Should we have to get consent before doing chest compressions? https://t.co/PasozhW5Lx",https://twitter.com/WilkowMajority/statuses/1389544850622754818,46,227,"Twitter Web App"
WilkowMajority,"ID 1389544227382730754","Tue May 04 11:35:34 +0000 2021"," You're supposed to believe that all of this is happening because of #DonaldTrump........ https://t.co/RweSsKP4ys",https://twitter.com/WilkowMajority/statuses/1389544227382730754,16,94,"Twitter Web App"
WilkowMajority,"ID 1389543017908998151","Tue May 04 11:30:46 +0000 2021"," If justice is not served.....Do not blame #Conservatives or ""the system"".  The #DerekChauvinVerdict has a rising probability of being overturned. #DerekChauvinTrial #GeorgeFloyd  
https://t.co/QtUEQNKcew",https://twitter.com/WilkowMajority/statuses/1389543017908998151,11,57,"Twitter Web App"
WilkowMajority,"ID 1389404929723355139","Tue May 04 02:22:03 +0000 2021"," It must be nice to jump right to the front of the line and get our government's attention and resources. https://t.co/f36MwyiyZs",https://twitter.com/WilkowMajority/statuses/1389404929723355139,12,67,"Twitter Web App"
WilkowMajority,"ID 1389404691553939461","Tue May 04 02:21:07 +0000 2021"," More #WhiteSupremacy......
https://t.co/QDU5rSBSvb",https://twitter.com/WilkowMajority/statuses/1389404691553939461,24,57,"Twitter Web App"
WilkowMajority,"ID 1389384946154975234","Tue May 04 01:02:39 +0000 2021"," Spice World 2? 
https://t.co/p9Jv7cGdMF",https://twitter.com/WilkowMajority/statuses/1389384946154975234,2,16,"Twitter Web App"
WilkowMajority,"ID 1389327238135418884","Mon May 03 21:13:20 +0000 2021"," #Texas! https://t.co/ln3VPRARcY",https://twitter.com/WilkowMajority/statuses/1389327238135418884,23,208,"Twitter Web App"
WilkowMajority,"ID 1389325711413030915","Mon May 03 21:07:16 +0000 2021"," Someone has been talking to McKenzie Bezos...... https://t.co/w13SNpW2oB",https://twitter.com/WilkowMajority/statuses/1389325711413030915,10,62,"Twitter Web App"
WilkowMajority,"ID 1389292449210720256","Mon May 03 18:55:06 +0000 2021"," Political Cartoons https://t.co/ATCgZjWxKd",https://twitter.com/WilkowMajority/statuses/1389292449210720256,6,47,"Twitter Web App"
WilkowMajority,"ID 1389285580262019072","Mon May 03 18:27:48 +0000 2021"," Bradley Manning? 
https://t.co/bikuytYXTy",https://twitter.com/WilkowMajority/statuses/1389285580262019072,5,24,"Twitter Web App"
WilkowMajority,"ID 1388945562737721350","Sun May 02 19:56:42 +0000 2021"," White #Democrats  can call black #Republicans the ""N' word day and get away with it. 

https://t.co/UdrFaggvlU",https://twitter.com/WilkowMajority/statuses/1388945562737721350,24,107,"Twitter Web App"
WilkowMajority,"ID 1388925818332712962","Sun May 02 18:38:14 +0000 2021"," This is why I don't believe in censorship. Let these people  #TiffanyCross speak their minds, so we can see who try truly are. 

https://t.co/fJYr6rA5zl",https://twitter.com/WilkowMajority/statuses/1388925818332712962,20,88,"Twitter Web App"
WilkowMajority,"ID 1388869253613375491","Sun May 02 14:53:28 +0000 2021"," https://t.co/hKgQx8WOD1",https://twitter.com/WilkowMajority/statuses/1388869253613375491,221,1402,"Twitter for iPhone"
WilkowMajority,"ID 1388680829895913472","Sun May 02 02:24:44 +0000 2021"," So #JohnKerry cashed in (again) before he went #green #marxist (again) https://t.co/Cq7QjnvjIH
https://t.co/Cq7QjnvjIH",https://twitter.com/WilkowMajority/statuses/1388680829895913472,32,79,"Twitter Web App"
WilkowMajority,"ID 1388665481440239619","Sun May 02 01:23:45 +0000 2021"," https://t.co/sci7smze4c",https://twitter.com/WilkowMajority/statuses/1388665481440239619,0,12,"Twitter Web App"
WilkowMajority,"ID 1388664686330122241","Sun May 02 01:20:36 +0000 2021"," Definitely not PUNK. More like an 80's hair metal vibe. You could however get a black wig and re-create a Danzig video. Muh-Therrrrrrrr! https://t.co/WKS93jIFrk",https://twitter.com/WilkowMajority/statuses/1388664686330122241,0,15,"Twitter Web App"
WilkowMajority,"ID 1388647300986245120","Sun May 02 00:11:31 +0000 2021"," https://t.co/z66Xt4qA2V",https://twitter.com/WilkowMajority/statuses/1388647300986245120,66,348,"Twitter for iPhone"
WilkowMajority,"ID 1388612747550724098","Sat May 01 21:54:12 +0000 2021"," Nothing is wrong with it. Get 2/3 of the House and Senate and 3/4 of the States. https://t.co/WIYTI7oamb",https://twitter.com/WilkowMajority/statuses/1388612747550724098,13,76,"Twitter for iPhone"
