"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
frfrankpavone,"ID 1390109145827663873","Thu May 06 01:00:22 +0000 2021"," You don't want to miss tonight's Interview with Fr. Frank! He answers the questions you have been asking! https://t.co/cmtpDAUByA",https://twitter.com/frfrankpavone/statuses/1390109145827663873,12,29,Periscope
frfrankpavone,"ID 1390093564323897344","Wed May 05 23:58:27 +0000 2021"," LIVE: Praying for America with Father Frank Pavone - Wednesday, May 5 2021 https://t.co/eJsrtobnPR",https://twitter.com/frfrankpavone/statuses/1390093564323897344,17,70,Periscope
frfrankpavone,"ID 1390086571651653632","Wed May 05 23:30:39 +0000 2021"," From President Trump's new platform:

Please explain to the Democrats and RINOs that the reas… https://t.co/p1e2Pocu2z",https://twitter.com/frfrankpavone/statuses/1390086571651653632,16,63,"Twitter Web App"
frfrankpavone,"ID 1390069384304070656","Wed May 05 22:22:22 +0000 2021"," 📣 New Podcast! ""Fr. Frank Pavone's Homily for May 5, 2021: The Holy Spirit Guides The Church"" on @Spreaker https://t.co/fGVxwWCRIQ",https://twitter.com/frfrankpavone/statuses/1390069384304070656,5,27,Spreaker
frfrankpavone,"ID 1390063836720336899","Wed May 05 22:00:19 +0000 2021"," LIVE Holy Hour Of Eucharistic Adoration. https://t.co/r6BH8m2Gjq",https://twitter.com/frfrankpavone/statuses/1390063836720336899,26,94,Periscope
frfrankpavone,"ID 1390042933865418755","Wed May 05 20:37:15 +0000 2021"," Join Dr. King for Prolife Praise: Mother's Day Special!! 7pm ET right here or on:

https://t.co/FymzhEz55C https://t.co/IgGTX1nrSs",https://twitter.com/frfrankpavone/statuses/1390042933865418755,6,17,"Twitter Web App"
frfrankpavone,"ID 1390026105625714692","Wed May 05 19:30:23 +0000 2021"," Mercy and Forgiveness! https://t.co/9vIizNu7iL",https://twitter.com/frfrankpavone/statuses/1390026105625714692,61,197,"Hootsuite Inc."
frfrankpavone,"ID 1390024245112184837","Wed May 05 19:23:00 +0000 2021"," Amen. https://t.co/xfT5CNkUwO",https://twitter.com/frfrankpavone/statuses/1390024245112184837,89,409,"Twitter Web App"
frfrankpavone,"ID 1390018523980656641","Wed May 05 19:00:16 +0000 2021"," The Glorious Mysteries of the Most Holy Rosary https://t.co/Yoxcx6xmiN",https://twitter.com/frfrankpavone/statuses/1390018523980656641,16,86,Periscope
frfrankpavone,"ID 1390010360103571462","Wed May 05 18:27:49 +0000 2021"," ""Since the first century the Church has affirmed the moral evil of every procured abortion. This teaching has not changed and remains unchangeable. Direct abortion, that is to say, abortion willed either as an end or a means, is gravely contrary to the moral law"" (CCC No. 2271)",https://twitter.com/frfrankpavone/statuses/1390010360103571462,18,100,"Twitter Web App"
