"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
marcorubio,"ID 1390092097685004289","Wed May 05 23:52:37 +0000 2021"," Episode One:
How #ppploans helped save thousands of #SmallBusiness &amp; millions of jobs

 https://t.co/czAOF2VYbI",https://twitter.com/marcorubio/statuses/1390092097685004289,16,58,"Twitter for iPhone"
marcorubio,"ID 1388856077840785409","Sun May 02 14:01:07 +0000 2021"," Week in review

 https://t.co/7nWSKUNaV8",https://twitter.com/marcorubio/statuses/1388856077840785409,57,295,"Twitter for iPhone"
marcorubio,"ID 1387981381247066115","Fri Apr 30 04:05:23 +0000 2021"," Jets at 34 are the next threat to take RB ahead of Miami at 36",https://twitter.com/marcorubio/statuses/1387981381247066115,14,209,"Twitter for iPhone"
marcorubio,"ID 1387973216166154243","Fri Apr 30 03:32:56 +0000 2021"," If you are going to get him New Orleans at 28 is the logical trade partner and probably the last chance

And you won’t regret it when you play in Buffalo and NE in December   

 https://t.co/AYJkRVNh1J",https://twitter.com/marcorubio/statuses/1387973216166154243,12,134,"Twitter for iPhone"
marcorubio,"ID 1387970781188038661","Fri Apr 30 03:23:16 +0000 2021"," He didn’t make it past 25 😣 https://t.co/9TqwgwnnoH",https://twitter.com/marcorubio/statuses/1387970781188038661,17,110,"Twitter for iPhone"
marcorubio,"ID 1387968997887561729","Fri Apr 30 03:16:10 +0000 2021"," Harris wasn’t the one. We will soon find out how much they really like the one they are targeting. Because I doubt he makes it past 30 much less 36 https://t.co/vUZHXfTk9B",https://twitter.com/marcorubio/statuses/1387968997887561729,17,154,"Twitter for iPhone"
marcorubio,"ID 1387964094947467270","Fri Apr 30 02:56:42 +0000 2021"," Miami has a specific RB targeted and I think they will try to move up into late 1st round. Somewhere between 24 &amp; 29. 

The RPO doesn’t work if you don’t have a RB that scares a defense and either Pitt or Buffalo could take their targeted back",https://twitter.com/marcorubio/statuses/1387964094947467270,60,548,"Twitter for iPhone"
marcorubio,"ID 1387940841604501506","Fri Apr 30 01:24:17 +0000 2021"," When Dolphins moved from 3 to 12 then up to 6 it was for a Y receiver. They have an X and Z with Parker and Fuller. They wanted a playmaker inside. And they were confident either Pitts or Waddle would be there.",https://twitter.com/marcorubio/statuses/1387940841604501506,22,236,"Twitter for iPhone"
marcorubio,"ID 1387938471919165441","Fri Apr 30 01:14:53 +0000 2021"," RT @Safid_Deen: Here’s Tua’s reaction to #Dolphins reuniting him with receiver Jaylen Waddle in the 2021 NFL draft. https://t.co/JphZIVS3nd",https://twitter.com/marcorubio/statuses/1387938471919165441,421,0,"Twitter for iPhone"
marcorubio,"ID 1387876286526222336","Thu Apr 29 21:07:46 +0000 2021"," Last night @SenatorTimScott reminded us that “American” isn’t a race or ethnicity,it’s an identity that belongs to people of every background 

And that the work of fully living up to our founding principles of equality continues,but we have already come closer than anyone else",https://twitter.com/marcorubio/statuses/1387876286526222336,353,2262,"Twitter for iPad"
