"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
michaeljohns,"ID 1389307559874551819","Mon May 03 19:55:09 +0000 2021"," RT @HikindDov: As predicted just last week...

After a violent Jew-hater who attacked multiple synagogues was arrested and charged w/ 42 co…",https://twitter.com/michaeljohns/statuses/1389307559874551819,571,0,"Twitter Web App"
michaeljohns,"ID 1389307331217960967","Mon May 03 19:54:14 +0000 2021"," RT @LisaDaftari: When will MSM journalists stop shilling for the Islamic Republic?

Many of us journalists are called activists bc we’re tr…",https://twitter.com/michaeljohns/statuses/1389307331217960967,211,0,"Twitter Web App"
michaeljohns,"ID 1389306921048543233","Mon May 03 19:52:36 +0000 2021"," RT @officialOKGOP: House Bill 1775 is on @GovStitt's desk, and it is imperative that he signs it into law.

We must ensure that children ar…",https://twitter.com/michaeljohns/statuses/1389306921048543233,29,0,"Twitter Web App"
michaeljohns,"ID 1389305616011862016","Mon May 03 19:47:25 +0000 2021"," ""The words, acts, and leadership of Joseph Biden are not motivating this country to action.""

With #vaccination rates not even half way to herd immunity, we now face ""a crisis in governorship,"" I told the @stevegrubershow this morning:

https://t.co/fJrRFW4Fz0

#COVID19 #politics",https://twitter.com/michaeljohns/statuses/1389305616011862016,199,136,"Twitter Web App"
michaeljohns,"ID 1389018141506875399","Mon May 03 00:45:06 +0000 2021"," RT @SalihHudayar: There is no doubt what China is doing to Uyghurs &amp; other Turkic peoples in East Turkistan is GENOCIDE as defined under th…",https://twitter.com/michaeljohns/statuses/1389018141506875399,71,0,"Twitter Web App"
michaeljohns,"ID 1389016452745867271","Mon May 03 00:38:23 +0000 2021"," #Biden's 100 days of failure: 

I discussed the border he opened, the schools he keeps closed, the job-killing #ParisAgreement and #KeystoneXL decisions he embraced, his trillions in politicized spending, and more with @BigCityAndrew and @robjh12 today:  

https://t.co/KQF6nK74ck",https://twitter.com/michaeljohns/statuses/1389016452745867271,399,451,"Twitter Web App"
michaeljohns,"ID 1388662206817001475","Sun May 02 01:10:44 +0000 2021"," RT @ogwausa: Policy expert and advocate @michaeljohns joined OGWA this week to talk #energy #oilandgas #Iran #China #ParisAgreement #climat…",https://twitter.com/michaeljohns/statuses/1388662206817001475,142,0,"Twitter Web App"
michaeljohns,"ID 1388631174721982466","Sat May 01 23:07:26 +0000 2021"," RT @MaryVought: Truth 👇🏻

Alaska @GovDunleavy: ""Biden’s climate plan will kill American jobs and enrich dirty producers in China and Russia…",https://twitter.com/michaeljohns/statuses/1388631174721982466,51,0,"Twitter Web App"
michaeljohns,"ID 1388624745638371330","Sat May 01 22:41:53 +0000 2021"," ""...it is the right of the people to alter or to abolish it, and to institute new government..."" 

Words that inspired America's Revolution, our ongoing #TeaParty revolt, and #Brexit.

The case for #Wexit mounts, I told @CoryBMorgan yesterday (@ 1:20:05):

https://t.co/37Drc9e9ge",https://twitter.com/michaeljohns/statuses/1388624745638371330,325,331,"Twitter Web App"
michaeljohns,"ID 1388579313642086402","Sat May 01 19:41:21 +0000 2021"," Congratulations, @JJPhillips15 and @Greg_R5. 

(The) U make us proud. 

#NFLDraft #NFLTwitter #Dolphins #BillsMafia #TheU",https://twitter.com/michaeljohns/statuses/1388579313642086402,37,78,"Twitter Web App"
