"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
seanhannity,"ID 1390105295649705984","Thu May 06 00:45:04 +0000 2021"," Join me tonight at 9pm on the Fox News Channel with my exclusive one-on-one interview with former Olympic athlete turned California gubernatorial candidate @Caitlyn_Jenner https://t.co/JfImdZvQ6b",https://twitter.com/seanhannity/statuses/1390105295649705984,80,627,"Hootsuite Inc."
seanhannity,"ID 1390082641702047744","Wed May 05 23:15:02 +0000 2021"," **SERIOUSLY?! Psaki Tells Reporters SPRING 2021 Migrant Surge ‘Exacerbated by the Trump Administration.’** https://t.co/k58LU9rg3x",https://twitter.com/seanhannity/statuses/1390082641702047744,326,1404,"Hootsuite Inc."
seanhannity,"ID 1390048160798679047","Wed May 05 20:58:02 +0000 2021"," M.I.A: Kamala Harris Appointed Border Boss 42 DAYS AGO, Still No Briefing or Press Conference https://t.co/DjcoQSU2DK",https://twitter.com/seanhannity/statuses/1390048160798679047,309,1293,"Hootsuite Inc."
seanhannity,"ID 1390040366406115329","Wed May 05 20:27:03 +0000 2021"," DANCING CANCELED! DC Mayor Defends Decision to Ban Dancing at Weddings, Says All Must ‘Be Seated’ https://t.co/ZNmA3RSzQH",https://twitter.com/seanhannity/statuses/1390040366406115329,440,1170,"Hootsuite Inc."
seanhannity,"ID 1390025765291503619","Wed May 05 19:29:02 +0000 2021"," ‘BIG TECH VS THE RIGHT’: Republicans Warn ‘You Could Be Next’ After Facebook Extends Trump Ban https://t.co/3twbHKKGkE",https://twitter.com/seanhannity/statuses/1390025765291503619,176,705,"Hootsuite Inc."
seanhannity,"ID 1390013984489738243","Wed May 05 18:42:13 +0000 2021"," OBSESSION: Warren Claims Trump’s ‘Lawyers Wrote a Rule to Let Companies Misclassify Their Employees’ https://t.co/XU1xLe6oMe",https://twitter.com/seanhannity/statuses/1390013984489738243,42,195,"Hootsuite Inc."
seanhannity,"ID 1390004744404586500","Wed May 05 18:05:30 +0000 2021"," TRUMP RESPONDS: President Fires-Back At Facebook, Says Network is a ‘Total Disgrace and Embarrassment’ https://t.co/DfzgPP2IXF",https://twitter.com/seanhannity/statuses/1390004744404586500,976,6142,"Hootsuite Inc."
seanhannity,"ID 1389995316238237699","Wed May 05 17:28:02 +0000 2021"," FLORIDA SAYS ‘THANKS’: Governor DeSantis Announces $1K Bonuses for Police, Firefighters, EMTs https://t.co/c2oDo8g1MZ",https://twitter.com/seanhannity/statuses/1389995316238237699,921,6596,"Hootsuite Inc."
seanhannity,"ID 1389985110653644801","Wed May 05 16:47:29 +0000 2021"," BREAKING: Trump Endorses Rep. Elise Stefanik for GOP Conference Chair, Rips ‘Warmongering’ Liz Cheney https://t.co/gaisJXxKs0",https://twitter.com/seanhannity/statuses/1389985110653644801,442,2521,"Hootsuite Inc."
seanhannity,"ID 1389979460712255490","Wed May 05 16:25:02 +0000 2021"," Notorious MS-13 Gang Members ‘Exploiting The Influx Of Migrants’ At Southern Border https://t.co/aINwULixn0",https://twitter.com/seanhannity/statuses/1389979460712255490,151,407,"Hootsuite Inc."
seanhannity,"ID 1389974434790973442","Wed May 05 16:05:04 +0000 2021"," OF COURSE: Psaki Claims SPRING 2021 Border Crisis Was ‘Exacerbated by the Trump Administration’ https://t.co/cWDkvPKALg",https://twitter.com/seanhannity/statuses/1389974434790973442,121,531,"Hootsuite Inc."
seanhannity,"ID 1389966514275721218","Wed May 05 15:33:35 +0000 2021"," ERIC TRUMP on HANNITY: Ballots Can’t Be ‘Mailed Out to Random Lists’ https://t.co/IIGPbABOzS",https://twitter.com/seanhannity/statuses/1389966514275721218,156,793,"Hootsuite Inc."
seanhannity,"ID 1389965938813030400","Wed May 05 15:31:18 +0000 2021"," VP Harris Blames Border Crisis on ‘Lack of Climate Adaptation and Climate Resilience’ https://t.co/R1u1AkcMKs",https://twitter.com/seanhannity/statuses/1389965938813030400,187,706,"Twitter for iPhone"
seanhannity,"ID 1389958727864930304","Wed May 05 15:02:39 +0000 2021"," JAMES CAVES: LeBron Admits He ‘Fueled the Wrong Conversation’ After Infamous Tweet https://t.co/EQj5jVV6EV https://t.co/1FmtuC25h2",https://twitter.com/seanhannity/statuses/1389958727864930304,110,581,SmarterQueue
seanhannity,"ID 1389951774631542786","Wed May 05 14:35:01 +0000 2021"," JAMES CAVES: LeBron Admits He ‘Fueled the Wrong Conversation’ After Infamous Tweet https://t.co/ombKlcWVLm",https://twitter.com/seanhannity/statuses/1389951774631542786,159,716,"Hootsuite Inc."
seanhannity,"ID 1389945282872455168","Wed May 05 14:09:14 +0000 2021"," BAN REMAINS: Facebook Oversight Board Upholds Donald Trump’s Ban After Review https://t.co/gOzSNJDNLK",https://twitter.com/seanhannity/statuses/1389945282872455168,230,847,"Hootsuite Inc."
seanhannity,"ID 1389932285265317894","Wed May 05 13:17:35 +0000 2021"," AOC CORP? Ocasio-Cortez Calls for Creation of 1.5 MILLION Strong ‘Climate Corp’ to Fight Global Warming https://t.co/v1VBif37qW",https://twitter.com/seanhannity/statuses/1389932285265317894,54,191,"Hootsuite Inc."
seanhannity,"ID 1389925113693413381","Wed May 05 12:49:05 +0000 2021"," House Republicans Demand Answers from FBI on ‘Widespread’ FISA Violations https://t.co/Bt9tgwIB2m",https://twitter.com/seanhannity/statuses/1389925113693413381,332,1575,"Hootsuite Inc."
seanhannity,"ID 1389921578218033161","Wed May 05 12:35:02 +0000 2021"," I will have Caitlyn Jenner on 'Hannity' tonight for an exclusive first interview 👇https://t.co/Ud3YUVOnH9",https://twitter.com/seanhannity/statuses/1389921578218033161,119,837,"Hootsuite Inc."
