"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
tedcruz,"ID 1387850719550656513","Thu Apr 29 19:26:11 +0000 2021"," RT @AllegianceTL: Ted Cruz sets the record straight for tyrannical Joe 🔥🔥

“We the people is the people, DAMNIT, who are in charge of the g…",https://twitter.com/tedcruz/statuses/1387850719550656513,137,0,"Twitter for iPhone"
tedcruz,"ID 1387850315777646602","Thu Apr 29 19:24:34 +0000 2021"," “This is going to be a litmus test for conservatives” https://t.co/Nfo23w3HXK",https://twitter.com/tedcruz/statuses/1387850315777646602,232,1369,"Twitter for iPhone"
tedcruz,"ID 1387848802757918725","Thu Apr 29 19:18:34 +0000 2021"," RT @DailyCaller: ‘No More’: Ted Cruz Stops Accepting Corporate PAC Contributions https://t.co/wrc7pbgYDV",https://twitter.com/tedcruz/statuses/1387848802757918725,91,0,"Twitter for iPhone"
tedcruz,"ID 1387848548839051272","Thu Apr 29 19:17:33 +0000 2021"," I’m fighting for the people, not for the giant corporations that have decided to make common cause with the Socialists who are trying to take away our freedom.

Go to https://t.co/41NYpibd5R and join my fight! https://t.co/2pMwlTH4BX",https://twitter.com/tedcruz/statuses/1387848548839051272,290,1529,"Twitter for iPhone"
tedcruz,"ID 1387848380001488899","Thu Apr 29 19:16:53 +0000 2021"," RT @BonginoReport: This is pure 🔥🔥🔥 from @tedcruz 

https://t.co/Ls0qMUU9XX",https://twitter.com/tedcruz/statuses/1387848380001488899,217,0,"Twitter for iPhone"
tedcruz,"ID 1387821636137672713","Thu Apr 29 17:30:37 +0000 2021"," Yep.

#BoringButRadical https://t.co/agNP346DPR",https://twitter.com/tedcruz/statuses/1387821636137672713,101,679,"Twitter for iPhone"
tedcruz,"ID 1387821577551720455","Thu Apr 29 17:30:23 +0000 2021"," Joe Biden is:

Fully vaccinated. ✅

Ignoring CDC guidance: ✅

Virtue signaling to his base: ✅

Wants to control the American people: ✅ https://t.co/VXA1pjx7Bt",https://twitter.com/tedcruz/statuses/1387821577551720455,953,5810,"Twitter for iPhone"
tedcruz,"ID 1387808174896566274","Thu Apr 29 16:37:07 +0000 2021"," Ted Cruz Summarizes Biden's Address to Congress as 'Boring, but Radical' https://t.co/E0zigyOvMC",https://twitter.com/tedcruz/statuses/1387808174896566274,172,1322,"Twitter for iPhone"
tedcruz,"ID 1387808109956059140","Thu Apr 29 16:36:52 +0000 2021"," RT @MatthewFoldi: NEW from me in @FreeBeacon: 

""Worse than Solyndra"": Republicans, led by #TXSEN @tedcruz, are pressing for answers after…",https://twitter.com/tedcruz/statuses/1387808109956059140,164,0,"Twitter for iPhone"
tedcruz,"ID 1387780550174326790","Thu Apr 29 14:47:21 +0000 2021"," Kamala &amp; Nancy agree....

#BoringButRadical https://t.co/1KPcuMhkLT",https://twitter.com/tedcruz/statuses/1387780550174326790,733,4907,"Twitter for iPhone"
tedcruz,"ID 1387766546781675523","Thu Apr 29 13:51:42 +0000 2021"," Amen. https://t.co/3qZwz0zDYd",https://twitter.com/tedcruz/statuses/1387766546781675523,844,8433,"Twitter for iPhone"
tedcruz,"ID 1387765255535833096","Thu Apr 29 13:46:35 +0000 2021"," true that. https://t.co/GhurvIpOZf",https://twitter.com/tedcruz/statuses/1387765255535833096,1072,13897,"Twitter for iPhone"
tedcruz,"ID 1387757494932590592","Thu Apr 29 13:15:44 +0000 2021"," As America’s greatest basketball player observed years ago, Republicans buy sneakers, too. 

We cast votes, too. And we pay attention when CEOs come after our own just so they can look good for a few editorial pages and radical activists.

https://t.co/AO5GSqB9RR",https://twitter.com/tedcruz/statuses/1387757494932590592,241,1389,"Twitter for iPhone"
tedcruz,"ID 1387749492183769088","Thu Apr 29 12:43:56 +0000 2021"," RT @SecretsBedard: Cruz: GOP must reject ‘woke’ corporate donations

@tedcruz 'When the time comes that you need help with a tax break or a…",https://twitter.com/tedcruz/statuses/1387749492183769088,138,0,"Twitter for iPhone"
tedcruz,"ID 1387748955602276360","Thu Apr 29 12:41:48 +0000 2021"," RT @dcexaminer: .@tedcruz called out “woke” corporations as “fair weather friends” to Republicans 

He has stepped to the front of a new mo…",https://twitter.com/tedcruz/statuses/1387748955602276360,107,0,"Twitter for iPhone"
tedcruz,"ID 1387615947092111361","Thu Apr 29 03:53:17 +0000 2021"," The most radical line from Joe Biden was, ""We the People is the government.""

No Joe, you seriously misunderstand the Constitution. ""We the People"" is not the government. 

""We the People"" is the people who are in charge of the government, whose liberty Biden is stripping away. https://t.co/ztwfzOoBSj",https://twitter.com/tedcruz/statuses/1387615947092111361,5609,20048,"Twitter Web App"
tedcruz,"ID 1387610638369886208","Thu Apr 29 03:32:11 +0000 2021"," Joe Biden is deliberately being boring, but the substance of what he is saying is radical. #BoringButRadical https://t.co/37YS701pyn",https://twitter.com/tedcruz/statuses/1387610638369886208,1211,6178,"Twitter Media Studio"
tedcruz,"ID 1387597850889138179","Thu Apr 29 02:41:22 +0000 2021"," Well done, @SenatorTimScott on tonight’s Republican response.

Tim outlined Republican values and leadership — a sharp contrast to Biden’s radical vision for our country that would turn the American Dream into an American nightmare.",https://twitter.com/tedcruz/statuses/1387597850889138179,2125,16656,"Twitter for iPhone"
tedcruz,"ID 1387595584748593154","Thu Apr 29 02:32:22 +0000 2021"," RT @kasie: .@tedcruz calls President Biden’s speech “boring but radical” per @JulieNBCNews",https://twitter.com/tedcruz/statuses/1387595584748593154,156,0,"Twitter for iPhone"
