"label","text"
0," The #GQP is a complete joke! This and stating democrats are obsessed with conspiracy theories showed the world what a joke they are. They’re utterly pathetic! "
1," Awesome! Only time I’ve ever been linked in any way to Ike AND Willie Nelson. Damn strong company! "
0," You’re insane. You’re going to to file for impeachment of Joe Biden on January 21st. save yourselves expel she dangerous! #StopTeamQ “Impeacent trial for nothing” Nothing? Ya ok Margie incitement of an insurrection is pretty insignificant! Seek help!"
3," ""Merely saying the free market will take of problem X won’t be persuasive to many. We need to be doing something about X right now."" "
3," Please tell me how it was ""debunked."" Because he claimed w/o evidence he was offered a bribe of $10,000. Proof? I've seen none. Or the video he posted himself with 20 ballots on July 2nd when the law didn't allow more than 3 ballots be ""harvested."""
0," Stepping into the breach: #China will donate an extra €28mln - on top of the €19mln it donated in March - to the , to be used for #Covid19 prevention &amp; testing &amp; supporting health systems in developing countries. The move comes after #Trump cut off US funding to the WHO."
0," Paula’s primary is in May not March."
0," 1/9 Here is a truth, those in power do not want most to know. If most did, we would only elect politicians who fulfill our demands. Most people are good. Their perceived badness is their gullibility as they allow puppeteers to manipulate them."
0," --Hearing that Trump is spending his last Friday in the Oval Office posing for photos with people important to him. Among the reported visitors: Mike Lindell, the “My Pillow guy."""
0," Great commentary on MSNBC about Texas. I am more positive. Republicans always vote in numbers relative to their size. Our hidden voters, it seems to me, are coming out. I think a surprise is in the making."
1," . went full Honey Badger H/T "
0," More like the #gop is continuing with their own political suicide. They’d be best to save face and move on at this point. After 50+cases and recounts after recounts it’s over. The electoral college has cast their vote. Jan 6 is it and if they attempt to continue they’ll be ☠️"
0," The #GOP loves household economic comparisons, so let's go there. National infrastructure is like your house and car-- it's the place you live and how you get to work. Literally. How much of *your* household income do you devote to your ""infrastructure""? More than .01%, I bet"
3," Here is a great libertarian debate &amp; flame-throwing. Resources in comments👇 #Politics #StPatricksDay #StPatricksDay2021 #tuesdaymotivations #tuesdayvibe "
0," Oh lord another dumb trumper. Way to go. Keep with fox and other and just stay dumb."
1," LIVE Daily Holy Mass for December 7th, 2020 with Fr. Frank Pavone "
1," The way Blackjewel has treated the Harlan County coal miners is shameful, and they should be paid in full for their work. From the beginning I’ve been in constant communication with to help. "
0," Incredibly honored to serve my second term representing LD3 officially.Thank you to all who voted for me and supported me once again! THANK YOU!GRACIAS! TODAH RABAH! We’ve done it again the Hernandi will be back to the #azleg proud to serve with my brother 🗳🌵🇺🇸💪🏽💕 "
3," You can buy Permanent Record at the link below, but since the CIA and NSA won a court case barring from the proceeds, we encourage you to ALSO support his efforts over at ! "
1," Everything has done on #Afghanistan, #Iran, #Iraq and #Syria is consistent with promises he made in '16. He is assertively defending American lives and interests while still moving us away from a protracted regional military presence, I told yesterday: "
0," #SaudiArabia releases prominent women’s rights activist from prison as presses kingdom on human rights "
0," Your complete refusal to acknowledge any of the above harm, wrongdoing, or even misjudgement; &amp; your lack of any self-reflection in how these acts contributed to yesterday’s chaos is alarming. It is unbecoming of any elected official and makes you unfit for the office you occupy."
2," China moves to indoctrinate pupils in #HongKong schools. Police state propaganda &amp; intimidation of children. SHAME! #StandWithHongKong "
0," 👏🏽👏🏽👏🏽 "
0," This is beautifully decorated and can be appreciated if we don’t allow our politics to dilute everything. "
0," A worrisome development. Praying for peace in Ethiopia and the East African region. "
0," Meghan Markle Reveals Royals Worried Her Son Wouldn’t Have Family’s Sickly, Rancid Skin "
0," Great piece from the ’s archives on resistance to #facts. “...any graduate student with a clipboard can demonstrate that reasonable-seeming people are often totally irrational. Rarely has this insight seemed more relevant than it does right now.” "
1," 1.Shabado0 ALWAYS identified himself as a BLACK MAN.. 2. The moves he is doing, he got from a Black man named Don Campbellock 3. One Black person who has a Puerto Rican parent engaging in Black culture, has ZERO to do with Puerto Ricans collectively"
1," So for #BlackHistoryMonth Black people are getting a manufactured symbolic nothingburger, of #StaceyAbrams being nominated for a Nobel Peace Prize for “nOn viOlenT cHaNgE” via the ballot box Yet Black ppl are victims of racial violence, &amp; Biden offered Asians racial protections"
0," Bullship? "
0," In 2016, President Trump promised to reduce the trade deficit and said: ""You will see a drop like you've never seen before."" The reality? It's the highest it's been in 12 years. American workers can't afford another four years of his failed leadership. "
1," Let’s put kids first. Follow the data – and that includes President Biden’s own CDC director — &amp; safely open our schools. This is a matter of emotional and academic development &amp; the mental health of our kiddos, and the well-being of our working families. "
1," part of the performance is to see the man chop meat. Thats the same reason people go to Benihanas...If a dude dont want someone putting something in his damn mouth, thats his choice."
0," “The fact that only seven Senate #Republicans bolted should end the absurd talk that there is a burden on President Biden to achieve a bipartisan nirvana in Washington.” "
0," She absolutely is."
